level_XBXXZ	name_XBXXZ	nextexp_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ	attack_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	pkscore_XBXXZ	doomlevel_XBXXZ	gold_XBXXZ	bodylevel_XBXXZ
159	大罗金仙9阶	13492642500 	16690	25840	313	0	13550	11490	150	320	101
160	大罗金仙10阶	13727174400 	16840	26040	315	0	13710	11590	151	320	101
161	玄仙1阶	15099891840 	16990	26240	317	0	13870	11590	152	320	121
162	玄仙2阶	16609881024 	17140	26440	319	0	14030	11590	153	320	121
163	玄仙3阶	18270869126 	17290	26640	321	0	14190	11590	154	320	121
164	玄仙4阶	20097956039 	17440	26840	323	0	14350	11590	155	320	121
165	玄仙5阶	22107751643 	17590	27040	325	0	14510	11590	156	320	121
166	玄仙6阶	24318526807 	17740	27240	327	0	14670	11590	157	320	121
167	玄仙7阶	26750379488 	17890	27440	329	0	14830	11590	158	320	121
168	玄仙8阶	29425417437 	18040	27640	331	0	14990	11590	159	320	121
169	玄仙9阶	32367959180 	18190	27840	333	0	15150	11590	160	320	121
170	玄仙10阶	35604755098 	18340	28040	335	0	15310	11590	161	320	121
171	仙君1阶	39165230608 	18490	28240	337	0	15470	11590	162	320	131
172	仙君2阶	43081753669 	18640	28440	339	0	15630	11590	163	320	131
173	仙君3阶	47389929036 	18790	28640	341	0	15790	11590	164	320	131
174	仙君4阶	52128921940 	18940	28840	343	0	15950	11590	165	320	131
175	仙君5阶	57341814134 	19090	29040	345	0	16110	11590	166	320	131
176	仙君6阶	63075995547 	19240	29240	347	0	16270	11590	167	320	131
177	仙君7阶	69383595102 	19390	29440	349	0	16430	11590	168	320	131
178	仙君8阶	76321954612 	19540	29640	351	0	16590	11590	169	320	131
179	仙君9阶	83954150073 	19690	29840	353	0	16750	11590	170	320	131
180	仙君10阶	92349565080 	19840	30040	355	0	16910	11590	171	320	141
181	仙尊1阶	101584521588 	19990	30240	357	0	17070	11590	172	320	141
182	仙尊2阶	111742973747 	20140	30440	359	0	17230	11590	173	320	141
183	仙尊3阶	122917271122 	20290	30640	361	0	17390	11590	174	320	141
184	仙尊4阶	135208998234 	20440	30840	363	0	17550	11590	175	320	141
185	仙尊5阶	148729898058 	20590	31040	365	0	17710	11590	176	320	141
186	仙尊6阶	163602887863 	20740	31240	367	0	17870	11590	177	320	141
187	仙尊7阶	179963176650 	20890	31440	369	0	18030	11590	178	320	141
188	仙尊8阶	197959494315 	21040	31640	371	0	18190	11590	179	320	141
189	仙尊9阶	217755443746 	21190	31840	373	0	18350	11590	180	320	141
190	仙尊10阶	239530988121 	21340	32040	375	0	18510	11590	181	320	141
191	准帝仙1阶	263484086933 	21490	32240	377	0	18670	11590	182	320	141
192	准帝仙2阶	289832495626 	21640	32440	379	0	18830	11590	183	320	141
193	准帝仙3阶	318815745189 	21790	32640	381	0	18990	11590	184	320	141
194	准帝仙4阶	350697319708 	21940	32840	383	0	19150	11590	185	320	141
195	准帝仙5阶	385767051678 	22090	33040	385	0	19310	11590	186	320	141
196	准帝仙6阶	424343756846 	22240	33240	387	0	19470	11590	187	320	141
197	准帝仙7阶	466778132531 	22390	33440	389	0	19630	11590	188	320	141
198	准帝仙8阶	513455945784 	22540	33640	391	0	19790	11590	189	320	141
199	准帝仙9阶	564801540362 	22690	33840	393	0	19950	11590	190	320	141
200	准帝仙10阶	621281694399 	22840	34040	395	0	20110	11590	191	320	141
201	帝仙1阶	683409863838 	22990	34240	397	0	20270	11590	192	320	141
202	帝仙2阶	751750850222 	23140	34440	399	0	20430	11590	193	320	141
203	帝仙3阶	826925935244 	23290	34640	401	0	20590	11590	194	320	141
204	帝仙4阶	909618528769 	23440	34840	403	0	20750	11590	195	320	141
205	帝仙5阶	1000580381646 	23590	35040	405	0	20910	11590	196	320	141
206	帝仙6阶	1100638419810 	23740	35240	407	0	21070	11590	197	320	141
207	帝仙7阶	1210702261791 	23890	35440	409	0	21230	11590	198	320	141
208	帝仙8阶	1331772487971 	24040	35640	411	0	21390	11590	199	320	141
209	帝仙9阶	1464949736768 	24190	35840	413	0	21550	11590	200	320	141
210	帝仙10阶	1611444710444 	24340	36040	415	0	21710	11590	201	320	141
211	准圣1阶	1772589181489 	24490	36240	417	0	21870	11590	202	320	141
212	准圣2阶	1949848099638 	24640	36440	419	0	22030	11590	203	320	141
213	准圣3阶	2144832909601 	24790	36640	421	0	22190	11590	204	320	141
214	准圣4阶	2359316200562 	24940	36840	423	0	22350	11590	205	320	141
215	准圣5阶	2595247820618 	25090	37040	425	0	22510	11590	206	320	141
216	准圣6阶	2854772602679 	25240	37240	427	0	22670	11590	207	320	141
217	准圣7阶	3140249862947 	25390	37440	429	0	22830	11590	208	320	141
218	准圣8阶	3454274849242 	25540	37640	431	0	22990	11590	209	320	141
219	准圣9阶	3799702334166 	25690	37840	433	0	23150	11590	210	320	141
220	准圣10阶	4179672567583 	25840	38040	435	0	23310	11590	211	320	141
221	圣人1阶	4597639824341 	25990	38240	437	0	23470	11590	212	320	141
222	圣人2阶	5057403806775 	26140	38440	439	0	23630	11590	213	320	141
223	圣人3阶	5563144187453 	26290	38640	441	0	23790	11590	214	320	141
224	圣人4阶	6119458606198 	26440	38840	443	0	23950	11590	215	320	141
225	圣人5阶	6731404466818 	26590	39040	445	0	24110	11590	216	320	141
226	圣人6阶	7404544913500 	26740	39240	447	0	24270	11590	217	320	141
227	圣人7阶	8144999404850 	26890	39440	449	0	24430	11590	218	320	141
228	圣人8阶	8959499345335 	27040	39640	451	0	24590	11590	219	320	141
229	圣人9阶	9855449279868 	27190	39840	453	0	24750	11590	220	320	141
230	圣人10阶	10840994207855 	27340	40040	455	0	24910	11590	221	320	141
231	一转圣人1阶	11925093628641 	27490	40240	457	0	25070	11590	222	320	141
232	一转圣人2阶	13117602991505 	27640	40440	459	0	25230	11590	223	320	141
233	一转圣人3阶	14429363290655 	27790	40640	461	0	25390	11590	224	320	141
234	一转圣人4阶	15872299619721 	27940	40840	463	0	25550	11590	225	320	141
235	一转圣人5阶	17459529581693 	28090	41040	465	0	25710	11590	226	320	141
236	一转圣人6阶	19205482539862 	28240	41240	467	0	25870	11590	227	320	141
237	一转圣人7阶	21126030793849 	28390	41440	469	0	26030	11590	228	320	141
238	一转圣人8阶	23238633873233 	28540	41640	471	0	26190	11590	229	320	141
239	一转圣人9阶	25562497260557 	28690	41840	473	0	26350	11590	230	320	141
240	一转圣人10阶	28118746986612 	28840	42040	475	0	26510	11590	231	320	141
241	二转圣人1阶	30930621685274 	28990	42240	477	0	26670	11590	232	320	141
242	二转圣人2阶	34023683853801 	29140	42440	479	0	26830	11590	233	320	141
243	二转圣人3阶	37426052239181 	29290	42640	481	0	26990	11590	234	320	141
244	二转圣人4阶	41168657463099 	29440	42840	483	0	27150	11590	235	320	141
245	二转圣人5阶	45285523209409 	29590	43040	485	0	27310	11590	236	320	141
246	二转圣人6阶	49814075530350 	29740	43240	487	0	27470	11590	237	320	141
247	二转圣人7阶	54795483083385 	29890	43440	489	0	27630	11590	238	320	141
248	二转圣人8阶	60275031391723 	30040	43640	491	0	27790	11590	239	320	141
249	二转圣人9阶	66302534530896 	30190	43840	493	0	27950	11590	240	320	141
250	二转圣人10阶	72932787983985 	30340	44040	495	0	28110	11590	241	320	141
251	三转圣人1阶	80226066782384 	30490	44240	497	0	28270	11590	242	320	141
252	三转圣人2阶	88248673460622 	30640	44440	499	0	28430	11590	243	320	141
253	三转圣人3阶	97073540806685 	30790	44640	501	0	28590	11590	244	320	141
254	三转圣人4阶	106780894887353 	30940	44840	503	0	28750	11590	245	320	141
255	三转圣人5阶	117458984376088 	31090	45040	505	0	28910	11590	246	320	141
256	三转圣人6阶	129204882813697 	31240	45240	507	0	29070	11590	247	320	141
257	三转圣人7阶	142125371095067 	31390	45440	509	0	29230	11590	248	320	141
258	三转圣人8阶	156337908204573 	31540	45640	511	0	29390	11590	249	320	141
259	三转圣人9阶	171971699025031 	31690	45840	513	0	29550	11590	250	320	141
260	三转圣人10阶	189168868927534 	31840	46040	515	0	29710	11590	251	320	141
261	四转圣人1阶	208085755820287 	31990	46240	517	0	29870	11590	252	320	141
262	四转圣人2阶	228894331402316 	32140	46440	519	0	30030	11590	253	320	141
263	四转圣人3阶	251783764542548 	32290	46640	521	0	30190	11590	254	320	141
264	四转圣人4阶	276962140996802 	32440	46840	523	0	30350	11590	255	320	141
265	四转圣人5阶	304658355096483 	32590	47040	525	0	30510	11590	256	320	141
266	四转圣人6阶	335124190606131 	32740	47240	527	0	30670	11590	257	320	141
267	四转圣人7阶	368636609666744 	32890	47440	529	0	30830	11590	258	320	141
268	四转圣人8阶	405500270633419 	33040	47640	531	0	30990	11590	259	320	141
269	四转圣人9阶	446050297696760 	33190	47840	533	0	31150	11590	260	320	141
270	四转圣人10阶	490655327466436 	33340	48040	535	0	31310	11590	261	320	141
271	五转圣人1阶	539720860213080 	33490	48240	537	0	31470	11590	262	320	141
272	五转圣人2阶	593692946234388 	33640	48440	539	0	31630	11590	263	320	141
273	五转圣人3阶	653062240857827 	33790	48640	541	0	31790	11590	264	320	141
274	五转圣人4阶	718368464943610 	33940	48840	543	0	31950	11590	265	320	141
275	五转圣人5阶	790205311437971 	34090	49040	545	0	32110	11590	266	320	141
276	五转圣人6阶	869225842581768 	34240	49240	547	0	32270	11590	267	320	141
277	五转圣人7阶	956148426839945 	34390	49440	549	0	32430	11590	268	320	141
278	五转圣人8阶	1051763269523940 	34540	49640	551	0	32590	11590	269	320	141
279	五转圣人9阶	1156939596476330 	34690	49840	553	0	32750	11590	270	320	141
280	五转圣人10阶	1272633556123970 	34840	50040	555	0	32910	11590	271	320	141
281	六转圣人1阶	1399896911736360 	34990	50240	557	0	33070	11590	272	320	141
282	六转圣人2阶	1539886602910000 	35140	50440	559	0	33230	11590	273	320	141
283	六转圣人3阶	1693875263201000 	35290	50640	561	0	33390	11590	274	320	141
284	六转圣人4阶	1863262789521100 	35440	50840	563	0	33550	11590	275	320	141
285	六转圣人5阶	2049589068473210 	35590	51040	565	0	33710	11590	276	320	141
286	六转圣人6阶	2254547975320530 	35740	51240	567	0	33870	11590	277	320	141
287	六转圣人7阶	2480002772852590 	35890	51440	569	0	34030	11590	278	320	141
288	六转圣人8阶	2728003050137840 	36040	51640	571	0	34190	11590	279	320	141
289	六转圣人9阶	3000803355151630 	36190	51840	573	0	34350	11590	280	320	141
290	六转圣人10阶	3300883690666790 	36340	52040	575	0	34510	11590	281	320	141
291	七转圣人1阶	3630972059733470 	36490	52240	577	0	34670	11590	282	320	141
292	七转圣人2阶	3994069265706820 	36640	52440	579	0	34830	11590	283	320	141
293	七转圣人3阶	4393476192277500 	36790	52640	581	0	34990	11590	284	320	141
294	七转圣人4阶	4832823811505250 	36940	52840	583	0	35150	11590	285	320	141
295	七转圣人5阶	5316106192655780 	37090	53040	585	0	35310	11590	286	320	141
296	七转圣人6阶	5847716811921360 	37240	53240	587	0	35470	11590	287	320	141
297	七转圣人7阶	6432488493113490 	37390	53440	589	0	35630	11590	288	320	141
298	七转圣人8阶	7075737342424840 	37540	53640	591	0	35790	11590	289	320	141
299	七转圣人9阶	7783311076667330 	37690	53840	593	0	35950	11590	290	320	141
300	七转圣人10阶	8561642184334060 	37840	54040	595	0	36110	11590	291	320	141
301	八转圣人1阶	9417806402767470 	37990	54240	597	0	36270	11590	292	320	141
302	八转圣人2阶	10359587043044200 	38140	54440	599	0	36430	11590	293	320	141
303	八转圣人3阶	11395545747348600 	38290	54640	601	0	36590	11590	294	320	141
304	八转圣人4阶	12535100322083500 	38440	54840	603	0	36750	11590	295	320	141
305	八转圣人5阶	13788610354291900 	38590	55040	605	0	36910	11590	296	320	141
306	八转圣人6阶	15167471389721000 	38740	55240	607	0	37070	11590	297	320	141
307	八转圣人7阶	16684218528693100 	38890	55440	609	0	37230	11590	298	320	141
308	八转圣人8阶	18352640381562500 	39040	55640	611	0	37390	11590	299	320	141
309	八转圣人9阶	20187904419718700 	39190	55840	613	0	37550	11590	300	320	141
310	八转圣人10阶	22206694861690600 	39340	56040	615	0	37710	11590	301	320	141
311	九转圣人1阶	24427364347859600 	39490	56240	617	0	37870	11590	302	320	141
312	九转圣人2阶	26870100782645600 	39640	56440	619	0	38030	11590	303	320	141
313	九转圣人3阶	29557110860910200 	39790	56640	621	0	38190	11590	304	320	141
314	九转圣人4阶	32512821947001200 	39940	56840	623	0	38350	11590	305	320	141
315	九转圣人5阶	35764104141701300 	40090	57040	625	0	38510	11590	306	320	141
316	九转圣人6阶	39340514555871500 	40240	57240	627	0	38670	11590	307	320	141
317	九转圣人7阶	43274566011458600 	40390	57440	629	0	38830	11590	308	320	141
318	九转圣人8阶	47602022612604500 	40540	57640	631	0	38990	11590	309	320	141
319	九转圣人9阶	52362224873864900 	40690	57840	633	0	39150	11590	310	320	141
320	九转圣人10阶	57598447361251400 	40840	58040	635	0	39310	11590	311	320	141
