npcid_XBXXZ	type_XBXXZ	name_XBXXZ	race_XBXXZ	level_XBXXZ	damage_XBXXZ	defence_XBXXZ	aspeed_XBXXZ	maxhp_XBXXZ	reputation_XBXXZ	deathreputation_XBXXZ	pkscore_XBXXZ	drop_XBXXZ
48	1	噬魂魔	2	28	174	0	27	1200	1	28	不自量力的家伙，你是赶来送死的吗？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
49	1	荒坟火	3	25	179	0	28	1240	1	25	调头吧，给自己留一条活路！	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
50	1	碧磷火	3	26	184	0	29	1280	1	26	真动起手来，你可就没后悔的机会了！	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
51	1	幽冥火	3	27	189	0	30	1320	1	27	别逼我，我发起火来，自己都害怕！	54:4-8:10000:1;38:2-4:10000:1;3:1-1:500:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
52	1	狂暴怨灵	3	28	194	0	31	1360	1	28	别惹我，我也是敢拼命的！	54:4-8:10000:1;38:2-4:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
53	1	狂暴恶灵	3	29	199	0	32	1400	1	29	不要欺人太甚！妖也是有火气的！	54:4-8:10000:1;38:2-4:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
54	1	狂暴死灵	3	30	204	0	33	1440	1	30	咱们就不能好好谈谈吗？动手有意思吗？	54:4-8:10000:1;38:2-4:10000:1;4:1-1:200:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
55	1	钝爪幼猫	1	34	211	0	34	1490	1	34	你厉害，这总可以了吧！别打了！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
56	1	短齿幼猫	1	35	218	0	35	1540	1	35	别杀我，我爷爷是大妖王	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
57	1	尖牙幼猫	1	36	225	0	36	1590	1	36	别动手，有话好好说！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
58	1	穿山幼貂	1	37	232	0	37	1640	1	37	给我个机会，我也想做个好妖！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
59	1	闪电幼貂	1	38	239	0	38	1690	1	38	上仙饶命，放过的小的一马！	54:8-12:10000:1;38:8-10:10000:1;4:1-1:200:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
60	1	食蛇幼貂	1	39	246	0	39	1740	1	39	上仙饶命！上仙饶命！上仙饶命！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
61	1	黑斑魔蝎	2	34	253	0	34	1790	1	34	你厉害，这总可以了吧！别打了！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
62	1	黑纹魔蝎	2	35	260	0	35	1840	1	35	别杀我，我爷爷是大妖王	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
63	1	黑花魔蝎	2	36	267	0	36	1890	1	36	别动手，有话好好说！	54:8-12:10000:1;38:8-10:10000:1;4:1-1:200:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;68:1-1:500:1;
64	1	白毛魔牛	2	37	274	0	37	1940	1	37	给我个机会，我也想做个好妖！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
65	1	红毛魔牛	2	38	281	0	38	1990	1	38	上仙饶命，放过的小的一马！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
66	1	黑毛魔牛	2	39	288	0	39	2040	1	39	上仙饶命！上仙饶命！上仙饶命！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
67	1	骷髅	3	35	295	0	34	2090	1	35	你厉害，这总可以了吧！别打了！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
68	1	恶灵	3	36	302	0	35	2140	1	36	别杀我，我爷爷是大妖王	54:8-12:10000:1;38:8-10:10000:1;4:1-1:200:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
69	1	冤魂	3	37	309	0	36	2190	1	37	别动手，有话好好说！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
70	1	怨魂	3	38	316	0	37	2240	1	38	给我个机会，我也想做个好妖！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
71	1	恶灵	3	39	323	0	38	2290	1	39	上仙饶命，放过的小的一马！	54:8-12:10000:1;38:8-10:10000:1;4:1-1:200:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-3:1500:1;73:1-1:200:1;
72	1	怨魂	3	40	330	0	39	2340	1	40	上仙饶命！上仙饶命！上仙饶命！	54:8-12:10000:1;38:8-10:10000:1;1005:1-1:1000:1;1006:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:100:1;
73	1	野猬精	1	41	340	0	40	2440	1	41	呜呜呜……饶命啊！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
74	1	山猬精	1	42	350	0	41	2540	1	42	说吧，你打算在自己的墓碑上刻上什么字？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;
75	1	幼猬精	1	43	360	0	42	26400	1	43	脖子洗干净了吗？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;68:1-1:500:1;
76	1	浅水旋龟	1	44	370	0	43	2740	1	44	哈哈哈！你是来送死的吗？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;
77	1	深潭旋龟	1	45	380	0	44	2840	1	45	哈哈哈哈，来了个不要命的蝼蚁！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
78	1	激流旋龟	1	46	390	0	45	2940	1	46	呵呵~你敢动手试试？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;
79	1	蝠魔	2	43	400	0	40	3040	1	43	呜呜呜……饶命啊！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;68:1-1:500:1;
80	1	犬魔	2	44	410	0	41	3140	1	44	说吧，你打算在自己的墓碑上刻上什么字？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;
81	1	蚁魔	2	45	420	0	42	32400	1	45	脖子洗干净了吗？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;70:1-1:100:1;
82	1	白眼魅魔	2	46	430	0	43	3340	1	46	哈哈哈！你是来送死的吗？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;
83	1	灰眼魅魔	2	47	440	0	44	3440	1	47	哈哈哈哈，来了个不要命的蝼蚁！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
84	1	红眼魅魔	2	48	450	0	45	3540	1	48	呵呵~你敢动手试试？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;68:1-1:500:1;
85	1	射手残骨	3	45	460	0	46	3640	1	45	不要命的话，你就来吧！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
86	1	弓手残骨	3	46	470	0	47	37400	1	46	不自量力的家伙，你是赶来送死的吗？	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;70:1-1:100:1;
87	1	猎手残骨	3	47	480	0	48	3840	1	47	调头吧，给自己留一条活路！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
88	1	荒坟鬼火	3	48	490	0	49	3940	1	48	真动起手来，你可就没后悔的机会了！	54:12-16:10000:1;38:10-12:10000:1;5:1-1:10:1;1007:1-1:1000:1;1008:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-3:1200:1;74:1-1:500:1;70:1-1:100:1;
89	1	碧磷鬼火	3	49	500	0	50	4040	1	49	别逼我，我发起火来，自己都害怕！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;
90	1	幽冥鬼火	3	50	550	0	51	4140	1	50	别惹我，我也是敢拼命的！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-3:1200:1;74:1-1:500:1;70:1-1:100:1;
91	1	乌游蛇	1	51	600	0	52	4290	1	51	不要欺人太甚！妖也是有火气的！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
92	1	穿天猴	1	52	650	0	53	4440	1	52	咱们就不能好好谈谈吗？动手有意思吗？	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
93	1	黑甲妖	1	53	700	0	52	45900	1	53	不要欺人太甚！妖也是有火气的！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;68:1-1:500:1;
94	1	闪电貂	1	54	750	0	53	4740	1	54	咱们就不能好好谈谈吗？动手有意思吗？	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
95	1	食蛇貂	1	55	800	0	52	4890	1	55	不要欺人太甚！妖也是有火气的！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;70:1-1:100:1;
96	1	乌游王蛇	1	56	850	0	53	5040	1	56	咱们就不能好好谈谈吗？动手有意思吗？	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
97	1	荒野魔蛭	2	53	900	0	54	5190	1	53	你厉害，这总可以了吧！别打了！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;68:1-1:500:1;
98	1	高原魔蛭	2	54	950	0	55	53400	1	54	别杀我，我爷爷是大妖王	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
99	1	近水魔蛭	2	55	1000	0	56	5490	1	55	别动手，有话好好说！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
100	1	荒野魔猿	2	56	1050	0	54	5640	1	56	你厉害，这总可以了吧！别打了！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
101	1	高原魔猿	2	57	1100	0	55	5790	1	57	别杀我，我爷爷是大妖王	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;70:1-1:100:1;
102	1	近水魔猿	2	58	1150	0	56	5940	1	58	别动手，有话好好说！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
103	1	游荡火死巫	3	55	1200	0	57	6090	1	55	给我个机会，我也想做个好妖！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;68:1-1:500:1;
104	1	流浪火死巫	3	56	1250	0	58	6240	1	56	上仙饶命，放过的小的一马！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:100:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
105	1	行脚火死巫	3	57	1300	0	59	6390	1	57	上仙饶命！上仙饶命！上仙饶命！	54:12-17:10000:1;38:10-13:10000:1;6:1-1:10:1;1009:1-1:1000:1;1010:1-1:1000:1;72:1-3:1000:1;79:1-1:1500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
