mapid_XBXXZ	level_XBXXZ	Title_XBXXZ	Npc_XBXXZ	Power_XBXXZ	Merit_XBXXZ
1037	8	太明真君	4118	12	129
1037	9	太明天王	4119	12	134
1037	10	太明元帅	4120	12	139
1038	1	太黄大仙	4121	13	98
1038	2	太黄上仙	4122	13	103
1038	3	太黄功曹	4123	13	108
1038	4	太黄天师	4124	13	113
1038	5	太黄星君	4125	13	118
1038	6	太黄真人	4126	13	123
1038	7	太黄老君	4127	13	128
1038	8	太黄真君	4128	13	133
1038	9	太黄天王	4129	13	138
1038	10	太黄元帅	4130	13	143
1039	1	大罗大仙	4131	14	100
1039	2	大罗上仙	4132	14	105
1039	3	大罗功曹	4133	14	110
1039	4	大罗天师	4134	14	115
1039	5	大罗星君	4135	14	120
1039	6	大罗真人	4136	14	125
1039	7	大罗老君	4137	14	130
1039	8	大罗真君	4138	14	135
1039	9	大罗天王	4139	14	140
1039	10	大罗元帅	4140	14	145
1040	1	始皇大仙	4141	15	108
1040	2	始皇上仙	4142	15	113
1040	3	始皇功曹	4143	15	118
1040	4	始皇天师	4144	15	123
1040	5	始皇星君	4145	15	128
1040	6	始皇真人	4146	15	133
1040	7	始皇老君	4147	15	138
1040	8	始皇真君	4148	15	143
1040	9	始皇天王	4149	15	148
1040	10	始皇元帅	4150	15	153
1041	1	极风大仙	4151	16	116
1041	2	极风上仙	4152	16	121
1041	3	极风功曹	4153	16	126
1041	4	极风天师	4154	16	131
1041	5	极风星君	4155	16	136
1041	6	极风真人	4156	16	141
1041	7	极风老君	4157	16	146
1041	8	极风真君	4158	16	151
1041	9	极风天王	4159	16	156
1041	10	极风元帅	4160	16	161
1042	1	光明大仙	4161	17	124
1042	2	光明上仙	4162	17	129
1042	3	光明功曹	4163	17	134
1042	4	光明天师	4164	17	139
1042	5	光明星君	4165	17	144
1042	6	光明真人	4166	17	149
1042	7	光明老君	4167	17	154
1042	8	光明真君	4168	17	159
1042	9	光明天王	4169	17	164
1042	10	光明元帅	4170	17	169
1043	1	虚无大仙	4171	18	132
1043	2	虚无上仙	4172	18	137
1043	3	虚无功曹	4173	18	142
1043	4	虚无天师	4174	18	147
1043	5	虚无星君	4175	18	152
1043	6	虚无真人	4176	18	157
1043	7	虚无老君	4177	18	162
1043	8	虚无真君	4178	18	167
1043	9	虚无天王	4179	18	172
1043	10	虚无元帅	4180	18	177
1044	1	七曜大仙	4181	19	140
1044	2	七曜上仙	4182	19	145
1044	3	七曜功曹	4183	19	150
1044	4	七曜天师	4184	19	155
1044	5	七曜星君	4185	19	160
1044	6	七曜真人	4186	19	165
1044	7	七曜老君	4187	19	170
1044	8	七曜真君	4188	19	175
1044	9	七曜天王	4189	19	180
1044	10	七曜元帅	4190	19	185
1045	1	皇笳大仙	4191	20	150
1045	2	皇笳上仙	4192	20	155
1045	3	皇笳功曹	4193	20	160
1045	4	皇笳天师	4194	20	165
1045	5	皇笳星君	4195	20	170
1045	6	皇笳真人	4196	20	175
1045	7	皇笳老君	4197	20	180
1045	8	皇笳真君	4198	20	185
1045	9	皇笳天王	4199	20	190
1045	10	皇笳元帅	4200	20	195
1046	1	太皇大仙	4201	21	158
1046	2	太皇上仙	4202	21	163
1046	3	太皇功曹	4203	21	168
1046	4	太皇天师	4204	21	173
1046	5	太皇星君	4205	21	178
1046	6	太皇真人	4206	21	183
1046	7	太皇老君	4207	21	188
1046	8	太皇真君	4208	21	193
1046	9	太皇天王	4209	21	198
1046	10	太皇元帅	4210	21	203
1047	1	太极大仙	4211	22	162
1047	2	太极上仙	4212	22	167
1047	3	太极功曹	4213	22	172
1047	4	太极天师	4214	22	177
1047	5	太极星君	4215	22	182
1047	6	太极真人	4216	22	187
1047	7	太极老君	4217	22	192
1047	8	太极真君	4218	22	197
1047	9	太极天王	4219	22	202
1047	10	太极元帅	4220	22	207
1048	1	玄武大仙	4221	23	200
1048	2	玄武上仙	4222	23	205
1048	3	玄武功曹	4223	23	210
1048	4	玄武天师	4224	23	215
1048	5	玄武星君	4225	23	220
1048	6	玄武真人	4226	23	225
1048	7	玄武老君	4227	23	230
1048	8	玄武真君	4228	23	235
1048	9	玄武天王	4229	23	240
1048	10	玄武元帅	4230	23	245
1049	1	朱雀大仙	4231	24	208
1049	2	朱雀上仙	4232	24	213
1049	3	朱雀功曹	4233	24	218
1049	4	朱雀天师	4234	24	223
1049	5	朱雀星君	4235	24	228
1049	6	朱雀真人	4236	24	233
1049	7	朱雀老君	4237	24	238
1049	8	朱雀真君	4238	24	243
1049	9	朱雀天王	4239	24	248
1049	10	朱雀元帅	4240	24	253
1050	1	白虎大仙	4241	25	216
1050	2	白虎上仙	4242	25	221
1050	3	白虎功曹	4243	25	226
1050	4	白虎天师	4244	25	231
1050	5	白虎星君	4245	25	236
1050	6	白虎真人	4246	25	241
1050	7	白虎老君	4247	25	246
1050	8	白虎真君	4248	25	251
1050	9	白虎天王	4249	25	256
1050	10	白虎元帅	4250	25	261
1051	1	青龙大仙	4251	26	224
1051	2	青龙上仙	4252	26	229
1051	3	青龙功曹	4253	26	234
1051	4	青龙天师	4254	26	239
1051	5	青龙星君	4255	26	244
1051	6	青龙真人	4256	26	249
1051	7	青龙老君	4257	26	254
1051	8	青龙真君	4258	26	259
1051	9	青龙天王	4259	26	264
1051	10	青龙元帅	4260	26	269
1052	1	大焚大仙	4261	27	232
1052	2	大焚上仙	4262	27	237
1052	3	大焚功曹	4263	27	242
1052	4	大焚天师	4264	27	247
1052	5	大焚星君	4265	27	252
1052	6	大焚真人	4266	27	257
1052	7	大焚老君	4267	27	262
1052	8	大焚真君	4268	27	267
1052	9	大焚天王	4269	27	272
1052	10	大焚元帅	4270	27	277
1053	1	东极大仙	4271	28	400
1053	2	东极上仙	4272	28	405
1053	3	东极功曹	4273	28	410
1053	4	东极天师	4274	28	415
1053	5	东极星君	4275	28	420
1053	6	东极真人	4276	28	425
1053	7	东极老君	4277	28	430
1053	8	东极真君	4278	28	435
1053	9	东极天王	4279	28	440
1053	10	东极元帅	4280	28	445
1054	1	西极大仙	4281	29	408
1054	2	西极上仙	4282	29	413
1054	3	西极功曹	4283	29	418
1054	4	西极天师	4284	29	423
1054	5	西极星君	4285	29	428
1054	6	西极真人	4286	29	433
1054	7	西极老君	4287	29	438
1054	8	西极真君	4288	29	443
1054	9	西极天王	4289	29	448
1054	10	西极元帅	4290	29	453
1055	1	南极大仙	4291	30	416
1055	2	南极上仙	4292	30	421
1055	3	南极功曹	4293	30	426
1055	4	南极天师	4294	30	431
1055	5	南极星君	4295	30	436
1055	6	南极真人	4296	30	441
1055	7	南极老君	4297	30	446
1055	8	南极真君	4298	30	451
1055	9	南极天王	4299	30	456
1055	10	南极元帅	4300	30	461
1056	1	北极大仙	4301	31	424
1056	2	北极上仙	4302	31	429
1056	3	北极功曹	4303	31	434
1056	4	北极天师	4304	31	439
1056	5	北极星君	4305	31	444
1056	6	北极真人	4306	31	449
1056	7	北极老君	4307	31	454
1056	8	北极真君	4308	31	459
1056	9	北极天王	4309	31	464
1056	10	北极元帅	4310	31	469
1057	1	皇地大仙	4311	32	432
1057	2	皇地上仙	4312	32	437
1057	3	皇地功曹	4313	32	442
1057	4	皇地天师	4314	32	447
1057	5	皇地星君	4315	32	452
1057	6	皇地真人	4316	32	457
1057	7	皇地老君	4317	32	462
1057	8	皇地真君	4318	32	467
1057	9	皇地天王	4319	32	472
1057	10	皇地元帅	4320	32	477
1058	1	玉皇大仙	4321	33	450
1058	2	玉皇上仙	4322	33	455
1058	3	玉皇功曹	4323	33	460
1058	4	玉皇天师	4324	33	465
1058	5	玉皇星君	4325	33	470
1058	6	玉皇真人	4326	33	475
1058	7	玉皇老君	4327	33	480
1058	8	玉皇真君	4328	33	485
1058	9	玉皇天王	4329	33	490
1058	10	玉皇元帅	4330	33	495
1060	1	枉死牛头	4331	34	150
1060	2	枉死马面	4332	34	155
1060	3	枉死勾魂使	4333	34	160
1060	4	枉死黑无常	4334	34	165
1060	5	枉死白无常	4335	34	170
1060	6	枉死鬼姬	4336	34	175
1060	7	枉死鬼将	4337	34	180
1060	8	枉死判官	4338	34	185
1060	9	枉死鬼帅	4339	34	190
1060	10	枉死鬼王	4340	34	195
1061	1	火山牛头	4341	35	158
1061	2	火山马面	4342	35	163
1061	3	火山勾魂使	4343	35	168
1061	4	火山黑无常	4344	35	173
1061	5	火山白无常	4345	35	178
1061	6	火山鬼姬	4346	35	183
1061	7	火山鬼将	4347	35	188
1061	8	火山判官	4348	35	193
1061	9	火山鬼帅	4349	35	198
1061	10	火山鬼王	4350	35	203
1062	1	白骨牛头	4351	36	166
1062	2	白骨马面	4352	36	171
1062	3	白骨勾魂使	4353	36	176
1062	4	白骨黑无常	4354	36	181
1062	5	白骨白无常	4355	36	186
1062	6	白骨鬼姬	4356	36	191
1062	7	白骨鬼将	4357	36	196
1062	8	白骨判官	4358	36	201
1062	9	白骨鬼帅	4359	36	206
1062	10	白骨鬼王	4360	36	211
1063	1	乱魂牛头	4361	37	174
1063	2	乱魂马面	4362	37	179
1063	3	乱魂勾魂使	4363	37	184
1063	4	乱魂黑无常	4364	37	189
1063	5	乱魂白无常	4365	37	194
1063	6	乱魂鬼姬	4366	37	199
1063	7	乱魂鬼将	4367	37	204
1063	8	乱魂判官	4368	37	209
1063	9	乱魂鬼帅	4369	37	214
1063	10	乱魂鬼王	4370	37	219
1064	1	黑绳牛头	4371	38	200
1064	2	黑绳马面	4372	38	205
1064	3	黑绳勾魂使	4373	38	210
1064	4	黑绳黑无常	4374	38	215
1064	5	黑绳白无常	4375	38	220
1064	6	黑绳鬼姬	4376	38	225
1064	7	黑绳鬼将	4377	38	230
1064	8	黑绳判官	4378	38	235
1064	9	黑绳鬼帅	4379	38	240
1064	10	黑绳鬼王	4380	38	245
1065	1	寂静牛头	4381	39	208
1065	2	寂静马面	4382	39	213
1065	3	寂静勾魂使	4383	39	218
1065	4	寂静黑无常	4384	39	223
1065	5	寂静白无常	4385	39	228
1065	6	寂静鬼姬	4386	39	233
1065	7	寂静鬼将	4387	39	238
1065	8	寂静判官	4388	39	243
1065	9	寂静鬼帅	4389	39	248
1065	10	寂静鬼王	4390	39	253
1066	1	血莲牛头	4391	40	216
1066	2	血莲马面	4392	40	221
1066	3	血莲勾魂使	4393	40	226
1066	4	血莲黑无常	4394	40	231
1066	5	血莲白无常	4395	40	236
1066	6	血莲鬼姬	4396	40	241
1066	7	血莲鬼将	4397	40	246
1066	8	血莲判官	4398	40	251
1066	9	血莲鬼帅	4399	40	256
1066	10	血莲鬼王	4400	40	261
1067	1	血池牛头	4401	41	224
1067	2	血池马面	4402	41	229
1067	3	血池勾魂使	4403	41	234
1067	4	血池黑无常	4404	41	239
1067	5	血池白无常	4405	41	244
1067	6	血池鬼姬	4406	41	249
1067	7	血池鬼将	4407	41	254
1067	8	血池判官	4408	41	259
1067	9	血池鬼帅	4409	41	264
1067	10	血池鬼王	4410	41	269
1068	1	哀嚎牛头	4411	42	232
1068	2	哀嚎马面	4412	42	237
1068	3	哀嚎勾魂使	4413	42	242
1068	4	哀嚎黑无常	4414	42	247
1068	5	哀嚎白无常	4415	42	252
1068	6	哀嚎鬼姬	4416	42	257
1068	7	哀嚎鬼将	4417	42	262
1068	8	哀嚎判官	4418	42	267
1068	9	哀嚎鬼帅	4419	42	272
1068	10	哀嚎鬼王	4420	42	277
1069	1	阴灵牛头	4421	43	240
1069	2	阴灵马面	4422	43	245
1069	3	阴灵勾魂使	4423	43	250
1069	4	阴灵黑无常	4424	43	255
1069	5	阴灵白无常	4425	43	260
1069	6	阴灵鬼姬	4426	43	265
1069	7	阴灵鬼将	4427	43	270
1069	8	阴灵判官	4428	43	275
1069	9	阴灵鬼帅	4429	43	280
1069	10	阴灵鬼王	4430	43	285
1070	1	怨魂牛头	4431	44	248
1070	2	怨魂马面	4432	44	253
1070	3	怨魂勾魂使	4433	44	258
1070	4	怨魂黑无常	4434	44	263
1070	5	怨魂白无常	4435	44	268
1070	6	怨魂鬼姬	4436	44	273
1070	7	怨魂鬼将	4437	44	278
1070	8	怨魂判官	4438	44	283
1070	9	怨魂鬼帅	4439	44	288
1070	10	怨魂鬼王	4440	44	293
1071	1	冥冬牛头	4441	45	250
1071	2	冥冬马面	4442	45	255
1071	3	冥冬勾魂使	4443	45	260
1071	4	冥冬黑无常	4444	45	265
1071	5	冥冬白无常	4445	45	270
1071	6	冥冬鬼姬	4446	45	275
1071	7	冥冬鬼将	4447	45	280
1071	8	冥冬判官	4448	45	285
1071	9	冥冬鬼帅	4449	45	290
1071	10	冥冬鬼王	4450	45	295
1072	1	永夜牛头	4451	46	258
1072	2	永夜马面	4452	46	263
1072	3	永夜勾魂使	4453	46	268
1072	4	永夜黑无常	4454	46	273
1072	5	永夜白无常	4455	46	278
1072	6	永夜鬼姬	4456	46	283
1072	7	永夜鬼将	4457	46	288
1072	8	永夜判官	4458	46	293
1072	9	永夜鬼帅	4459	46	298
1072	10	永夜鬼王	4460	46	303
1073	1	寒冰牛头	4461	47	300
1073	2	寒冰马面	4462	47	305
1073	3	寒冰勾魂使	4463	47	310
1073	4	寒冰黑无常	4464	47	315
1073	5	寒冰白无常	4465	47	320
1073	6	寒冰鬼姬	4466	47	325
1073	7	寒冰鬼将	4467	47	330
1073	8	寒冰判官	4468	47	335
1073	9	寒冰鬼帅	4469	47	340
1073	10	寒冰鬼王	4470	47	345
1074	1	阿鼻牛头	4471	48	350
1074	2	阿鼻马面	4472	48	355
1074	3	阿鼻勾魂使	4473	48	360
1074	4	阿鼻黑无常	4474	48	365
1074	5	阿鼻白无常	4475	48	370
1074	6	阿鼻鬼姬	4476	48	375
1074	7	阿鼻鬼将	4477	48	380
1074	8	阿鼻判官	4478	48	385
1074	9	阿鼻鬼帅	4479	48	390
1074	10	阿鼻鬼王	4480	48	395
1075	1	阴阳牛头	4481	49	358
1075	2	阴阳马面	4482	49	363
1075	3	阴阳勾魂使	4483	49	368
1075	4	阴阳黑无常	4484	49	373
1075	5	阴阳白无常	4485	49	378
1075	6	阴阳鬼姬	4486	49	383
1075	7	阴阳鬼将	4487	49	388
1075	8	阴阳判官	4488	49	393
1075	9	阴阳鬼帅	4489	49	398
1075	10	阴阳鬼王	4490	49	403
1076	1	红莲牛头	4491	50	400
1076	2	红莲马面	4492	50	405
1076	3	红莲勾魂使	4493	50	410
1076	4	红莲黑无常	4494	50	415
1076	5	红莲白无常	4495	50	420
1076	6	红莲鬼姬	4496	50	425
1076	7	红莲鬼将	4497	50	430
1076	8	红莲判官	4498	50	435
1076	9	红莲鬼帅	4499	50	440
1076	10	红莲鬼王	4500	50	445
1077	1	青莲牛头	4501	51	404
1077	2	青莲马面	4502	51	409
1077	3	青莲勾魂使	4503	51	414
1077	4	青莲黑无常	4504	51	419
1077	5	青莲白无常	4505	51	424
1077	6	青莲鬼姬	4506	51	429
1077	7	青莲鬼将	4507	51	434
1077	8	青莲判官	4508	51	439
1077	9	青莲鬼帅	4509	51	444
1077	10	青莲鬼王	4510	51	449
1078	1	无间牛头	4511	52	450
1078	2	无间马面	4512	52	455
1078	3	无间勾魂使	4513	52	460
1078	4	无间黑无常	4514	52	465
1078	5	无间白无常	4515	52	470
1078	6	无间鬼姬	4516	52	475
1078	7	无间鬼将	4517	52	480
1078	8	无间判官	4518	52	485
1078	9	无间鬼帅	4519	52	490
1078	10	无间鬼王	4520	52	495
1080	1	剧毒魔头	4521	53	200
1080	2	剧毒老魔	4522	53	205
1080	3	剧毒真魔	4523	53	210
1080	4	剧毒恶魔	4524	53	215
1080	5	剧毒魅魔	4525	53	220
1080	6	剧毒魔姬	4526	53	225
1080	7	剧毒魔将	4527	53	230
1080	8	剧毒心魔	4528	53	235
1080	9	剧毒天魔	4529	53	240
1080	10	剧毒魔帅	4530	53	245
1081	1	火焰魔头	4531	54	250
1081	2	火焰老魔	4532	54	255
1081	3	火焰真魔	4533	54	260
1081	4	火焰恶魔	4534	54	265
1081	5	火焰魅魔	4535	54	270
1081	6	火焰魔姬	4536	54	275
1081	7	火焰魔将	4537	54	280
1081	8	火焰心魔	4538	54	285
1081	9	火焰天魔	4539	54	290
1081	10	火焰魔帅	4540	54	295
1082	1	诅咒魔头	4541	55	258
1082	2	诅咒老魔	4542	55	263
1082	3	诅咒真魔	4543	55	268
1082	4	诅咒恶魔	4544	55	273
1082	5	诅咒魅魔	4545	55	278
1082	6	诅咒魔姬	4546	55	283
1082	7	诅咒魔将	4547	55	288
1082	8	诅咒心魔	4548	55	293
1082	9	诅咒天魔	4549	55	298
1082	10	诅咒魔帅	4550	55	303
1083	1	恐惧魔头	4551	56	266
1083	2	恐惧老魔	4552	56	271
1083	3	恐惧真魔	4553	56	276
1083	4	恐惧恶魔	4554	56	281
1083	5	恐惧魅魔	4555	56	286
1083	6	恐惧魔姬	4556	56	291
1083	7	恐惧魔将	4557	56	296
1083	8	恐惧心魔	4558	56	301
1083	9	恐惧天魔	4559	56	306
1083	10	恐惧魔帅	4560	56	311
1084	1	深渊魔头	4561	57	300
1084	2	深渊老魔	4562	57	305
1084	3	深渊真魔	4563	57	310
1084	4	深渊恶魔	4564	57	315
1084	5	深渊魅魔	4565	57	320
1084	6	深渊魔姬	4566	57	325
1084	7	深渊魔将	4567	57	330
1084	8	深渊心魔	4568	57	335
1084	9	深渊天魔	4569	57	340
1084	10	深渊魔帅	4570	57	345
1085	1	欲界魔头	4571	58	350
1085	2	欲界老魔	4572	58	355
1085	3	欲界真魔	4573	58	360
1085	4	欲界恶魔	4574	58	365
1085	5	欲界魅魔	4575	58	370
1085	6	欲界魔姬	4576	58	375
1085	7	欲界魔将	4577	58	380
1085	8	欲界心魔	4578	58	385
1085	9	欲界天魔	4579	58	390
1085	10	欲界魔帅	4580	58	395
1086	1	极乐魔头	4581	59	358
1086	2	极乐老魔	4582	59	363
1086	3	极乐真魔	4583	59	368
1086	4	极乐恶魔	4584	59	373
1086	5	极乐魅魔	4585	59	378
1086	6	极乐魔姬	4586	59	383
1086	7	极乐魔将	4587	59	388
1086	8	极乐心魔	4588	59	393
1086	9	极乐天魔	4589	59	398
1086	10	极乐魔帅	4590	59	403
1087	1	黑暗魔头	4591	60	366
1087	2	黑暗老魔	4592	60	371
1087	3	黑暗真魔	4593	60	376
1087	4	黑暗恶魔	4594	60	381
1087	5	黑暗魅魔	4595	60	386
1087	6	黑暗魔姬	4596	60	391
1087	7	黑暗魔将	4597	60	396
1087	8	黑暗心魔	4598	60	401
1087	9	黑暗天魔	4599	60	406
1087	10	黑暗魔帅	4600	60	411
1088	1	毁灭魔头	4601	61	374
1088	2	毁灭老魔	4602	61	379
1088	3	毁灭真魔	4603	61	384
1088	4	毁灭恶魔	4604	61	389
1088	5	毁灭魅魔	4605	61	394
1088	6	毁灭魔姬	4606	61	399
1088	7	毁灭魔将	4607	61	404
1088	8	毁灭心魔	4608	61	409
1088	9	毁灭天魔	4609	61	414
1088	10	毁灭魔帅	4610	61	419
1089	1	小魔界魔头	4611	62	400
1089	2	小魔界老魔	4612	62	405
1089	3	小魔界真魔	4613	62	410
1089	4	小魔界恶魔	4614	62	415
1089	5	小魔界魅魔	4615	62	420
1089	6	小魔界魔姬	4616	62	425
1089	7	小魔界魔将	4617	62	430
1089	8	小魔界心魔	4618	62	435
1089	9	小魔界天魔	4619	62	440
1089	10	小魔界魔帅	4620	62	445
1090	1	魔佛魔头	4621	63	408
1090	2	魔佛老魔	4622	63	413
1090	3	魔佛真魔	4623	63	418
1090	4	魔佛恶魔	4624	63	423
1090	5	魔佛魅魔	4625	63	428
1090	6	魔佛魔姬	4626	63	433
1090	7	魔佛魔将	4627	63	438
1090	8	魔佛心魔	4628	63	443
1090	9	魔佛天魔	4629	63	448
1090	10	魔佛魔帅	4630	63	453
1091	1	异度魔头	4631	64	416
1091	2	异度老魔	4632	64	421
1091	3	异度真魔	4633	64	426
1091	4	异度恶魔	4634	64	431
1091	5	异度魅魔	4635	64	436
1091	6	异度魔姬	4636	64	441
1091	7	异度魔将	4637	64	446
1091	8	异度心魔	4638	64	451
1091	9	异度天魔	4639	64	456
1091	10	异度魔帅	4640	64	461
1092	1	血魔界魔头	4641	65	424
1092	2	血魔界老魔	4642	65	429
1092	3	血魔界真魔	4643	65	434
1092	4	血魔界恶魔	4644	65	439
1092	5	血魔界魅魔	4645	65	444
1092	6	血魔界魔姬	4646	65	449
1092	7	血魔界魔将	4647	65	454
1092	8	血魔界心魔	4648	65	459
1092	9	血魔界天魔	4649	65	464
1092	10	血魔界魔帅	4650	65	469
1093	1	天魔界魔头	4651	66	432
1093	2	天魔界老魔	4652	66	437
1093	3	天魔界真魔	4653	66	442
1093	4	天魔界恶魔	4654	66	447
1093	5	天魔界魅魔	4655	66	452
1093	6	天魔界魔姬	4656	66	457
1093	7	天魔界魔将	4657	66	462
1093	8	天魔界心魔	4658	66	467
1093	9	天魔界天魔	4659	66	472
1093	10	天魔界魔帅	4660	66	477
1094	1	魔神界魔头	4661	67	450
1094	2	魔神界老魔	4662	67	455
1094	3	魔神界真魔	4663	67	460
1094	4	魔神界恶魔	4664	67	465
1094	5	魔神界魅魔	4665	67	470
1094	6	魔神界魔姬	4666	67	475
1094	7	魔神界魔将	4667	67	480
1094	8	魔神界心魔	4668	67	485
1094	9	魔神界天魔	4669	67	490
1094	10	魔神界魔帅	4670	67	495
1026	11	梵度.廉贞星君	7001	1	40
1026	12	梵度.禄存星君	7002	1	42
1026	13	梵度.巨门星君	7003	1	44
1026	14	梵度.度厄星君	7004	1	46
1026	15	梵度.司禄星君	7005	1	48
1026	16	梵度.延寿星君	7006	1	50
1026	17	梵度.上生星君	7007	1	52
1026	18	梵度.文曲星君	7008	1	54
1026	19	梵度.武曲星君	7009	1	56
1026	20	梵度.益算星君	7010	1	58
1026	21	梵度.贪狼星君	7011	1	60
1026	22	梵度.司命星君	7012	1	62
1026	23	梵度.破军星君	7013	1	64
1027	11	玉隆.廉贞星君	7014	2	42
1027	12	玉隆.禄存星君	7015	2	44
1027	13	玉隆.巨门星君	7016	2	46
1027	14	玉隆.度厄星君	7017	2	48
1027	15	玉隆.司禄星君	7018	2	50
1027	16	玉隆.延寿星君	7019	2	52
1027	17	玉隆.上生星君	7020	2	54
1027	18	玉隆.文曲星君	7021	2	56
1027	19	玉隆.武曲星君	7022	2	58
1027	20	玉隆.益算星君	7023	2	60
1027	21	玉隆.贪狼星君	7024	2	62
1027	22	玉隆.司命星君	7025	2	64
1027	23	玉隆.破军星君	7026	2	66
1028	11	妙成.廉贞星君	7027	3	43
1028	12	妙成.禄存星君	7028	3	45
1028	13	妙成.巨门星君	7029	3	47
1028	14	妙成.度厄星君	7030	3	49
1028	15	妙成.司禄星君	7031	3	51
1028	16	妙成.延寿星君	7032	3	53
1028	17	妙成.上生星君	7033	3	55
1028	18	妙成.文曲星君	7034	3	57
1028	19	妙成.武曲星君	7035	3	59
1028	20	妙成.益算星君	7036	3	61
1028	21	妙成.贪狼星君	7037	3	63
1028	22	妙成.司命星君	7038	3	65
1028	23	妙成.破军星君	7039	3	67
1029	11	无思.廉贞星君	7040	4	45
1029	12	无思.禄存星君	7041	4	47
1029	13	无思.巨门星君	7042	4	49
1029	14	无思.度厄星君	7043	4	51
1029	15	无思.司禄星君	7044	4	53
1029	16	无思.延寿星君	7045	4	55
1029	17	无思.上生星君	7046	4	57
1029	18	无思.文曲星君	7047	4	59
