level_XBXXZ	neednum_XBXXZ	damage_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	bang_XBXXZ	dodge_XBXXZ	itemid_XBXXZ	text_XBXXZ
17	1		80					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
18	1			800				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
19	1				80			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
20	1					80	2853	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
21	1	90						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
22	1		90					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
23	1			900				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
24	1				90			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
25	1					90		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
26	1	100						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
27	1		100					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
28	1			1000				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
29	1				100			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
30	1					100	2854	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
31	1	110						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
32	1		110					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
33	1			1100				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
34	1				110			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
35	1					110		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
36	1	120						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
37	1		120					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
38	1			1200				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
39	1				120			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
40	1					120	2855	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
41	1	130						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
42	1		130					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
43	1			1300				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
44	1				130			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
45	1					130		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
46	1	140						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
47	1		140					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
48	1			1400				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
49	1				140			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
50	1					140	2856	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
51	1	150						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
52	1		150					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
53	1			1500				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
54	1				150			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
55	1					150		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
56	1	160						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
57	1		160					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
58	1			1600				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
59	1				160			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
60	1					160	2857	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
61	1	170						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
62	1		170					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
63	1			1700				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
64	1				170			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
65	1					170		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
66	1	180						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
67	1		180					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
68	1			1800				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
69	1				180			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
70	1					180	2858	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
71	1	190						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
72	1		190					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
73	1			1900				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
74	1				190			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
75	1					190		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
76	1	200						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
77	1		200					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
78	1			2000				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
79	1				200			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
80	1					200	2859	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
81	1	210						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
82	1		210					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
83	1			2100				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
84	1				210			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
85	1					210		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
86	1	220						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
87	1		220					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
88	1			2200				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
89	1				220			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
90	1					220	2860	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
91	1	230						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
92	1		230					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
93	1			2300				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
94	1				230			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
95	1					230		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
96	1	240						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
97	1		240					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
98	1			2400				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
99	1				240			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
100	1					240	2861	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
101	1	250						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
102	1		250					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
103	1			2500				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
104	1				250			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
105	1					250		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
106	1	260						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
107	1		260					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
108	1			2600				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
109	1				260			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
110	1					260	2862	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
111	1	270						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
112	1		270					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
113	1			2700				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
114	1				270			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
115	1					270		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
116	1	280						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
117	1		280					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
118	1			2800				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
119	1				280			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
