TaskID_XBXXZ	Title_XBXXZ	Desc_XBXXZ	Merit_XBXXZ	Stone_XBXXZ	NeedLevel_XBXXZ	LianDanLevel_XBXXZ	LianQiLevel_XBXXZ	Map_XBXXZ	Npcs_XBXXZ
2097	开辟小世界	在荣华天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6009;6076;6143;6009;6076;6143;6009;6076;6143;
2098	开辟小世界	在玄明天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6010;6077;6144;6010;6077;6144;6010;6077;6144;
2099	开辟小世界	在玄胎天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6011;6078;6145;6011;6078;6145;6011;6078;6145;
2100	开辟小世界	在太明天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6012;6079;6146;6012;6079;6146;6012;6079;6146;
2101	开辟小世界	在太黄天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6013;6080;6147;6013;6080;6147;6013;6080;6147;
2102	开辟小世界	在大罗天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6014;6081;6148;6014;6081;6148;6014;6081;6148;
2103	开辟小世界	在始皇天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6015;6082;6149;6015;6082;6149;6015;6082;6149;
2104	开辟小世界	在极风天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6016;6083;6150;6016;6083;6150;6016;6083;6150;
2105	开辟小世界	在光明天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6017;6084;6151;6017;6084;6151;6017;6084;6151;
2106	开辟小世界	在虚无天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6018;6085;6152;6018;6085;6152;6018;6085;6152;
2107	开辟小世界	在七曜天范围内，加强探索，开辟新的小世界！	5	0	0	0	0	0	6019;6086;6153;6019;6086;6153;6019;6086;6153;
2108	开辟小世界	在皇笳天范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6020;6087;6154;6020;6087;6154;6020;6087;6154;
2109	开辟小世界	在太皇天范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6021;6088;6155;6021;6088;6155;6021;6088;6155;
2110	开辟小世界	在太极天范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6022;6089;6156;6022;6089;6156;6022;6089;6156;
2111	开辟小世界	在玄武天范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6023;6090;6157;6023;6090;6157;6023;6090;6157;
2112	开辟小世界	在朱雀天范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6024;6091;6158;6024;6091;6158;6024;6091;6158;
2113	开辟小世界	在白虎天范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6025;6092;6159;6025;6092;6159;6025;6092;6159;
2114	开辟小世界	在青龙天范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6026;6093;6160;6026;6093;6160;6026;6093;6160;
2115	开辟小世界	在大焚天范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6027;6094;6161;6027;6094;6161;6027;6094;6161;
2116	开辟小世界	在东极天范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6028;6095;6162;6028;6095;6162;6028;6095;6162;
2117	开辟小世界	在西极天范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6029;6096;6163;6029;6096;6163;6029;6096;6163;
2118	开辟小世界	在南极天范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6030;6097;6164;6030;6097;6164;6030;6097;6164;
2119	开辟小世界	在北极天范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6031;6098;6165;6031;6098;6165;6031;6098;6165;
2120	开辟小世界	在皇地祇范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6032;6099;6166;6032;6099;6166;6032;6099;6166;
2121	开辟小世界	在玉皇天范围内，加强探索，开辟新的小世界！	12	0	0	0	0	0	6033;6100;6167;6033;6100;6167;6033;6100;6167;
2122	开辟小世界	在枉死地狱范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6034;6101;6168;6034;6101;6168;6034;6101;6168;
2123	开辟小世界	在火山地狱范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6035;6102;6169;6035;6102;6169;6035;6102;6169;
2124	开辟小世界	在白骨地狱范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6036;6103;6170;6036;6103;6170;6036;6103;6170;
2125	开辟小世界	在乱魂地狱范围内，加强探索，开辟新的小世界！	6	0	0	0	0	0	6037;6104;6171;6037;6104;6171;6037;6104;6171;
2126	开辟小世界	在黑绳地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6038;6105;6172;6038;6105;6172;6038;6105;6172;
2127	开辟小世界	在寂静地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6039;6106;6173;6039;6106;6173;6039;6106;6173;
2128	开辟小世界	在血莲地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6040;6107;6174;6040;6107;6174;6040;6107;6174;
2129	开辟小世界	在血池地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6041;6108;6175;6041;6108;6175;6041;6108;6175;
2130	开辟小世界	在哀嚎地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6042;6109;6176;6042;6109;6176;6042;6109;6176;
2131	开辟小世界	在阴灵地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6043;6110;6177;6043;6110;6177;6043;6110;6177;
2132	开辟小世界	在怨魂地狱范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6044;6111;6178;6044;6111;6178;6044;6111;6178;
2133	开辟小世界	在冥冬地狱范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6045;6112;6179;6045;6112;6179;6045;6112;6179;
2134	开辟小世界	在永夜地狱范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6046;6113;6180;6046;6113;6180;6046;6113;6180;
2135	开辟小世界	在寒冰地狱范围内，加强探索，开辟新的小世界！	9	0	0	0	0	0	6047;6114;6181;6047;6114;6181;6047;6114;6181;
2136	开辟小世界	在阿鼻地狱范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6048;6115;6182;6048;6115;6182;6048;6115;6182;
2137	开辟小世界	在阴阳地狱范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6049;6116;6183;6049;6116;6183;6049;6116;6183;
2138	开辟小世界	在红莲地狱范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6050;6117;6184;6050;6117;6184;6050;6117;6184;
2139	开辟小世界	在青莲地狱范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6051;6118;6185;6051;6118;6185;6051;6118;6185;
2140	开辟小世界	在无间炼狱范围内，加强探索，开辟新的小世界！	12	0	0	0	0	0	6052;6119;6186;6052;6119;6186;6052;6119;6186;
2141	开辟小世界	在剧毒魔界范围内，加强探索，开辟新的小世界！	7	0	0	0	0	0	6053;6120;6187;6053;6120;6187;6053;6120;6187;
2142	开辟小世界	在火焰魔界范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6054;6121;6188;6054;6121;6188;6054;6121;6188;
2143	开辟小世界	在诅咒魔界范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6055;6122;6189;6055;6122;6189;6055;6122;6189;
2144	开辟小世界	在恐惧魔界范围内，加强探索，开辟新的小世界！	8	0	0	0	0	0	6056;6123;6190;6056;6123;6190;6056;6123;6190;
2145	开辟小世界	在深渊魔界范围内，加强探索，开辟新的小世界！	9	0	0	0	0	0	6057;6124;6191;6057;6124;6191;6057;6124;6191;
2146	开辟小世界	在欲界范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6058;6125;6192;6058;6125;6192;6058;6125;6192;
2147	开辟小世界	在极乐界范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6059;6126;6193;6059;6126;6193;6059;6126;6193;
2148	开辟小世界	在黑暗魔界范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6060;6127;6194;6060;6127;6194;6060;6127;6194;
2149	开辟小世界	在毁灭魔界范围内，加强探索，开辟新的小世界！	10	0	0	0	0	0	6061;6128;6195;6061;6128;6195;6061;6128;6195;
2150	开辟小世界	在小魔界范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6062;6129;6196;6062;6129;6196;6062;6129;6196;
2151	开辟小世界	在魔佛界范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6063;6130;6197;6063;6130;6197;6063;6130;6197;
2152	开辟小世界	在异度魔界范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6064;6131;6198;6064;6131;6198;6064;6131;6198;
2153	开辟小世界	在血魔界范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6065;6132;6199;6065;6132;6199;6065;6132;6199;
2154	开辟小世界	在天魔界范围内，加强探索，开辟新的小世界！	11	0	0	0	0	0	6066;6133;6200;6066;6133;6200;6066;6133;6200;
2155	开辟小世界	在魔神界范围内，加强探索，开辟新的小世界！	12	0	0	0	0	0	6067;6134;6201;6067;6134;6201;6067;6134;6201;
2156	抵御域外天魔	在梵度天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6202;6202;6202;6202;6202;6202;6202;6202;6202;6202;
2157	抵御域外天魔	在玉隆天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6203;6203;6203;6203;6203;6203;6203;6203;6203;6203;
2158	抵御域外天魔	在妙成天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6204;6204;6204;6204;6204;6204;6204;6204;6204;6204;
2159	抵御域外天魔	在无思天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6205;6205;6205;6205;6205;6205;6205;6205;6205;6205;
2160	抵御域外天魔	在元载天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6206;6206;6206;6206;6206;6206;6206;6206;6206;6206;
2161	抵御域外天魔	在灵明天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6207;6207;6207;6207;6207;6207;6207;6207;6207;6207;
2162	抵御域外天魔	在赤明天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6208;6208;6208;6208;6208;6208;6208;6208;6208;6208;
2163	抵御域外天魔	在太安天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6209;6209;6209;6209;6209;6209;6209;6209;6209;6209;
2164	抵御域外天魔	在荣华天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6210;6210;6210;6210;6210;6210;6210;6210;6210;6210;
2165	抵御域外天魔	在玄明天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6211;6211;6211;6211;6211;6211;6211;6211;6211;6211;
2166	抵御域外天魔	在玄胎天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6212;6212;6212;6212;6212;6212;6212;6212;6212;6212;
2167	抵御域外天魔	在太明天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6213;6213;6213;6213;6213;6213;6213;6213;6213;6213;
2168	抵御域外天魔	在太黄天界域外围，抵御域外天魔入侵！	5	0	0	0	0	0	6214;6214;6214;6214;6214;6214;6214;6214;6214;6214;
2169	抵御域外天魔	在大罗天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6215;6215;6215;6215;6215;6215;6215;6215;6215;6215;
2170	抵御域外天魔	在始皇天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6216;6216;6216;6216;6216;6216;6216;6216;6216;6216;
2171	抵御域外天魔	在极风天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6217;6217;6217;6217;6217;6217;6217;6217;6217;6217;
2172	抵御域外天魔	在光明天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6218;6218;6218;6218;6218;6218;6218;6218;6218;6218;
2173	抵御域外天魔	在虚无天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6219;6219;6219;6219;6219;6219;6219;6219;6219;6219;
2174	抵御域外天魔	在七曜天界域外围，抵御域外天魔入侵！	6	0	0	0	0	0	6220;6220;6220;6220;6220;6220;6220;6220;6220;6220;
2175	抵御域外天魔	在皇笳天界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6221;6221;6221;6221;6221;6221;6221;6221;6221;6221;
2176	抵御域外天魔	在太皇天界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6222;6222;6222;6222;6222;6222;6222;6222;6222;6222;
2177	抵御域外天魔	在太极天界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6223;6223;6223;6223;6223;6223;6223;6223;6223;6223;
2178	抵御域外天魔	在玄武天界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6224;6224;6224;6224;6224;6224;6224;6224;6224;6224;
2179	抵御域外天魔	在朱雀天界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6225;6225;6225;6225;6225;6225;6225;6225;6225;6225;
2180	抵御域外天魔	在白虎天界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6226;6226;6226;6226;6226;6226;6226;6226;6226;6226;
2181	抵御域外天魔	在青龙天界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6227;6227;6227;6227;6227;6227;6227;6227;6227;6227;
2182	抵御域外天魔	在大焚天界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6228;6228;6228;6228;6228;6228;6228;6228;6228;6228;
2183	抵御域外天魔	在东极天界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6229;6229;6229;6229;6229;6229;6229;6229;6229;6229;
2184	抵御域外天魔	在西极天界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6230;6230;6230;6230;6230;6230;6230;6230;6230;6230;
2185	抵御域外天魔	在南极天界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6231;6231;6231;6231;6231;6231;6231;6231;6231;6231;
2186	抵御域外天魔	在北极天界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6232;6232;6232;6232;6232;6232;6232;6232;6232;6232;
2187	抵御域外天魔	在皇地祇界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6233;6233;6233;6233;6233;6233;6233;6233;6233;6233;
2188	抵御域外天魔	在玉皇天界域外围，抵御域外天魔入侵！	13	0	0	0	0	0	6234;6234;6234;6234;6234;6234;6234;6234;6234;6234;
2189	抵御域外天魔	在枉死地狱界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6235;6235;6235;6235;6235;6235;6235;6235;6235;6235;
2190	抵御域外天魔	在火山地狱界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6236;6236;6236;6236;6236;6236;6236;6236;6236;6236;
2191	抵御域外天魔	在白骨地狱界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6237;6237;6237;6237;6237;6237;6237;6237;6237;6237;
2192	抵御域外天魔	在乱魂地狱界域外围，抵御域外天魔入侵！	7	0	0	0	0	0	6238;6238;6238;6238;6238;6238;6238;6238;6238;6238;
2193	抵御域外天魔	在黑绳地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6239;6239;6239;6239;6239;6239;6239;6239;6239;6239;
2194	抵御域外天魔	在寂静地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6240;6240;6240;6240;6240;6240;6240;6240;6240;6240;
2195	抵御域外天魔	在血莲地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6241;6241;6241;6241;6241;6241;6241;6241;6241;6241;
2196	抵御域外天魔	在血池地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;
2197	抵御域外天魔	在哀嚎地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6243;6243;6243;6243;6243;6243;6243;6243;6243;6243;
2198	抵御域外天魔	在阴灵地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6244;6244;6244;6244;6244;6244;6244;6244;6244;6244;
2199	抵御域外天魔	在怨魂地狱界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6245;6245;6245;6245;6245;6245;6245;6245;6245;6245;
2200	抵御域外天魔	在冥冬地狱界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6246;6246;6246;6246;6246;6246;6246;6246;6246;6246;
2201	抵御域外天魔	在永夜地狱界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6247;6247;6247;6247;6247;6247;6247;6247;6247;6247;
2202	抵御域外天魔	在寒冰地狱界域外围，抵御域外天魔入侵！	10	0	0	0	0	0	6248;6248;6248;6248;6248;6248;6248;6248;6248;6248;
2203	抵御域外天魔	在阿鼻地狱界域外围，抵御域外天魔入侵！	11	0	0	0	0	0	6249;6249;6249;6249;6249;6249;6249;6249;6249;6249;
2204	抵御域外天魔	在阴阳地狱界域外围，抵御域外天魔入侵！	11	0	0	0	0	0	6250;6250;6250;6250;6250;6250;6250;6250;6250;6250;
2205	抵御域外天魔	在红莲地狱界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6251;6251;6251;6251;6251;6251;6251;6251;6251;6251;
2206	抵御域外天魔	在青莲地狱界域外围，抵御域外天魔入侵！	12	0	0	0	0	0	6252;6252;6252;6252;6252;6252;6252;6252;6252;6252;
2207	抵御域外天魔	在无间炼狱界域外围，抵御域外天魔入侵！	13	0	0	0	0	0	6253;6253;6253;6253;6253;6253;6253;6253;6253;6253;
2208	抵御域外天魔	在剧毒魔界界域外围，抵御域外天魔入侵！	8	0	0	0	0	0	6254;6254;6254;6254;6254;6254;6254;6254;6254;6254;
2209	抵御域外天魔	在火焰魔界界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6255;6255;6255;6255;6255;6255;6255;6255;6255;6255;
2210	抵御域外天魔	在诅咒魔界界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6256;6256;6256;6256;6256;6256;6256;6256;6256;6256;
2211	抵御域外天魔	在恐惧魔界界域外围，抵御域外天魔入侵！	9	0	0	0	0	0	6257;6257;6257;6257;6257;6257;6257;6257;6257;6257;
2212	抵御域外天魔	在深渊魔界界域外围，抵御域外天魔入侵！	10	0	0	0	0	0	6258;6258;6258;6258;6258;6258;6258;6258;6258;6258;
2213	抵御域外天魔	在欲界界域外围，抵御域外天魔入侵！	11	0	0	0	0	0	6259;6259;6259;6259;6259;6259;6259;6259;6259;6259;
