npcid_XBXXZ	name_XBXXZ	sex_XBXXZ	icon_XBXXZ	level_XBXXZ	body_XBXXZ	quality_XBXXZ	potential_XBXXZ	appearance_XBXXZ	goldspirit_XBXXZ	woodspirit_XBXXZ	waterspirit_XBXXZ	firespirit_XBXXZ	mudspirit_XBXXZ	introduct_XBXXZ
116	小封	0	343	1	1	3	3	3	1	1	1	52	1	
117	白尊	0	343	1	1	4	3	3	1	1	1	62	1	
118	檀越	0	343	1	1	4	4	3	1	1	1	72	1	
119	子期	0	343	1	1	5	4	3	1	1	1	82	1	
120	武天	0	343	1	1	5	5	3	1	1	1	92	1	
121	小元	0	345	1	1	1	1	3	1	1	1	1	2	
122	小礼	0	345	1	1	1	1	3	1	1	1	1	12	
123	小逆	0	345	1	1	2	1	3	1	1	1	1	22	
124	寶樺	0	345	1	1	2	2	3	1	1	1	1	32	
125	靳軍	0	345	1	1	3	2	3	1	1	1	1	42	
126	若尘	0	345	1	1	3	3	3	1	1	1	1	52	
127	千羽	0	345	1	1	4	3	3	1	1	1	1	62	
128	風奕	0	345	1	1	4	4	3	1	1	1	1	72	
129	嘉运	0	345	1	1	5	4	3	1	1	1	1	82	
130	奇诺	0	345	1	1	5	5	3	1	1	1	1	92	
131	修诚	0	344	1	1	5	5	5	102	1	1	1	1	
132	弄月	0	346	1	1	5	5	5	112	1	1	1	1	
133	戈玥	0	344	1	1	5	5	5	122	1	1	1	1	
134	太玄	0	346	1	1	5	5	5	1	102	1	1	1	
135	简单	0	344	1	1	3	3	3	1	52	1	1	1	
136	莫宇	0	346	1	1	5	5	5	1	122	1	1	1	
137	封尘	0	344	1	1	5	5	5	102	1	102	1	1	
138	曦之	0	346	1	1	5	5	5	1	112	112	1	1	
139	泽熙	0	344	1	1	5	5	5	1	1	122	122	1	
140	风笑	0	346	1	1	5	5	5	1	1	1	102	1	
141	清绝	0	344	1	1	5	5	5	1	1	1	112	1	
142	落尘	0	346	1	1	5	5	5	1	1	1	122	1	
143	蒙喜	0	344	1	1	5	5	5	1	1	1	1	102	
144	月冥	0	346	1	1	5	5	5	1	1	1	1	112	
145	夕歌	0	344	1	1	5	5	5	1	1	1	1	122	
146	紫陌	0	346	1	1	5	5	5	132	1	1	1	1	
147	墨轩	0	344	1	1	5	5	5	142	1	1	1	1	
148	炼野	0	346	1	1	5	5	5	1	132	1	1	1	
149	旋日	0	344	1	1	5	5	5	1	142	1	1	1	
150	踏月	0	346	1	1	5	5	5	1	1	132	1	132	
151	纳星	0	344	1	1	5	5	5	142	1	142	1	1	
152	暮晨	0	346	1	1	5	5	5	1	1	1	132	1	
153	凤熙	0	344	1	1	5	5	5	1	1	1	142	1	
154	寒轩	0	346	1	1	5	5	5	1	1	1	1	132	
155	寒墨	0	344	1	1	5	5	5	1	1	1	1	142	
156	雨泽	0	346	1	1	5	5	5	152	1	1	1	1	
157	炼狱	0	344	1	1	5	5	5	1	152	1	1	1	
158	洛湛	0	346	1	1	5	5	5	1	152	152	1	1	
159	洛珈	0	344	1	1	5	5	5	1	1	1	152	1	
160	西扬	0	346	1	1	5	5	5	1	1	162	162	1	
161	清风	0	344	1	1	5	5	5	1	1	172	1	172	
162	明月	0	346	1	1	5	5	5	182	1	182	1	1	
