ID_XBXXZ	TextureID_XBXXZ	Explain_XBXXZ	PX_XBXXZ	PY_XBXXZ	Width_XBXXZ	Height_XBXXZ	FrameCount_XBXXZ	FPL_XBXXZ
147	1	1品乾坤玉	897	640	128	128		
148	1	2品乾坤玉	0	768	128	128		
149	1	3品乾坤玉	129	768	128	128		
150	1	4品乾坤玉	257	768	128	128		
151	1	5品乾坤玉	385	768	128	128		
152	1	仙法秘籍	513	768	128	128		
153	1	雷法秘籍	641	768	128	128		
154	1	易法秘籍	769	768	128	128		
155	1	魔法秘籍	897	768	128	128		
156	1	正派秘籍	0	896	128	128		
157	1	经书1	129	896	128	128		
158	1	经书2	257	896	128	128		
159	1	经书3	385	896	128	128		
160	1	经书4	513	896	128	128		
161	1	经书5	641	896	128	128		
162	1	招式秘籍	769	896	128	128		
163	1	卷轴	897	896	128	128		
164	2	金秘籍	0	0	128	128		
165	2	木秘籍	129	0	128	128		
166	2	水秘籍	257	0	128	128		
167	2	火秘籍	385	0	128	128		
168	2	猴儿酒	513	0	128	128		
169	2	食物	641	0	128	128		
170	2	木头	769	0	128	128		
171	2	灵草	897	0	128	128		
172	2	玄铁	0	128	128	128		
173	2	宝箱	129	128	128	128		
174	2	钱袋	257	128	128	128		
175	2	空冥石	385	128	128	128		
176	2	金岭砂	513	128	128	128		
177	2	陨母	641	128	128	128		
178	2	清灵草	769	128	128	128		
179	2	帮派贡献	897	128	128	128		
180	2	剑1	0	256	128	128		
181	2	剑2	129	256	128	128		
182	2	剑3	257	256	128	128		
183	2	剑4	385	256	128	128		
184	2	剑5	513	256	128	128		
185	2	剑6	641	256	128	128		
186	2	剑7	769	256	128	128		
187	2	剑8	897	256	128	128		
188	2	剑9	0	384	128	128		
189	2	剑10	129	384	128	128		
190	2	剑11	257	384	128	128		
191	2	剑12	385	384	128	128		
192	2	剑13	513	384	128	128		
193	2	剑14	641	384	128	128		
194	2	剑15	769	384	128	128		
195	2	剑16	897	384	128	128		
196	2	刀1	0	512	128	128		
197	2	刀2	129	512	128	128		
198	2	刀3	257	512	128	128		
199	2	刀4	385	512	128	128		
200	2	刀5	513	512	128	128		
201	2	刀6	641	512	128	128		
202	2	刀7	769	512	128	128		
203	2	刀8	897	512	128	128		
204	2	刀9	0	640	128	128		
205	2	刀10	129	640	128	128		
206	2	刀11	257	640	128	128		
207	2	刀12	385	640	128	128		
208	2	刀13	513	640	128	128		
209	2	刀14	641	640	128	128		
210	2	刀15	769	640	128	128		
211	2	刀16	897	640	128	128		
212	2	弓1	0	768	128	128		
213	2	弓2	129	768	128	128		
214	2	弓3	257	768	128	128		
215	2	弓4	385	768	128	128		
216	2	弓5	513	768	128	128		
217	2	弓6	641	768	128	128		
218	2	弓7	769	768	128	128		
219	2	弓8	897	768	128	128		
220	2	千年人参	0	896	128	128		
221	2	千年何首乌	129	896	128	128		
222	2	血精草	257	896	128	128		
223	2	太玄果	385	896	128	128		
224	2	天魂菊	513	896	128	128		
225	2	伴妖草	641	896	128	128		
226	2	鬼滕花	769	896	128	128		
227	2	千年灵虫	897	896	128	128		
228	3	鞋子1	0	0	128	128		
229	3	鞋子2	129	0	128	128		
230	3	鞋子3	257	0	128	128		
231	3	鞋子4	385	0	128	128		
232	3	鞋子5	513	0	128	128		
233	3	鞋子6	641	0	128	128		
234	3	鞋子7	769	0	128	128		
235	3	鞋子8	897	0	128	128		
236	3	鞋子9	0	128	128	128		
237	3	鞋子10	129	128	128	128		
238	3	鞋子11	257	128	128	128		
239	3	鞋子12	385	128	128	128		
240	3	鞋子13	513	128	128	128		
241	3	鞋子14	641	128	128	128		
242	3	鞋子15	769	128	128	128		
243	3	鞋子16	897	128	128	128		
244	3	戒指1	0	256	128	128		
245	3	功德	129	256	128	128		
246	3	戒指3	257	256	128	128		
247	3	戒指4	385	256	128	128		
248	3	戒指5	513	256	128	128		
249	3	戒指6	641	256	128	128		
250	3	戒指7	769	256	128	128		
251	3	戒指8	897	256	128	128		
252	3	戒指9	0	384	128	128		
253	3	戒指10	129	384	128	128		
254	3	戒指11	257	384	128	128		
255	3	戒指12	385	384	128	128		
256	3	戒指13	513	384	128	128		
257	3	戒指14	641	384	128	128		
258	3	戒指15	769	384	128	128		
259	3	戒指16	897	384	128	128		
260	3	衣服1	0	512	128	128		
261	3	衣服2	129	512	128	128		
262	3	衣服3	257	512	128	128		
263	3	衣服4	385	512	128	128		
264	3	衣服5	513	512	128	128		
265	3	衣服6	641	512	128	128		
266	3	衣服7	769	512	128	128		
267	3	衣服8	897	512	128	128		
268	3	衣服9	0	640	128	128		
269	3	衣服10	129	640	128	128		
270	3	衣服11	257	640	128	128		
271	3	衣服12	385	640	128	128		
272	3	衣服13	513	640	128	128		
273	3	衣服14	641	640	128	128		
274	3	衣服15	769	640	128	128		
275	3	衣服16	897	640	128	128		
276	3	神器1	0	768	128	128		
277	3	神器2	129	768	128	128		
278	3	神器3	257	768	128	128		
279	3	神器4	385	768	128	128		
280	3	神器5	513	768	128	128		
281	3	神器6	641	768	128	128		
282	3	神器7	769	768	128	128		
283	3	神器8	897	768	128	128		
284	3	神器9	0	896	128	128		
285	3	神器10	129	896	128	128		
286	3	神器11	257	896	128	128		
287	3	神器12	385	896	128	128		
288	3	神器13	513	896	128	128		
289	3	神器14	641	896	128	128		
290	3	神器15	769	896	128	128		
291	3	神器16	897	896	128	128		
292	4	一品炼丹炉	0	0	128	128		
293	4	二品炼丹炉	129	0	128	128		
294	4	三品炼丹炉	257	0	128	128		
295	4	四品炼丹炉	385	0	128	128		
296	4	五品炼丹炉	513	0	128	128		
297	4	六品炼丹炉	641	0	128	128		
298	4	七品炼丹炉	769	0	128	128		
299	4	八品炼丹炉	897	0	128	128		
300	4	九品炼丹炉	0	128	128	128		
301	4	一品炼器炉	129	128	128	128		
302	4	二品炼器炉	257	128	128	128		
303	4	三品炼器炉	385	128	128	128		
304	4	四品炼器炉	513	128	128	128		
305	4	五品炼器炉	641	128	128	128		
306	4	六品炼器炉	769	128	128	128		
307	4	七品炼器炉	897	128	128	128		
308	4	八品炼器炉	0	256	128	128		
309	4	九品炼器炉	129	256	128	128		
310	4	玄星石	257	256	128	128		
311	4	蓝晶石	385	256	128	128		
312	4	青精石	513	256	128	128		
313	4	黑曜石	641	256	128	128		
314	4	铁精	769	256	128	128		
315	4	月冥石	897	256	128	128		
316	4	月光草	0	384	128	128		
317	4	定魂草	129	384	128	128		
318	4	忘忧草	257	384	128	128		
319	4	恶魔花	385	384	128	128		
320	4	醉龙草	513	384	128	128		
321	4	活气草	641	384	128	128		
322	4	静心莲	769	384	128	128		
323	4	阴神花	897	384	128	128		
324	4	万年首乌	0	512	128	128		
325	4	万年雪莲	129	512	128	128		
326	4	往生莲	257	512	128	128		
327	4	驻颜果	385	512	128	128		
328	4	图纸1	513	512	128	128		
329	4	图纸2	641	512	128	128		
330	4	须弥石	769	512	128	128		
331	4	美女1	897	512	128	128		
332	4	丹道	0	640	128	128		
333	4	炼器	129	640	128	128		
334	4	御兽	257	640	128	128		
335	4	奇门遁甲	385	640	128	128		
336	4	傀儡	513	640	128	128		
337	4	御鬼	641	640	128	128		
338	4	五行	769	640	128	128		
339	4	龙象	897	640	128	128		
340	4	木男	0	768	128	128		
341	4	水男	129	768	128	128		
342	4	金男	257	768	128	128		
343	4	火男	385	768	128	128		
344	4	美男1	513	768	128	128		
345	4	土男	641	768	128	128		
346	4	美男2	769	768	128	128		
347	4	美女2	897	768	128	128		
348	4	美女3	0	896	128	128		
349	4	水女	129	896	128	128		
350	4	土女	257	896	128	128		
351	4	金女	385	896	128	128		
352	4	木女	513	896	128	128		
353	4	美女4	641	896	128	128		
354	4	火女	769	896	128	128		
355	4	美女5	897	896	128	128		
356	5	鬼1	0	0	128	128		
357	5	鬼2	129	0	128	128		
358	5	鬼3	257	0	128	128		
359	5	鬼4	385	0	128	128		
360	5	鬼5	513	0	128	128		
361	5	鬼6	641	0	128	128		
362	5	鬼7	769	0	128	128		
363	5	鬼8	897	0	128	128		
364	5	鬼9	0	128	128	128		
365	5	鬼10	129	128	128	128		
366	5	鬼11	257	128	128	128		
367	5	鬼12	385	128	128	128		
368	5	鬼13	513	128	128	128		
369	5	鬼14	641	128	128	128		
370	5	鬼15	769	128	128	128		
371	5	鬼16	897	128	128	128		
372	5	魔1	0	256	128	128		
373	5	魔2	129	256	128	128		
374	5	魔3	257	256	128	128		
375	5	魔4	385	256	128	128		
376	5	魔5	513	256	128	128		
377	5	魔6	641	256	128	128		
378	5	魔7	769	256	128	128		
379	5	魔8	897	256	128	128		
380	5	魔9	0	384	128	128		
381	5	魔10	129	384	128	128		
382	5	魔11	257	384	128	128		
383	5	魔12	385	384	128	128		
384	5	魔13	513	384	128	128		
385	5	魔14	641	384	128	128		
386	5	魔15	769	384	128	128		
387	5	魔16	897	384	128	128		
388	5	妖1	0	512	128	128		
389	5	妖2	129	512	128	128		
390	5	妖3	257	512	128	128		
391	5	妖4	385	512	128	128		
392	5	妖5	513	512	128	128		
393	5	妖6	641	512	128	128		
394	5	妖7	769	512	128	128		
395	5	妖8	897	512	128	128		
396	5	妖9	0	640	128	128		
397	5	妖10	129	640	128	128		
398	5	妖11	257	640	128	128		
399	5	妖12	385	640	128	128		
400	5	妖13	513	640	128	128		
401	5	妖14	641	640	128	128		
402	5	妖15	769	640	128	128		
403	5	妖16	897	640	128	128		
404	5	衣1	0	768	128	128		
405	5	衣2	129	768	128	128		
406	5	衣3	257	768	128	128		
407	5	衣4	385	768	128	128		
408	5	衣5	513	768	128	128		
409	5	衣6	641	768	128	128		
410	5	衣7	769	768	128	128		
411	5	衣8	897	768	128	128		
412	5	帽1	0	896	128	128		
413	5	帽2	129	896	128	128		
414	5	帽3	257	896	128	128		
415	5	帽4	385	896	128	128		
416	5	帽5	513	896	128	128		
417	5	帽6	641	896	128	128		
418	5	帽7	769	896	128	128		
419	5	帽8	897	896	128	128		
450	6	男头像1	0	0	148	148		
451	6	男头像2	148	148	148	148		
452	6	男头像3	444	0	148	148		
453	6	男头像4	0	148	148	148		
454	6	男头像5	148	0	148	148		
455	6	男头像6	296	0	148	148		
460	6	女头像1	296	148	148	148		
461	6	女头像2	444	148	148	148		
462	6	女头像3	148	296	148	148		
463	6	女头像4	296	296	148	148		
464	6	女头像5	444	296	148	148		
465	6	女头像6	0	296	148	148		
500	7	舍利	0	0	128	128		
501	7	佛骨	129	0	128	128		
502	7	佛门秘诀	257	0	128	128		
503	7	凤蛋	385	0	128	128		
504	7	龙蛋	513	0	128	128		
505	7	刀1	641	0	128	128		
506	7	刀2	769	0	128	128		
507	7	刀3	897	0	128	128		
508	7	海族蛋1	0	128	128	128		
509	7	海族蛋2	129	128	128	128		
510	7	海族蛋3	257	128	128	128		
511	7	海族蛋4	385	128	128	128		
512	7	海族蛋5	513	128	128	128		
513	7	海族蛋6	641	128	128	128		
514	7	海族蛋7	769	128	128	128		
515	7	刀4	897	128	128	128		
516	7	恶魔蛋1	0	256	128	128		
517	7	恶魔蛋2	129	256	128	128		
518	7	恶魔蛋3	257	256	128	128		
519	7	恶魔蛋4	385	256	128	128		
520	7	恶魔蛋5	513	256	128	128		
521	7	恶魔蛋6	641	256	128	128		
522	7	恶魔蛋7	769	256	128	128		
523	7	吸血刀	897	256	128	128		
524	7	兽蛋1	0	384	128	128		
525	7	兽蛋2	129	384	128	128		
526	7	兽蛋3	257	384	128	128		
527	7	兽蛋4	385	384	128	128		
528	7	兽蛋5	513	384	128	128		
529	7	兽蛋6	641	384	128	128		
530	7	兽蛋7	769	384	128	128		
531	7	剑1	897	384	128	128		
532	7	鬼蛋1	0	512	128	128		
533	7	鬼蛋2	129	512	128	128		
534	7	鬼蛋3	257	512	128	128		
535	7	鬼蛋4	385	512	128	128		
536	7	鬼蛋5	513	512	128	128		
537	7	鬼蛋6	641	512	128	128		
538	7	鬼蛋7	769	512	128	128		
539	7	剑2	897	512	128	128		
540	7	种子1	0	640	128	128		
541	7	种子2	129	640	128	128		
542	7	种子3	257	640	128	128		
543	7	种子4	385	640	128	128		
544	7	种子5	513	640	128	128		
545	7	种子6	641	640	128	128		
546	7	种子7	769	640	128	128		
547	7	剑3	897	640	128	128		
548	7	妖丹1	0	768	128	128		
549	7	妖丹2	129	768	128	128		
550	7	妖丹3	257	768	128	128		
551	7	妖丹4	385	768	128	128		
552	7	妖丹5	513	768	128	128		
553	7	妖丹6	641	768	128	128		
554	7	妖丹7	769	768	128	128		
555	7	剑4	897	768	128	128		
556	7	三千年蟠桃	0	896	128	128		
557	7	六千年蟠桃	129	896	128	128		
558	7	九千年蟠桃	257	896	128	128		
559	7	空白	385	896	128	128		
560	7	空白	513	896	128	128		
561	7	空白	641	896	128	128		
562	7	空白	769	896	128	128		
563	7	剑5	897	896	128	128		
564	8	幻仙诀	0	0	128	128		
565	8	低级仙体	129	0	128	128		
566	8	御兽秘诀	257	0	128	128		
567	8	清风玉露	385	0	128	128		
568	8	中级仙体	513	0	128	128		
569	8	五雷正法	641	0	128	128		
570	8	斩三尸	769	0	128	128		
571	8	高级仙体	897	0	128	128		
572	8	仙家法相	0	128	128	128		
573	8	惟我独仙	129	128	128	128		
574	8	血魔大法	257	128	128	128		
575	8	低级魔体	385	128	128	128		
576	8	御魔秘诀	513	128	128	128		
577	8	血遁术	641	128	128	128		
578	8	中级魔体	769	128	128	128		
579	8	魔音摄心	897	128	128	128		
580	8	天魔解体	0	256	128	128		
581	8	高级魔体	129	256	128	128		
582	8	无相天魔	257	256	128	128		
583	8	无上天魔	385	256	128	128		
584	8	血池肉林	513	256	128	128		
585	8	低级鬼体	641	256	128	128		
586	8	御鬼秘诀	769	256	128	128		
587	8	冥河天尸诀	897	256	128	128		
588	8	中级鬼体	0	384	128	128		
589	8	九幽极寒	129	384	128	128		
590	8	生死诀	257	384	128	128		
591	8	高级鬼体	385	384	128	128		
592	8	太狱真法	513	384	128	128		
593	8	阴阳合和	641	384	128	128		
594	8	神犬蛋[妖]1	769	384	128	128		
595	8	神犬蛋[妖]	897	384	128	128		
596	8	神犬蛋[鬼]	0	512	128	128		
597	8	神犬蛋[魔]	129	512	128	128		
598	8	神犬蛋[兽]	257	512	128	128		
599	8	卷1	385	512	128	128		
600	8	卷2	513	512	128	128		
601	8	卷3	641	512	128	128		
602	8	卷4	769	512	128	128		
603	8	卷5	897	512	128	128		
604	8	卷6	0	640	128	128		
605	8	卷7	129	640	128	128		
606	8	卷8	257	640	128	128		
607	8	红莲业火	385	640	128	128		
608	8	珍藏戒指	513	640	128	128		
609	8	如意	641	640	128	128		
610	8	人鱼	769	640	128	128		
611	8	蜃妖	897	640	128	128		
612	8	海妖	0	768	128	128		
613	8	海丞相	129	768	128	128		
614	8	碧波仙子	257	768	128	128		
615	8	绿波兽	385	768	128	128		
616	8	水莲兽	513	768	128	128		
617	8	青蛟	641	768	128	128		
618	8	九头蛇	769	768	128	128		
619	8	吞海蛙	897	768	128	128		
620	8	白龙	0	896	128	128		
621	8	青龙	129	896	128	128		
622	8	红龙	257	896	128	128		
623	8	蓝龙	385	896	128	128		
624	8	黑龙	513	896	128	128		
625	8	金龙	641	896	128	128		
626	8	空白	769	896	128	128		
627	8	空白	897	896	128	128		
