level_XBXXZ	doomname_XBXXZ	difficult_XBXXZ	maxpercent_XBXXZ	needitem_XBXXZ	addpercent_XBXXZ	failexp_XBXXZ
120	120重天劫	16980	30	12	5	6654712950 
121	121重天劫	17180	30	13	5	6811359660 
122	122重天劫	17380	30	13	5	6969820770 
123	123重天劫	17580	30	13	5	7130096280 
124	124重天劫	17780	30	13	5	7292186190 
125	125重天劫	17980	30	13	5	7456090500 
126	126重天劫	18180	30	13	5	7621809210 
127	127重天劫	18380	30	13	5	7789342320 
128	128重天劫	18580	30	13	5	7958689830 
129	129重天劫	18780	30	13	5	8129851740 
130	130重天劫	18980	30	13	5	8302828050 
131	131重天劫	19180	30	14	5	8477618760 
132	132重天劫	19380	30	14	5	8654223870 
133	133重天劫	19580	30	14	5	8832643380 
134	134重天劫	19780	30	14	5	9012877290 
135	135重天劫	19980	30	14	5	9194925600 
136	136重天劫	20180	30	14	5	9378788310 
137	137重天劫	20380	30	14	5	9564465420 
138	138重天劫	20580	30	14	5	9751956930 
139	139重天劫	20780	30	14	5	9941262840 
140	140重天劫	20980	30	14	5	10132383150 
141	141重天劫	21180	30	15	5	10325317860 
142	142重天劫	21380	30	15	5	10520066970 
143	143重天劫	21580	30	15	5	10716630480 
144	144重天劫	21780	30	15	5	10915008390 
145	145重天劫	21980	30	15	5	11115200700 
146	146重天劫	22180	30	15	5	11317207410 
147	147重天劫	22380	30	15	5	11521028520 
148	148重天劫	22580	30	15	5	11726664030 
149	149重天劫	22780	30	15	5	11934113940 
150	150重天劫	22980	30	15	5	12143378250 
151	151重天劫	23180	30	826	5	12354456960 
152	152重天劫	23680	30	826	5	13589902656 
153	153重天劫	24180	30	826	5	14948892922 
154	154重天劫	24680	30	826	5	16443782214 
155	155重天劫	25180	30	826	5	18088160435 
156	156重天劫	25680	30	826	5	19896976479 
157	157重天劫	26180	30	826	5	21886674127 
158	158重天劫	26680	30	826	5	24075341539 
159	159重天劫	27180	30	826	5	26482875693 
160	160重天劫	27680	30	826	5	29131163262 
161	161重天劫	28180	30	827	5	32044279589 
162	162重天劫	28680	30	827	5	35248707547 
163	163重天劫	29180	30	827	5	38773578302 
164	164重天劫	29680	30	827	5	42650936132 
165	165重天劫	30180	30	827	5	46916029746 
166	166重天劫	30680	30	827	5	51607632720 
167	167重天劫	31180	30	827	5	56768395992 
168	168重天劫	31680	30	827	5	62445235592 
169	169重天劫	32180	30	827	5	68689759151 
170	170重天劫	32680	30	827	5	75558735066 
171	171重天劫	33180	30	828	5	83114608572 
172	172重天劫	33680	30	828	5	91426069430 
173	173重天劫	34180	30	828	5	100568676373 
174	174重天劫	34680	30	828	5	110625544010 
175	175重天劫	35180	30	828	5	121688098411 
176	176重天劫	35680	30	828	5	133856908252 
177	177重天劫	36180	30	828	5	147242599077 
178	178重天劫	36680	30	828	5	161966858985 
179	179重天劫	37180	30	828	5	178163544883 
180	180重天劫	37680	30	828	5	195979899372 
181	181重天劫	38180	30	829	5	215577889309 
182	182重天劫	38680	30	829	5	237135678240 
183	183重天劫	39180	30	829	5	260849246064 
184	184重天劫	39680	30	829	5	286934170670 
185	185重天劫	40180	30	829	5	315627587737 
186	186重天劫	40680	30	829	5	347190346511 
187	187重天劫	41180	30	829	5	381909381162 
188	188重天劫	41680	30	829	5	420100319278 
189	189重天劫	42180	30	829	5	462110351206 
190	190重天劫	42680	30	829	5	508321386326 
191	191重天劫	43180	30	830	5	559153524959 
192	192重天劫	43680	30	830	5	615068877455 
193	193重天劫	44180	30	830	5	676575765200 
194	194重天劫	44680	30	830	5	744233341720 
195	195重天劫	45180	30	830	5	818656675892 
196	196重天劫	45680	30	830	5	900522343481 
197	197重天劫	46180	30	830	5	990574577829 
198	198重天劫	46680	30	830	5	1089632035612 
199	199重天劫	47180	30	830	5	1198595239173 
200	200重天劫	47680	30	830	5	1318454763091 
201	201重天劫	48180	30	831	5	1450300239400 
202	202重天劫	48680	30	831	5	1595330263340 
203	203重天劫	49180	30	831	5	1754863289674 
204	204重天劫	49680	30	831	5	1930349618641 
205	205重天劫	50180	30	831	5	2123384580505 
206	206重天劫	50680	30	831	5	2335723038556 
207	207重天劫	51180	30	831	5	2569295342412 
208	208重天劫	51680	30	831	5	2826224876653 
209	209重天劫	52180	30	831	5	3108847364318 
210	210重天劫	52680	30	831	5	3419732100750 
211	211重天劫	53180	30	832	5	3761705310825 
212	212重天劫	53680	30	832	5	4137875841907 
213	213重天劫	54180	30	832	5	4551663426098 
214	214重天劫	54680	30	832	5	5006829768708 
215	215重天劫	55180	30	832	5	5507512745578 
216	216重天劫	55680	30	832	5	6058264020136 
217	217重天劫	56180	30	832	5	6664090422150 
218	218重天劫	56680	30	832	5	7330499464365 
219	219重天劫	57180	30	832	5	8063549410801 
220	220重天劫	57680	30	832	5	8869904351882 
221	221重天劫	58180	30	833	5	9756894787070 
222	222重天劫	58680	30	833	5	10732584265777 
223	223重天劫	59180	30	833	5	11805842692354 
224	224重天劫	59680	30	833	5	12986426961590 
225	225重天劫	60180	30	833	5	14285069657749 
226	226重天劫	60680	30	833	5	15713576623524 
227	227重天劫	61180	30	833	5	17284934285876 
228	228重天劫	61680	30	833	5	19013427714464 
229	229重天劫	62180	30	833	5	20914770485910 
230	230重天劫	62680	30	833	5	23006247534501 
231	231重天劫	63180	30	834	5	25306872287951 
232	232重天劫	63680	30	834	5	27837559516746 
233	233重天劫	64180	30	834	5	30621315468421 
234	234重天劫	64680	30	834	5	33683447015263 
235	235重天劫	65180	30	834	5	37051791716789 
236	236重天劫	65680	30	834	5	40756970888468 
237	237重天劫	66180	30	834	5	44832667977315 
238	238重天劫	66680	30	834	5	49315934775046 
239	239重天劫	67180	30	834	5	54247528252551 
240	240重天劫	67680	30	834	5	59672281077806 
241	241重天劫	68180	30	835	5	65639509185587 
242	242重天劫	68680	30	835	5	72203460104146 
243	243重天劫	69180	30	835	5	79423806114560 
244	244重天劫	69680	30	835	5	87366186726016 
245	245重天劫	70180	30	835	5	96102805398618 
246	246重天劫	70680	30	835	5	105713085938479 
247	247重天劫	71180	30	835	5	116284394532327 
248	248重天劫	71680	30	835	5	127912833985560 
249	249重天劫	72180	30	835	5	140704117384116 
250	250重天劫	72680	30	835	5	154774529122528 
251	251重天劫	73180	30	836	5	170251982034781 
252	252重天劫	73680	30	836	5	187277180238259 
253	253重天劫	74180	30	836	5	206004898262085 
254	254重天劫	74680	30	836	5	226605388088293 
255	255重天劫	75180	30	836	5	249265926897122 
256	256重天劫	75680	30	836	5	274192519586835 
257	257重天劫	76180	30	836	5	301611771545518 
258	258重天劫	76680	30	836	5	331772948700070 
259	259重天劫	77180	30	836	5	364950243570077 
260	260重天劫	77680	30	836	5	401445267927085 
261	261重天劫	78180	30	837	5	441589794719793 
262	262重天劫	78680	30	837	5	485748774191772 
263	263重天劫	79180	30	837	5	534323651610950 
264	264重天劫	79680	30	837	5	587756016772045 
265	265重天劫	80180	30	837	5	646531618449249 
266	266重天劫	80680	30	837	5	711184780294174 
267	267重天劫	81180	30	837	5	782303258323592 
268	268重天劫	81680	30	837	5	860533584155951 
269	269重天劫	82180	30	837	5	946586942571546 
270	270重天劫	82680	30	837	5	1041245636828700 
271	271重天劫	83180	30	838	5	1145370200511570 
272	272重天劫	83680	30	838	5	1259907220562730 
273	273重天劫	84180	30	838	5	1385897942619000 
274	274重天劫	84680	30	838	5	1524487736880900 
275	275重天劫	85180	30	838	5	1676936510568990 
276	276重天劫	85680	30	838	5	1844630161625890 
277	277重天劫	86180	30	838	5	2029093177788480 
278	278重天劫	86680	30	838	5	2232002495567330 
279	279重天劫	87180	30	838	5	2455202745124060 
280	280重天劫	87680	30	838	5	2700723019636470 
281	281重天劫	88180	30	839	5	2970795321600120 
282	282重天劫	88680	30	839	5	3267874853760130 
283	283重天劫	89180	30	839	5	3594662339136140 
284	284重天劫	89680	30	839	5	3954128573049750 
285	285重天劫	90180	30	839	5	4349541430354730 
286	286重天劫	90680	30	839	5	4784495573390200 
287	287重天劫	91180	30	839	5	5262945130729220 
288	288重天劫	91680	30	839	5	5789239643802150 
289	289重天劫	92180	30	839	5	6368163608182360 
290	290重天劫	92680	30	839	5	7004979969000600 
291	291重天劫	93180	30	840	5	7705477965900660 
292	292重天劫	93680	30	840	5	8476025762490730 
293	293重天劫	94180	30	840	5	9323628338739800 
294	294重天劫	94680	30	840	5	10255991172613800 
295	295重天劫	95180	30	840	5	11281590289875200 
296	296重天劫	95680	30	840	5	12409749318862700 
297	297重天劫	96180	30	840	5	13650724250749000 
298	298重天劫	96680	30	840	5	15015796675823800 
299	299重天劫	97180	30	840	5	16517376343406200 
300	300重天劫	97680	30	840	5	18169113977746900 
301	301重天劫	98180	30	841	5	19986025375521500 
302	302重天劫	98680	30	841	5	21984627913073700 
303	303重天劫	99180	30	841	5	24183090704381100 
304	304重天劫	99680	30	841	5	26601399774819200 
305	305重天劫	100180	30	841	5	29261539752301100 
306	306重天劫	100680	30	841	5	32187693727531200 
307	307重天劫	101180	30	841	5	35406463100284300 
308	308重天劫	101680	30	841	5	38947109410312800 
309	309重天劫	102180	30	841	5	42841820351344100 
310	310重天劫	102680	30	841	5	47126002386478500 
311	311重天劫	103180	30	841	5	51838602625126300 
