Level_XBXXZ	Name_XBXXZ	Yield_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	Limit_XBXXZ	Time_XBXXZ
235	235级聚灵阵	1954	386892	295445	597924	703440	14100
236	236级聚灵阵	1984	392832	299981	607104	714240	14160
237	237级聚灵阵	2014	398772	304517	616284	725040	14220
238	238级聚灵阵	2044	404712	309053	625464	735840	14280
239	239级聚灵阵	2074	410652	313589	634644	746640	14340
240	240级聚灵阵	2104	416592	318125	643824	757440	14400
241	241级聚灵阵	2134	422532	322661	653004	768240	14460
242	242级聚灵阵	2164	428472	327197	662184	779040	14520
243	243级聚灵阵	2194	434412	331733	671364	789840	14580
244	244级聚灵阵	2224	440352	336269	680544	800640	14640
245	245级聚灵阵	2254	446292	340805	689724	811440	14700
246	246级聚灵阵	2284	452232	345341	698904	822240	14760
247	247级聚灵阵	2314	458172	349877	708084	833040	14820
248	248级聚灵阵	2344	464112	354413	717264	843840	14880
249	249级聚灵阵	2374	470052	358949	726444	854640	14940
250	250级聚灵阵	2404	475992	363485	735624	865440	15000
251	251级聚灵阵	2454	512395	397548	795096	883440	15060
252	252级聚灵阵	2504	522835	405648	811296	901440	15120
253	253级聚灵阵	2554	533275	413748	827496	919440	15180
254	254级聚灵阵	2604	543715	421848	843696	937440	15240
255	255级聚灵阵	2654	554155	429948	859896	955440	15300
256	256级聚灵阵	2704	564595	438048	876096	973440	15360
257	257级聚灵阵	2754	575035	446148	892296	991440	15420
258	258级聚灵阵	2804	585475	454248	908496	1009440	15480
259	259级聚灵阵	2854	595915	462348	924696	1027440	15540
260	260级聚灵阵	2904	606355	470448	940896	1045440	15600
261	261级聚灵阵	2954	616795	478548	957096	1063440	15660
262	262级聚灵阵	3004	627235	486648	973296	1081440	15720
263	263级聚灵阵	3054	637675	494748	989496	1099440	15780
264	264级聚灵阵	3104	648115	502848	1005696	1117440	15840
265	265级聚灵阵	3154	658555	510948	1021896	1135440	15900
266	266级聚灵阵	3204	668995	519048	1038096	1153440	15960
267	267级聚灵阵	3254	679435	527148	1054296	1171440	16020
268	268级聚灵阵	3304	689875	535248	1070496	1189440	16080
269	269级聚灵阵	3354	700315	543348	1086696	1207440	16140
270	270级聚灵阵	3404	710755	551448	1102896	1225440	16200
271	271级聚灵阵	3454	721195	559548	1119096	1243440	16260
272	272级聚灵阵	3504	731635	567648	1135296	1261440	16320
273	273级聚灵阵	3554	742075	575748	1151496	1279440	16380
274	274级聚灵阵	3604	752515	583848	1167696	1297440	16440
275	275级聚灵阵	3654	762955	591948	1183896	1315440	16500
276	276级聚灵阵	3704	773395	600048	1200096	1333440	16560
277	277级聚灵阵	3754	783835	608148	1216296	1351440	16620
278	278级聚灵阵	3804	794275	616248	1232496	1369440	16680
279	279级聚灵阵	3854	804715	624348	1248696	1387440	16740
280	280级聚灵阵	3904	815155	632448	1264896	1405440	16800
281	281级聚灵阵	3954	825595	640548	1281096	1423440	16860
282	282级聚灵阵	4004	836035	648648	1297296	1441440	16920
283	283级聚灵阵	4054	846475	656748	1313496	1459440	16980
284	284级聚灵阵	4104	856915	664848	1329696	1477440	17040
285	285级聚灵阵	4154	867355	672948	1345896	1495440	17100
286	286级聚灵阵	4204	877795	681048	1362096	1513440	17160
287	287级聚灵阵	4254	888235	689148	1378296	1531440	17220
288	288级聚灵阵	4304	898675	697248	1394496	1549440	17280
289	289级聚灵阵	4354	909115	705348	1410696	1567440	17340
290	290级聚灵阵	4404	919555	713448	1426896	1585440	17400
291	291级聚灵阵	4454	929995	721548	1443096	1603440	17460
292	292级聚灵阵	4504	940435	729648	1459296	1621440	17520
293	293级聚灵阵	4554	950875	737748	1475496	1639440	17580
294	294级聚灵阵	4604	961315	745848	1491696	1657440	17640
295	295级聚灵阵	4654	971755	753948	1507896	1675440	17700
296	296级聚灵阵	4704	982195	762048	1524096	1693440	17760
297	297级聚灵阵	4754	992635	770148	1540296	1711440	17820
298	298级聚灵阵	4804	1003075	778248	1556496	1729440	17880
299	299级聚灵阵	4854	1013515	786348	1572696	1747440	17940
300	300级聚灵阵	4904	1023955	794448	1588896	1765440	18000
301	301级聚灵阵	4964	1072224	893520	1787040	1787040	18060
302	302级聚灵阵	5024	1085184	904320	1808640	1808640	18120
303	303级聚灵阵	5084	1098144	915120	1830240	1830240	18180
304	304级聚灵阵	5144	1111104	925920	1851840	1851840	18240
305	305级聚灵阵	5204	1124064	936720	1873440	1873440	18300
306	306级聚灵阵	5264	1137024	947520	1895040	1895040	18360
307	307级聚灵阵	5324	1149984	958320	1916640	1916640	18420
308	308级聚灵阵	5384	1162944	969120	1938240	1938240	18480
309	309级聚灵阵	5444	1175904	979920	1959840	1959840	18540
310	310级聚灵阵	5504	1188864	990720	1981440	1981440	18600
311	311级聚灵阵	5564	1201824	1001520	2003040	2003040	18660
312	312级聚灵阵	5624	1214784	1012320	2024640	2024640	18720
313	313级聚灵阵	5684	1227744	1023120	2046240	2046240	18780
314	314级聚灵阵	5744	1240704	1033920	2067840	2067840	18840
315	315级聚灵阵	5804	1253664	1044720	2089440	2089440	18900
316	316级聚灵阵	5864	1266624	1055520	2111040	2111040	18960
317	317级聚灵阵	5924	1279584	1066320	2132640	2132640	19020
318	318级聚灵阵	5984	1292544	1077120	2154240	2154240	19080
319	319级聚灵阵	6044	1305504	1087920	2175840	2175840	19140
320	320级聚灵阵	6104	1318464	1098720	2197440	2197440	19200
321	321级聚灵阵	6164	1331424	1109520	2219040	2219040	19260
322	322级聚灵阵	6224	1344384	1120320	2240640	2240640	19320
323	323级聚灵阵	6284	1357344	1131120	2262240	2262240	19380
324	324级聚灵阵	6344	1370304	1141920	2283840	2283840	19440
325	325级聚灵阵	6404	1383264	1152720	2305440	2305440	19500
326	326级聚灵阵	6464	1396224	1163520	2327040	2327040	19560
327	327级聚灵阵	6524	1409184	1174320	2348640	2348640	19620
328	328级聚灵阵	6584	1422144	1185120	2370240	2370240	19680
329	329级聚灵阵	6644	1435104	1195920	2391840	2391840	19740
330	330级聚灵阵	6704	1448064	1206720	2413440	2413440	19800
331	331级聚灵阵	6764	1461024	1217520	2435040	2435040	19860
332	332级聚灵阵	6824	1473984	1228320	2456640	2456640	19920
333	333级聚灵阵	6884	1486944	1239120	2478240	2478240	19980
334	334级聚灵阵	6944	1499904	1249920	2499840	2499840	20040
335	335级聚灵阵	7004	1512864	1260720	2521440	2521440	20100
336	336级聚灵阵	7064	1525824	1271520	2543040	2543040	20160
337	337级聚灵阵	7124	1538784	1282320	2564640	2564640	20220
338	338级聚灵阵	7184	1551744	1293120	2586240	2586240	20280
339	339级聚灵阵	7244	1564704	1303920	2607840	2607840	20340
340	340级聚灵阵	7304	1577664	1314720	2629440	2629440	20400
341	341级聚灵阵	7364	1590624	1325520	2651040	2651040	20460
342	342级聚灵阵	7424	1603584	1336320	2672640	2672640	20520
343	343级聚灵阵	7484	1616544	1347120	2694240	2694240	20580
344	344级聚灵阵	7544	1629504	1357920	2715840	2715840	20640
345	345级聚灵阵	7604	1642464	1368720	2737440	2737440	20700
346	346级聚灵阵	7664	1655424	1379520	2759040	2759040	20760
347	347级聚灵阵	7724	1668384	1390320	2780640	2780640	20820
348	348级聚灵阵	7784	1681344	1401120	2802240	2802240	20880
349	349级聚灵阵	7844	1694304	1411920	2823840	2823840	20940
350	350级聚灵阵	7904	1707264	1422720	2845440	2845440	21000
351	351级聚灵阵	7964	1863576	1576872	3010392	2867040	21060
352	352级聚灵阵	8024	1877616	1588752	3033072	2888640	21120
353	353级聚灵阵	8084	1891656	1600632	3055752	2910240	21180
354	354级聚灵阵	8144	1905696	1612512	3078432	2931840	21240
355	355级聚灵阵	8204	1919736	1624392	3101112	2953440	21300
356	356级聚灵阵	8264	1933776	1636272	3123792	2975040	21360
357	357级聚灵阵	8324	1947816	1648152	3146472	2996640	21420
358	358级聚灵阵	8384	1961856	1660032	3169152	3018240	21480
359	359级聚灵阵	8444	1975896	1671912	3191832	3039840	21540
360	360级聚灵阵	8504	1989936	1683792	3214512	3061440	21600
361	361级聚灵阵	8564	2003976	1695672	3237192	3083040	21660
362	362级聚灵阵	8624	2018016	1707552	3259872	3104640	21720
363	363级聚灵阵	8684	2032056	1719432	3282552	3126240	21780
364	364级聚灵阵	8744	2046096	1731312	3305232	3147840	21840
365	365级聚灵阵	8804	2060136	1743192	3327912	3169440	21900
366	366级聚灵阵	8864	2074176	1755072	3350592	3191040	21960
367	367级聚灵阵	8924	2088216	1766952	3373272	3212640	22020
368	368级聚灵阵	8984	2102256	1778832	3395952	3234240	22080
369	369级聚灵阵	9044	2116296	1790712	3418632	3255840	22140
370	370级聚灵阵	9104	2130336	1802592	3441312	3277440	22200
371	371级聚灵阵	9164	2144376	1814472	3463992	3299040	22260
372	372级聚灵阵	9224	2158416	1826352	3486672	3320640	22320
373	373级聚灵阵	9284	2172456	1838232	3509352	3342240	22380
374	374级聚灵阵	9344	2186496	1850112	3532032	3363840	22440
375	375级聚灵阵	9404	2200536	1861992	3554712	3385440	22500
376	376级聚灵阵	9464	2214576	1873872	3577392	3407040	22560
377	377级聚灵阵	9524	2228616	1885752	3600072	3428640	22620
378	378级聚灵阵	9584	2242656	1897632	3622752	3450240	22680
379	379级聚灵阵	9644	2256696	1909512	3645432	3471840	22740
380	380级聚灵阵	9704	2270736	1921392	3668112	3493440	22800
381	381级聚灵阵	9764	2284776	1933272	3690792	3515040	22860
382	382级聚灵阵	9824	2298816	1945152	3713472	3536640	22920
383	383级聚灵阵	9884	2312856	1957032	3736152	3558240	22980
384	384级聚灵阵	9944	2326896	1968912	3758832	3579840	23040
385	385级聚灵阵	10004	2340936	1980792	3781512	3601440	23100
386	386级聚灵阵	10064	2354976	1992672	3804192	3623040	23160
387	387级聚灵阵	10124	2369016	2004552	3826872	3644640	23220
388	388级聚灵阵	10184	2383056	2016432	3849552	3666240	23280
389	389级聚灵阵	10244	2397096	2028312	3872232	3687840	23340
390	390级聚灵阵	10304	2411136	2040192	3894912	3709440	23400
391	391级聚灵阵	10364	2425176	2052072	3917592	3731040	23460
392	392级聚灵阵	10424	2439216	2063952	3940272	3752640	23520
393	393级聚灵阵	10484	2453256	2075832	3962952	3774240	23580
394	394级聚灵阵	10544	2467296	2087712	3985632	3795840	23640
395	395级聚灵阵	10604	2481336	2099592	4008312	3817440	23700
396	396级聚灵阵	10664	2495376	2111472	4030992	3839040	23760
397	397级聚灵阵	10724	2509416	2123352	4053672	3860640	23820
398	398级聚灵阵	10784	2523456	2135232	4076352	3882240	23880
399	399级聚灵阵	10844	2537496	2147112	4099032	3903840	23940
400	400级聚灵阵	10904	2551536	2158992	4121712	3925440	24000
401	401级聚灵阵	10974	2765448	2370384	4345704	3950640	24060
402	402级聚灵阵	11044	2783088	2385504	4373424	3975840	24120
403	403级聚灵阵	11114	2800728	2400624	4401144	4001040	24180
404	404级聚灵阵	11184	2818368	2415744	4428864	4026240	24240
405	405级聚灵阵	11254	2836008	2430864	4456584	4051440	24300
406	406级聚灵阵	11324	2853648	2445984	4484304	4076640	24360
407	407级聚灵阵	11394	2871288	2461104	4512024	4101840	24420
408	408级聚灵阵	11464	2888928	2476224	4539744	4127040	24480
409	409级聚灵阵	11534	2906568	2491344	4567464	4152240	24540
410	410级聚灵阵	11604	2924208	2506464	4595184	4177440	24600
411	411级聚灵阵	11674	2941848	2521584	4622904	4202640	24660
412	412级聚灵阵	11744	2959488	2536704	4650624	4227840	24720
413	413级聚灵阵	11814	2977128	2551824	4678344	4253040	24780
414	414级聚灵阵	11884	2994768	2566944	4706064	4278240	24840
415	415级聚灵阵	11954	3012408	2582064	4733784	4303440	24900
416	416级聚灵阵	12024	3030048	2597184	4761504	4328640	24960
417	417级聚灵阵	12094	3047688	2612304	4789224	4353840	25020
418	418级聚灵阵	12164	3065328	2627424	4816944	4379040	25080
419	419级聚灵阵	12234	3082968	2642544	4844664	4404240	25140
420	420级聚灵阵	12304	3100608	2657664	4872384	4429440	25200
421	421级聚灵阵	12374	3118248	2672784	4900104	4454640	25260
422	422级聚灵阵	12444	3135888	2687904	4927824	4479840	25320
423	423级聚灵阵	12514	3153528	2703024	4955544	4505040	25380
424	424级聚灵阵	12584	3171168	2718144	4983264	4530240	25440
425	425级聚灵阵	12654	3188808	2733264	5010984	4555440	25500
426	426级聚灵阵	12724	3206448	2748384	5038704	4580640	25560
427	427级聚灵阵	12794	3224088	2763504	5066424	4605840	25620
428	428级聚灵阵	12864	3241728	2778624	5094144	4631040	25680
429	429级聚灵阵	12934	3259368	2793744	5121864	4656240	25740
430	430级聚灵阵	13004	3277008	2808864	5149584	4681440	25800
431	431级聚灵阵	13074	3294648	2823984	5177304	4706640	25860
432	432级聚灵阵	13144	3312288	2839104	5205024	4731840	25920
433	433级聚灵阵	13214	3329928	2854224	5232744	4757040	25980
434	434级聚灵阵	13284	3347568	2869344	5260464	4782240	26040
435	435级聚灵阵	13354	3365208	2884464	5288184	4807440	26100
436	436级聚灵阵	13424	3382848	2899584	5315904	4832640	26160
437	437级聚灵阵	13494	3400488	2914704	5343624	4857840	26220
438	438级聚灵阵	13564	3418128	2929824	5371344	4883040	26280
439	439级聚灵阵	13634	3435768	2944944	5399064	4908240	26340
440	440级聚灵阵	13704	3453408	2960064	5426784	4933440	26400
441	441级聚灵阵	13774	3471048	2975184	5454504	4958640	26460
442	442级聚灵阵	13844	3488688	2990304	5482224	4983840	26520
443	443级聚灵阵	13914	3506328	3005424	5509944	5009040	26580
444	444级聚灵阵	13984	3523968	3020544	5537664	5034240	26640
445	445级聚灵阵	14054	3541608	3035664	5565384	5059440	26700
446	446级聚灵阵	14124	3559248	3050784	5593104	5084640	26760
447	447级聚灵阵	14194	3576888	3065904	5620824	5109840	26820
448	448级聚灵阵	14264	3594528	3081024	5648544	5135040	26880
449	449级聚灵阵	14334	3612168	3096144	5676264	5160240	26940
450	450级聚灵阵	14404	3629808	3111264	5703984	5185440	27000
451	451级聚灵阵	14484	3910680	3389256	5996376	5214240	27060
452	452级聚灵阵	14564	3932280	3407976	6029496	5243040	27120
453	453级聚灵阵	14644	3953880	3426696	6062616	5271840	27180
454	454级聚灵阵	14724	3975480	3445416	6095736	5300640	27240
455	455级聚灵阵	14804	3997080	3464136	6128856	5329440	27300
456	456级聚灵阵	14884	4018680	3482856	6161976	5358240	27360
457	457级聚灵阵	14964	4040280	3501576	6195096	5387040	27420
458	458级聚灵阵	15044	4061880	3520296	6228216	5415840	27480
459	459级聚灵阵	15124	4083480	3539016	6261336	5444640	27540
460	460级聚灵阵	15204	4105080	3557736	6294456	5473440	27600
461	461级聚灵阵	15284	4126680	3576456	6327576	5502240	27660
