id_XBXXZ	type_XBXXZ	name_XBXXZ	race_XBXXZ	quality_XBXXZ	canride_XBXXZ	move_XBXXZ	show_attack_XBXXZ	MinSAttack_XBXXZ	MaxSAttack_XBXXZ	MinDefence_XBXXZ	MaxDefence_XBXXZ	MinSpeed_XBXXZ	MaxSpeed_XBXXZ	MinBang_XBXXZ	MaxBang_XBXXZ	MinDodge_XBXXZ	MaxDodge_XBXXZ	MinHP_XBXXZ	MaxHP_XBXXZ	qualityweights_XBXXZ	rootweights_XBXXZ	speedweights_XBXXZ	loyal_XBXXZ	skill_XBXXZ	icon_XBXXZ
11	1	蒲牢	1	1,10;2,50;3,30;	1	2	妖攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		398
12	1	疾风	1	3,100;2,50;1,10	1	1	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		399
13	1	紫金熊	1	3,100;2,50;1,10	1	1	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		400
14	1	霸下	1	1,10;2,50;3,30;	1	3	妖攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	50		401
15	1	睚眦	1	1,30;2,30;3,40;	1	2	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		402
16	1	嘲风	1	1,30;2,30;3,40;	1	2	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		403
17	2	骷髅勇士	1	3,100;2,50;1,10	0	1	鬼攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		356
18	2	拘魂骷髅	1	1,30;2,30;3,40;	0	1	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		357
19	2	九幽厉鬼	2	3,100;2,50;1,10	0	2	鬼攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		358
20	2	寒冰使者	2	1,10;2,50;3,30;	0	1	鬼攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		359
21	2	白无常	2	1,10;2,50;3,30;	0	1	鬼攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		360
22	2	青莲尸王	2	1,10;2,50;3,30;	0	1	鬼攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		361
23	2	青莲鬼王	2	3,100;2,50;1,10	0	2	鬼攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		362
24	2	无间噬魂使	2	1,30;2,30;3,40;	0	2	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		363
25	2	剧毒骷髅	2	3,100;2,50;1,10	0	1	鬼攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		364
26	2	鬼火骷髅	2	1,30;2,30;3,40;	0	1	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		365
27	2	招魂使	2	1,30;2,30;3,40;	0	2	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		366
28	2	鬼将	2	1,30;2,30;3,40;	0	1	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		367
29	2	幽寒怨魂	2	1,30;2,30;3,40;	0	2	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		368
30	2	鬼火怨魂	2	1,30;2,30;3,40;	0	2	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	50		369
31	2	哀嚎鬼王	2	1,10;2,50;3,30;	0	1	鬼攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		370
32	2	大判官	2	1,30;2,30;3,40;	0	2	鬼攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		371
33	3	牛魔	3	1,30;2,30;3,40;	0	1	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		372
34	3	角魔	3	1,30;2,30;3,40;	0	1	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		373
35	3	噬焰魔	3	1,30;2,30;3,40;	1	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		374
36	3	狮魔	3	1,30;2,30;3,40;	1	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		375
37	3	杀魔	3	1,30;2,30;3,40;	0	1	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		376
38	3	地狱犬	3	1,30;2,30;3,40;	0	1	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		377
39	3	呼啸者	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		378
40	3	幽冥魔将	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		379
41	3	炎魔	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		380
42	3	熔岩魔	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		381
43	3	焚烧恶魔	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		382
44	3	噬魂兽	3	1,30;2,30;3,40;	1	3	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		383
45	3	魔帅	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		384
46	3	血魔	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	3,2500;4,1250;5,625;6,313;	50		385
47	3	炽焰魔	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		386
48	3	炎魔长老	3	1,30;2,30;3,40;	0	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		387
49	4	人鱼	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		610
50	4	蜃妖	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		611
51	4	海妖	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		612
52	4	海丞相	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		613
53	4	碧波仙子	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		614
54	4	绿波兽	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		615
55	4	水莲兽	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		616
56	4	青蛟	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		617
57	4	九头蛇	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		618
58	4	吞海蛙	4	1,30;2,30;3,40;	1	3	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		619
59	4	白龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		620
60	4	青龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		621
61	4	红龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		622
62	4	蓝龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	50		623
63	4	黑龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		624
64	4	金龙	4	1,30;2,30;3,40;	1	2	海攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		625
65	5	一爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		394
66	5	二爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		395
67	5	三爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		396
68	5	四爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		397
69	5	五爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		398
70	5	六爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		399
71	5	七爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		400
72	5	八爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		401
73	5	九爪金龙	5	1,30;2,30;3,40;	1	2	龙攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		402
74	6	一转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		394
75	6	二转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		395
76	6	三转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		396
77	6	四转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		397
78	6	五转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		398
79	6	六转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		399
80	6	七转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		400
81	6	八转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		401
82	6	九转火凤	6	1,30;2,30;3,40;	1	2	凤攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	1,10000;2,5000;3,2500;4,1250;5,625;6,313;7,156;8,78;9,39;	50		402
83	1	[妖]戊戌神犬	1	1,100;	1	2	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	3,10000;	3,10000;	3,10000;	100		388
84	2	[鬼]戊戌神犬	2	1,100;	1	2	鬼攻	200	350	200	350	50	100	30	40	30	40	1500	4000	3,10000;	3,10000;	3,10000;	100		356
85	3	[魔]戊戌神犬	3	1,100;	1	2	魔攻	200	500	100	200	50	100	20	40	30	50	1000	3000	3,10000;	3,10000;	3,10000;	100		372
86	4	[兽]戊戌神犬	7	1,100;	1	1	兽攻	100	175	50	100	25	50	10	20	15	25	500	1500	1,10000;	1,10000;	1,10000;	100		372
