ID_XBXXZ	level_XBXXZ	name_XBXXZ	yield_XBXXZ	updata_XBXXZ	capcity_XBXXZ	time_XBXXZ	add_XBXXZ	servantlimit_XBXXZ	cost_XBXXZ
74	74	74级灵脉	0	532800	53280	1110	1	8	10
75	75	75级灵脉	0	540000	54000	1125	1	8	10
76	76	76级灵脉	0	547200	54720	1140	1	8	10
77	77	77级灵脉	0	554400	55440	1155	1	8	10
78	78	78级灵脉	0	561600	56160	1170	1	8	10
79	79	79级灵脉	0	568800	56880	1185	1	8	10
80	80	80级灵脉	0	648000	64800	1200	1	9	10
81	81	81级灵脉	0	656100	65610	1215	1	9	10
82	82	82级灵脉	0	664200	66420	1230	1	9	10
83	83	83级灵脉	0	672300	67230	1245	1	9	10
84	84	84级灵脉	0	680400	68040	1260	1	9	10
85	85	85级灵脉	0	688500	68850	1275	1	9	10
86	86	86级灵脉	0	696600	69660	1290	1	9	10
87	87	87级灵脉	0	704700	70470	1305	1	9	10
88	88	88级灵脉	0	712800	71280	1320	1	9	10
89	89	89级灵脉	0	720900	72090	1335	1	9	10
90	90	90级灵脉	0	810000	81000	1350	1	10	10
91	91	91级灵脉	0	819000	81900	1365	1	10	10
92	92	92级灵脉	0	828000	82800	1380	1	10	10
93	93	93级灵脉	0	837000	83700	1395	1	10	10
94	94	94级灵脉	0	846000	84600	1410	1	10	10
95	95	95级灵脉	0	855000	85500	1425	1	10	10
96	96	96级灵脉	0	864000	86400	1440	1	10	10
97	97	97级灵脉	0	873000	87300	1455	1	10	10
98	98	98级灵脉	0	882000	88200	1470	1	10	10
99	99	99级灵脉	0	891000	89100	1485	1	10	10
100	100	100级灵脉	0	900000	90000	1500	1	10	10
101	1	1级兽场	1	135	450	15	2	5	1
102	2	2级兽场	1	432	1440	30	2	8	1
103	3	3级兽场	1	891	2970	45	2	11	1
104	4	4级兽场	1	1512	5040	60	2	14	1
105	5	5级兽场	1	2295	7650	75	2	17	1
106	6	6级兽场	1	3240	10800	90	2	20	1
107	7	7级兽场	1	4347	14490	105	2	23	1
108	8	8级兽场	1	5616	18720	120	2	26	1
109	9	9级兽场	1	7047	23490	135	2	29	1
110	10	10级兽场	1	8640	28800	150	2	32	1
111	11	11级兽场	1	10395	34650	165	2	35	1
112	12	12级兽场	1	12312	41040	180	2	38	1
113	13	13级兽场	1	14391	47970	195	2	41	1
114	14	14级兽场	1	16632	55440	210	2	44	1
115	15	15级兽场	1	19035	63450	225	2	47	1
116	16	16级兽场	1	21600	72000	240	2	50	1
117	17	17级兽场	1	24327	81090	255	2	53	1
118	18	18级兽场	1	27216	90720	270	2	56	1
119	19	19级兽场	1	30267	100890	285	2	59	1
120	20	20级兽场	1	33480	111600	300	2	62	1
121	21	21级兽场	1	36855	122850	315	2	65	1
122	22	22级兽场	1	40392	134640	330	2	68	1
123	23	23级兽场	1	44091	146970	345	2	71	1
124	24	24级兽场	1	47952	159840	360	2	74	1
125	25	25级兽场	1	51975	173250	375	2	77	1
126	26	26级兽场	1	56160	187200	390	2	80	1
127	27	27级兽场	1	60507	201690	405	2	83	1
128	28	28级兽场	1	65016	216720	420	2	86	1
129	29	29级兽场	1	69687	232290	435	2	89	1
130	30	30级兽场	1	74520	248400	450	2	92	1
131	31	31级兽场	1	79515	265050	465	2	95	1
132	32	32级兽场	1	84672	282240	480	2	98	1
133	33	33级兽场	1	89991	299970	495	2	101	1
134	34	34级兽场	1	95472	318240	510	2	104	1
135	35	35级兽场	1	101115	337050	525	2	107	1
136	36	36级兽场	1	106920	356400	540	2	110	1
137	37	37级兽场	1	112887	376290	555	2	113	1
138	38	38级兽场	1	119016	396720	570	2	116	1
139	39	39级兽场	1	125307	417690	585	2	119	1
140	40	40级兽场	1	131760	439200	600	2	122	1
141	41	41级兽场	1	138375	461250	615	2	125	1
142	42	42级兽场	1	145152	483840	630	2	128	1
143	43	43级兽场	1	152091	506970	645	2	131	1
144	44	44级兽场	1	159192	530640	660	2	134	1
145	45	45级兽场	1	166455	554850	675	2	137	1
146	46	46级兽场	1	173880	579600	690	2	140	1
147	47	47级兽场	1	181467	604890	705	2	143	1
148	48	48级兽场	1	189216	630720	720	2	146	1
149	49	49级兽场	1	197127	657090	735	2	149	1
150	50	50级兽场	1	205200	684000	750	2	152	1
151	51	51级兽场	1	213435	711450	765	2	155	1
152	52	52级兽场	1	221832	739440	780	2	158	1
153	53	53级兽场	1	230391	767970	795	2	161	1
154	54	54级兽场	1	239112	797040	810	2	164	1
155	55	55级兽场	1	247995	826650	825	2	167	1
156	56	56级兽场	1	257040	856800	840	2	170	1
157	57	57级兽场	1	266247	887490	855	2	173	1
158	58	58级兽场	1	275616	918720	870	2	176	1
159	59	59级兽场	1	285147	950490	885	2	179	1
160	60	60级兽场	1	294840	982800	900	2	182	1
161	61	61级兽场	1	304695	1015650	915	2	185	1
162	62	62级兽场	1	314712	1049040	930	2	188	1
163	63	63级兽场	1	324891	1082970	945	2	191	1
164	64	64级兽场	1	335232	1117440	960	2	194	1
165	65	65级兽场	1	345735	1152450	975	2	197	1
166	66	66级兽场	1	356400	1188000	990	2	200	1
167	67	67级兽场	1	367227	1224090	1005	2	203	1
168	68	68级兽场	1	378216	1260720	1020	2	206	1
169	69	69级兽场	1	389367	1297890	1035	2	209	1
170	70	70级兽场	1	400680	1335600	1050	2	212	1
171	71	71级兽场	1	412155	1373850	1065	2	215	1
172	72	72级兽场	1	423792	1412640	1080	2	218	1
173	73	73级兽场	1	435591	1451970	1095	2	221	1
174	74	74级兽场	1	447552	1491840	1110	2	224	1
175	75	75级兽场	1	459675	1532250	1125	2	227	1
176	76	76级兽场	1	471960	1573200	1140	2	230	1
177	77	77级兽场	1	484407	1614690	1155	2	233	1
178	78	78级兽场	1	497016	1656720	1170	2	236	1
179	79	79级兽场	1	509787	1699290	1185	2	239	1
180	80	80级兽场	1	522720	1742400	1200	2	242	1
181	81	81级兽场	1	535815	1786050	1215	2	245	1
182	82	82级兽场	1	549072	1830240	1230	2	248	1
183	83	83级兽场	1	562491	1874970	1245	2	251	1
184	84	84级兽场	1	576072	1920240	1260	2	254	1
185	85	85级兽场	1	589815	1966050	1275	2	257	1
186	86	86级兽场	1	603720	2012400	1290	2	260	1
187	87	87级兽场	1	617787	2059290	1305	2	263	1
188	88	88级兽场	1	632016	2106720	1320	2	266	1
189	89	89级兽场	1	646407	2154690	1335	2	269	1
190	90	90级兽场	1	660960	2203200	1350	2	272	1
191	91	91级兽场	1	675675	2252250	1365	2	275	1
192	92	92级兽场	1	690552	2301840	1380	2	278	1
193	93	93级兽场	1	705591	2351970	1395	2	281	1
194	94	94级兽场	1	720792	2402640	1410	2	284	1
195	95	95级兽场	1	736155	2453850	1425	2	287	1
196	96	96级兽场	1	751680	2505600	1440	2	290	1
197	97	97级兽场	1	767367	2557890	1455	2	293	1
198	98	98级兽场	1	783216	2610720	1470	2	296	1
199	99	99级兽场	1	799227	2664090	1485	2	299	1
200	100	100级兽场	1	815400	2718000	1500	2	302	1
201	101	101级兽场	1	979965	2799900	1530	2	305	1
202	102	102级兽场	1	1009008	2882880	1560	2	308	1
203	103	103级兽场	1	1038429	2966940	1590	2	311	1
204	104	104级兽场	1	1068228	3052080	1620	2	314	1
205	105	105级兽场	1	1098405	3138300	1650	2	317	1
206	106	106级兽场	1	1128960	3225600	1680	2	320	1
207	107	107级兽场	1	1159893	3313980	1710	2	323	1
208	108	108级兽场	1	1191204	3403440	1740	2	326	1
209	109	109级兽场	1	1222893	3493980	1770	2	329	1
210	110	110级兽场	1	1254960	3585600	1800	2	332	1
211	111	111级兽场	1	1287405	3678300	1830	2	335	1
212	112	112级兽场	1	1320228	3772080	1860	2	338	1
213	113	113级兽场	1	1353429	3866940	1890	2	341	1
214	114	114级兽场	1	1387008	3962880	1920	2	344	1
215	115	115级兽场	1	1420965	4059900	1950	2	347	1
216	116	116级兽场	1	1455300	4158000	1980	2	350	1
217	117	117级兽场	1	1490013	4257180	2010	2	353	1
218	118	118级兽场	1	1525104	4357440	2040	2	356	1
219	119	119级兽场	1	1560573	4458780	2070	2	359	1
220	120	120级兽场	1	1596420	4561200	2100	2	362	1
221	121	121级兽场	1	1632645	4664700	2130	2	365	1
222	122	122级兽场	1	1669248	4769280	2160	2	368	1
223	123	123级兽场	1	1706229	4874940	2190	2	371	1
224	124	124级兽场	1	1743588	4981680	2220	2	374	1
225	125	125级兽场	1	1781325	5089500	2250	2	377	1
226	126	126级兽场	1	1819440	5198400	2280	2	380	1
227	127	127级兽场	1	1857933	5308380	2310	2	383	1
228	128	128级兽场	1	1896804	5419440	2340	2	386	1
229	129	129级兽场	1	1936053	5531580	2370	2	389	1
230	130	130级兽场	1	1975680	5644800	2400	2	392	1
231	131	131级兽场	1	2015685	5759100	2430	2	395	1
232	132	132级兽场	1	2056068	5874480	2460	2	398	1
233	133	133级兽场	1	2096829	5990940	2490	2	401	1
234	134	134级兽场	1	2137968	6108480	2520	2	404	1
235	135	135级兽场	1	2179485	6227100	2550	2	407	1
236	136	136级兽场	1	2221380	6346800	2580	2	410	1
237	137	137级兽场	1	2263653	6467580	2610	2	413	1
238	138	138级兽场	1	2306304	6589440	2640	2	416	1
239	139	139级兽场	1	2349333	6712380	2670	2	419	1
240	140	140级兽场	1	2392740	6836400	2700	2	422	1
241	141	141级兽场	1	2436525	6961500	2730	2	425	1
242	142	142级兽场	1	2480688	7087680	2760	2	428	1
243	143	143级兽场	1	2525229	7214940	2790	2	431	1
244	144	144级兽场	1	2570148	7343280	2820	2	434	1
245	145	145级兽场	1	2615445	7472700	2850	2	437	1
246	146	146级兽场	1	2661120	7603200	2880	2	440	1
247	147	147级兽场	1	2707173	7734780	2910	2	443	1
248	148	148级兽场	1	2753604	7867440	2940	2	446	1
249	149	149级兽场	1	2800413	8001180	2970	2	449	1
250	150	150级兽场	1	2847600	8136000	3000	2	452	1
251	151	151级兽场	1	2895165	8271900	3030	2	455	1
252	152	152级兽场	1	2943108	8408880	3060	2	458	1
253	153	153级兽场	1	2991429	8546940	3090	2	461	1
254	154	154级兽场	1	3040128	8686080	3120	2	464	1
255	155	155级兽场	1	3089205	8826300	3150	2	467	1
256	156	156级兽场	1	3138660	8967600	3180	2	470	1
257	157	157级兽场	1	3188493	9109980	3210	2	473	1
258	158	158级兽场	1	3238704	9253440	3240	2	476	1
259	159	159级兽场	1	3289293	9397980	3270	2	479	1
260	160	160级兽场	1	3340260	9543600	3300	2	482	1
261	161	161级兽场	1	3391605	9690300	3330	2	485	1
262	162	162级兽场	1	3443328	9838080	3360	2	488	1
263	163	163级兽场	1	3495429	9986940	3390	2	491	1
264	164	164级兽场	1	3547908	10136880	3420	2	494	1
265	165	165级兽场	1	3600765	10287900	3450	2	497	1
266	166	166级兽场	1	3654000	10440000	3480	2	500	1
267	167	167级兽场	1	3707613	10593180	3510	2	503	1
268	168	168级兽场	1	3761604	10747440	3540	2	506	1
269	169	169级兽场	1	3815973	10902780	3570	2	509	1
270	170	170级兽场	1	3870720	11059200	3600	2	512	1
271	171	171级兽场	1	3925845	11216700	3630	2	515	1
272	172	172级兽场	1	3981348	11375280	3660	2	518	1
273	173	173级兽场	1	4037229	11534940	3690	2	521	1
274	174	174级兽场	1	4093488	11695680	3720	2	524	1
275	175	175级兽场	1	4150125	11857500	3750	2	527	1
276	176	176级兽场	1	4207140	12020400	3780	2	530	1
277	177	177级兽场	1	4264533	12184380	3810	2	533	1
278	178	178级兽场	1	4322304	12349440	3840	2	536	1
279	179	179级兽场	1	4380453	12515580	3870	2	539	1
280	180	180级兽场	1	4438980	12682800	3900	2	542	1
281	181	181级兽场	1	4497885	12851100	3930	2	545	1
282	182	182级兽场	1	4557168	13020480	3960	2	548	1
283	183	183级兽场	1	4616829	13190940	3990	2	551	1
284	184	184级兽场	1	4676868	13362480	4020	2	554	1
285	185	185级兽场	1	4737285	13535100	4050	2	557	1
286	186	186级兽场	1	4798080	13708800	4080	2	560	1
287	187	187级兽场	1	4859253	13883580	4110	2	563	1
288	188	188级兽场	1	4920804	14059440	4140	2	566	1
289	189	189级兽场	1	4982733	14236380	4170	2	569	1
290	190	190级兽场	1	5045040	14414400	4200	2	572	1
291	191	191级兽场	1	5107725	14593500	4230	2	575	1
292	192	192级兽场	1	5170788	14773680	4260	2	578	1
293	193	193级兽场	1	5234229	14954940	4290	2	581	1
294	194	194级兽场	1	5298048	15137280	4320	2	584	1
295	195	195级兽场	1	5362245	15320700	4350	2	587	1
296	196	196级兽场	1	5426820	15505200	4380	2	590	1
297	197	197级兽场	1	5491773	15690780	4410	2	593	1
298	198	198级兽场	1	5557104	15877440	4440	2	596	1
299	199	199级兽场	1	5622813	16065180	4470	2	599	1
300	200	200级兽场	1	5688900	16254000	4500	2	602	1
301	1	1级树林	2	90	180	15	1	2	2
302	2	2级树林	2	360	720	30	1	4	2
303	3	3级树林	2	810	1620	45	1	6	2
304	4	4级树林	2	1440	2880	60	1	8	2
305	5	5级树林	2	2250	4500	75	1	10	2
306	6	6级树林	2	3240	6480	90	1	12	2
307	7	7级树林	2	4410	8820	105	1	14	2
308	8	8级树林	2	5760	11520	120	1	16	2
309	9	9级树林	2	7290	14580	135	1	18	2
310	10	10级树林	2	9000	18000	150	1	20	2
311	11	11级树林	2	10890	21780	165	1	22	2
312	12	12级树林	2	12960	25920	180	1	24	2
313	13	13级树林	2	15210	30420	195	1	26	2
314	14	14级树林	2	17640	35280	210	1	28	2
315	15	15级树林	2	20250	40500	225	1	30	2
316	16	16级树林	2	23040	46080	240	1	32	2
317	17	17级树林	2	26010	52020	255	1	34	2
318	18	18级树林	2	29160	58320	270	1	36	2
319	19	19级树林	2	32490	64980	285	1	38	2
320	20	20级树林	2	36000	72000	300	1	40	2
321	21	21级树林	2	39690	79380	315	1	42	2
322	22	22级树林	2	43560	87120	330	1	44	2
323	23	23级树林	2	47610	95220	345	1	46	2
324	24	24级树林	2	51840	103680	360	1	48	2
325	25	25级树林	2	56250	112500	375	1	50	2
326	26	26级树林	2	60840	121680	390	1	52	2
327	27	27级树林	2	65610	131220	405	1	54	2
328	28	28级树林	2	70560	141120	420	1	56	2
329	29	29级树林	2	75690	151380	435	1	58	2
330	30	30级树林	2	81000	162000	450	1	60	2
331	31	31级树林	2	86490	172980	465	1	62	2
332	32	32级树林	2	92160	184320	480	1	64	2
333	33	33级树林	2	98010	196020	495	1	66	2
334	34	34级树林	2	104040	208080	510	1	68	2
335	35	35级树林	2	110250	220500	525	1	70	2
336	36	36级树林	2	116640	233280	540	1	72	2
337	37	37级树林	2	123210	246420	555	1	74	2
338	38	38级树林	2	129960	259920	570	1	76	2
339	39	39级树林	2	136890	273780	585	1	78	2
340	40	40级树林	2	144000	288000	600	1	80	2
341	41	41级树林	2	151290	302580	615	1	82	2
342	42	42级树林	2	158760	317520	630	1	84	2
343	43	43级树林	2	166410	332820	645	1	86	2
344	44	44级树林	2	174240	348480	660	1	88	2
345	45	45级树林	2	182250	364500	675	1	90	2
346	46	46级树林	2	190440	380880	690	1	92	2
347	47	47级树林	2	198810	397620	705	1	94	2
348	48	48级树林	2	207360	414720	720	1	96	2
349	49	49级树林	2	216090	432180	735	1	98	2
350	50	50级树林	2	225000	450000	750	1	100	2
351	51	51级树林	2	234090	468180	765	1	102	2
352	52	52级树林	2	243360	486720	780	1	104	2
353	53	53级树林	2	252810	505620	795	1	106	2
354	54	54级树林	2	262440	524880	810	1	108	2
355	55	55级树林	2	272250	544500	825	1	110	2
356	56	56级树林	2	282240	564480	840	1	112	2
357	57	57级树林	2	292410	584820	855	1	114	2
358	58	58级树林	2	302760	605520	870	1	116	2
359	59	59级树林	2	313290	626580	885	1	118	2
360	60	60级树林	2	324000	648000	900	1	120	2
361	61	61级树林	2	334890	669780	915	1	122	2
362	62	62级树林	2	345960	691920	930	1	124	2
363	63	63级树林	2	357210	714420	945	1	126	2
364	64	64级树林	2	368640	737280	960	1	128	2
365	65	65级树林	2	380250	760500	975	1	130	2
366	66	66级树林	2	392040	784080	990	1	132	2
367	67	67级树林	2	404010	808020	1005	1	134	2
368	68	68级树林	2	416160	832320	1020	1	136	2
369	69	69级树林	2	428490	856980	1035	1	138	2
370	70	70级树林	2	441000	882000	1050	1	140	2
371	71	71级树林	2	453690	907380	1065	1	142	2
372	72	72级树林	2	466560	933120	1080	1	144	2
373	73	73级树林	2	479610	959220	1095	1	146	2
374	74	74级树林	2	492840	985680	1110	1	148	2
375	75	75级树林	2	506250	1012500	1125	1	150	2
376	76	76级树林	2	519840	1039680	1140	1	152	2
377	77	77级树林	2	533610	1067220	1155	1	154	2
378	78	78级树林	2	547560	1095120	1170	1	156	2
379	79	79级树林	2	561690	1123380	1185	1	158	2
380	80	80级树林	2	576000	1152000	1200	1	160	2
381	81	81级树林	2	590490	1180980	1215	1	162	2
382	82	82级树林	2	605160	1210320	1230	1	164	2
383	83	83级树林	2	620010	1240020	1245	1	166	2
384	84	84级树林	2	635040	1270080	1260	1	168	2
385	85	85级树林	2	650250	1300500	1275	1	170	2
386	86	86级树林	2	665640	1331280	1290	1	172	2
387	87	87级树林	2	681210	1362420	1305	1	174	2
388	88	88级树林	2	696960	1393920	1320	1	176	2
389	89	89级树林	2	712890	1425780	1335	1	178	2
390	90	90级树林	2	729000	1458000	1350	1	180	2
391	91	91级树林	2	745290	1490580	1365	1	182	2
392	92	92级树林	2	761760	1523520	1380	1	184	2
393	93	93级树林	2	778410	1556820	1395	1	186	2
394	94	94级树林	2	795240	1590480	1410	1	188	2
395	95	95级树林	2	812250	1624500	1425	1	190	2
396	96	96级树林	2	829440	1658880	1440	1	192	2
397	97	97级树林	2	846810	1693620	1455	1	194	2
398	98	98级树林	2	864360	1728720	1470	1	196	2
399	99	99级树林	2	882090	1764180	1485	1	198	2
400	100	100级树林	2	990000	1800000	1500	1	200	2
401	101	101级树林	2	1009899	1836180	1515	1	202	2
402	102	102级树林	2	1029996	1872720	1530	1	204	2
403	103	103级树林	2	1050291	1909620	1545	1	206	2
404	104	104级树林	2	1070784	1946880	1560	1	208	2
405	105	105级树林	2	1091475	1984500	1575	1	210	2
406	106	106级树林	2	1112364	2022480	1590	1	212	2
407	107	107级树林	2	1133451	2060820	1605	1	214	2
408	108	108级树林	2	1154736	2099520	1620	1	216	2
409	109	109级树林	2	1176219	2138580	1635	1	218	2
410	110	110级树林	2	1197900	2178000	1650	1	220	2
411	111	111级树林	2	1219779	2217780	1665	1	222	2
412	112	112级树林	2	1241856	2257920	1680	1	224	2
413	113	113级树林	2	1264131	2298420	1695	1	226	2
414	114	114级树林	2	1286604	2339280	1710	1	228	2
415	115	115级树林	2	1309275	2380500	1725	1	230	2
416	116	116级树林	2	1332144	2422080	1740	1	232	2
417	117	117级树林	2	1355211	2464020	1755	1	234	2
418	118	118级树林	2	1378476	2506320	1770	1	236	2
419	119	119级树林	2	1401939	2548980	1785	1	238	2
420	120	120级树林	2	1425600	2592000	1800	1	240	2
421	121	121级树林	2	1449459	2635380	1815	1	242	2
422	122	122级树林	2	1473516	2679120	1830	1	244	2
423	123	123级树林	2	1497771	2723220	1845	1	246	2
424	124	124级树林	2	1522224	2767680	1860	1	248	2
425	125	125级树林	2	1546875	2812500	1875	1	250	2
426	126	126级树林	2	1571724	2857680	1890	1	252	2
427	127	127级树林	2	1596771	2903220	1905	1	254	2
428	128	128级树林	2	1622016	2949120	1920	1	256	2
429	129	129级树林	2	1647459	2995380	1935	1	258	2
430	130	130级树林	2	1673100	3042000	1950	1	260	2
431	131	131级树林	2	1698939	3088980	1965	1	262	2
432	132	132级树林	2	1724976	3136320	1980	1	264	2
433	133	133级树林	2	1751211	3184020	1995	1	266	2
434	134	134级树林	2	1777644	3232080	2010	1	268	2
435	135	135级树林	2	1804275	3280500	2025	1	270	2
436	136	136级树林	2	1831104	3329280	2040	1	272	2
437	137	137级树林	2	1858131	3378420	2055	1	274	2
438	138	138级树林	2	1885356	3427920	2070	1	276	2
439	139	139级树林	2	1912779	3477780	2085	1	278	2
440	140	140级树林	2	1940400	3528000	2100	1	280	2
441	141	141级树林	2	1968219	3578580	2115	1	282	2
442	142	142级树林	2	1996236	3629520	2130	1	284	2
443	143	143级树林	2	2024451	3680820	2145	1	286	2
444	144	144级树林	2	2052864	3732480	2160	1	288	2
445	145	145级树林	2	2081475	3784500	2175	1	290	2
446	146	146级树林	2	2110284	3836880	2190	1	292	2
447	147	147级树林	2	2139291	3889620	2205	1	294	2
448	148	148级树林	2	2168496	3942720	2220	1	296	2
449	149	149级树林	2	2197899	3996180	2235	1	298	2
450	150	150级树林	2	2227500	4050000	2250	1	300	2
451	151	151级树林	2	2462508	4104180	2265	1	302	2
452	152	152级树林	2	2495232	4158720	2280	1	304	2
453	153	153级树林	2	2528172	4213620	2295	1	306	2
454	154	154级树林	2	2561328	4268880	2310	1	308	2
455	155	155级树林	2	2594700	4324500	2325	1	310	2
456	156	156级树林	2	2628288	4380480	2340	1	312	2
457	157	157级树林	2	2662092	4436820	2355	1	314	2
458	158	158级树林	2	2696112	4493520	2370	1	316	2
459	159	159级树林	2	2730348	4550580	2385	1	318	2
460	160	160级树林	2	2764800	4608000	2400	1	320	2
461	161	161级树林	2	2799468	4665780	2415	1	322	2
462	162	162级树林	2	2834352	4723920	2430	1	324	2
463	163	163级树林	2	2869452	4782420	2445	1	326	2
464	164	164级树林	2	2904768	4841280	2460	1	328	2
465	165	165级树林	2	2940300	4900500	2475	1	330	2
466	166	166级树林	2	2976048	4960080	2490	1	332	2
467	167	167级树林	2	3012012	5020020	2505	1	334	2
468	168	168级树林	2	3048192	5080320	2520	1	336	2
469	169	169级树林	2	3084588	5140980	2535	1	338	2
470	170	170级树林	2	3121200	5202000	2550	1	340	2
471	171	171级树林	2	3158028	5263380	2565	1	342	2
472	172	172级树林	2	3195072	5325120	2580	1	344	2
473	173	173级树林	2	3232332	5387220	2595	1	346	2
474	174	174级树林	2	3269808	5449680	2610	1	348	2
475	175	175级树林	2	3307500	5512500	2625	1	350	2
476	176	176级树林	2	3345408	5575680	2640	1	352	2
477	177	177级树林	2	3383532	5639220	2655	1	354	2
478	178	178级树林	2	3421872	5703120	2670	1	356	2
479	179	179级树林	2	3460428	5767380	2685	1	358	2
480	180	180级树林	2	3499200	5832000	2700	1	360	2
481	181	181级树林	2	3538188	5896980	2715	1	362	2
482	182	182级树林	2	3577392	5962320	2730	1	364	2
483	183	183级树林	2	3616812	6028020	2745	1	366	2
484	184	184级树林	2	3656448	6094080	2760	1	368	2
485	185	185级树林	2	3696300	6160500	2775	1	370	2
486	186	186级树林	2	3736368	6227280	2790	1	372	2
487	187	187级树林	2	3776652	6294420	2805	1	374	2
488	188	188级树林	2	3817152	6361920	2820	1	376	2
489	189	189级树林	2	3857868	6429780	2835	1	378	2
490	190	190级树林	2	3898800	6498000	2850	1	380	2
491	191	191级树林	2	3939948	6566580	2865	1	382	2
492	192	192级树林	2	3981312	6635520	2880	1	384	2
493	193	193级树林	2	4022892	6704820	2895	1	386	2
494	194	194级树林	2	4064688	6774480	2910	1	388	2
495	195	195级树林	2	4106700	6844500	2925	1	390	2
496	196	196级树林	2	4148928	6914880	2940	1	392	2
497	197	197级树林	2	4191372	6985620	2955	1	394	2
498	198	198级树林	2	4234032	7056720	2970	1	396	2
499	199	199级树林	2	4276908	7128180	2985	1	398	2
500	200	200级树林	2	4320000	7200000	3000	1	400	2
501	201	201级树林	2	4726917	7272180	3015	1	402	2
502	202	202级树林	2	4774068	7344720	3030	1	404	2
503	203	203级树林	2	4821453	7417620	3045	1	406	2
504	204	204级树林	2	4869072	7490880	3060	1	408	2
505	205	205级树林	2	4916925	7564500	3075	1	410	2
