index_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	text_XBXXZ	Level_XBXXZ	BodyLevel_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	Doom_XBXXZ	Speed_XBXXZ	dodge_XBXXZ	GoldSpirit_XBXXZ	WoodSpirit_XBXXZ	WaterdSpirit_XBXXZ	FiredSpirit_XBXXZ	MudSpirit_XBXXZ
74	19	1	【{0}】{1}在昆仑山苦寻了一年，追上一只魔物，斩杀之后，搜出了一枚丹药（一品洗髓丹）。												
75	20	1	【{0}】{1}在昆仑山苦寻了一年，追上一只妖魔，斩杀之后，搜出了一枚丹药（一品浑天丹）。												
76	21	1	【{0}】{1}在昆仑山苦寻了一年，追上一只恶鬼，斩杀之后，搜出了一枚丹药（一品体魄丹）。												
77	22	1	【{0}】{1}在昆仑山苦寻了一年，追上一只魔物，斩杀之后，搜出了一枚丹药（一品灵动丹）。												
78	23	1	【{0}】{1}在昆仑山苦寻了一年，追上一只妖魔，斩杀之后，搜出了一枚丹药（一品血煞丹）。												
79	24	1	【{0}】{1}在昆仑山苦寻了一年，追上一只恶鬼，斩杀之后，搜出了一枚丹药（一品雷元丹）。												
80	25	1	【{0}】{1}在昆仑山苦寻了一年，追上一只魔物，斩杀之后，搜出了一枚丹药（一品风行丹）。												
81	26	1	【{0}】{1}在昆仑山苦寻了一年，追上一只妖魔，斩杀之后，搜出了一枚丹药（一品天罡丹）。												
82	27	1	【{0}】{1}在昆仑山苦寻了一年，追上一只恶鬼，斩杀之后，搜出了一枚丹药（一品镇妖丹）。												
83	38	30	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了30个灵石。												
84			【{0}】{1}在昆仑山苦寻了一年，路上发现一个储物袋，却已被其他道友捷足先登。												
85			【{0}】{1}在昆仑山苦寻了一年，路上发现一具尸骸，储物袋已经消失不见了。												
86			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（灵根不足，无法获取）												
87			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（肉身不足，无法获取）												
88			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（修为不足，无法获取）												
89			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（炼丹术不足，无法获取）												
90			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（炼器术不足，无法获取）												
91			【{0}】{1}在昆仑山苦寻了一年，路上遇见高人，满脸遗憾的看了看你！（奇门遁甲不足，无法获取）												
92			【{0}】{1}在昆仑山苦寻了一年，路上遇见仙人飞过，仙人没有回头。（修为不足，无法获取）												
93			【{0}】{1}在昆仑山苦寻了一年，路上遇见魔王，撒腿就跑。（逃跑成功）												
94			【{0}】{1}在昆仑山苦寻了一年，路上遇见妖王，撒腿就跑。（逃跑成功）												
95			【{0}】{1}在昆仑山苦寻了一年，路上遇见鬼王，撒腿就跑。（逃跑成功）												
96			【{0}】{1}在昆仑山苦寻了一年，路上遇见魔王，险被斩杀。（逃跑成功）												
97			【{0}】{1}在昆仑山苦寻了一年，路上遇见妖王，险被斩杀。（逃跑成功）												
98			【{0}】{1}在昆仑山苦寻了一年，路上遇见鬼王，险被斩杀。（逃跑成功）												
99			【{0}】{1}在昆仑山苦寻了一年，路上发现一颗奇怪的蛋，可惜旁边有恶魔守卫。（修为不足，无法获取。）												
100			【{0}】{1}在昆仑山苦寻了一年，路上发现一颗奇怪的蛋，可惜旁边有恶鬼守卫。（修为不足，无法获取。）												
101			【{0}】{1}在昆仑山苦寻了一年，路上发现一颗奇怪的蛋，没有御剑飞行术无法取得。（功法不足，无法获取。）												
102	38	100	【{0}】{1}在昆仑山苦寻了一年，遇到一处低级宝地雷光四射。强行搜索后，捡到100灵石。												
103	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
104	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
105	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
106	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
107	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
108	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
109	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
110	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
111	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
112	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
113	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
114	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
115	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
116	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
117	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
118	283	1	【{0}】{1}在昆仑山苦寻了一年，偶遇其他道友涉险，随手帮助，得到1点功德(洞虚以上修为)。	71											
119	283	2	【{0}】{1}在昆仑山苦寻了一年，偶遇其他道友涉险，随手帮助，得到2点功德(大乘以上修为)。	81											
120	283	3	【{0}】{1}在昆仑山苦寻了一年，偶遇其他道友涉险，随手帮助，得到3点功德(洞真以上修为)。	91											
121	283	4	【{0}】{1}在昆仑山苦寻了一年，偶遇其他道友涉险，随手帮助，得到4点功德(散仙以上修为)。	101											
122	283	5	【{0}】{1}在昆仑山苦寻了一年，偶遇其他道友涉险，随手帮助，得到5点功德(游仙以上修为)。	111											
123	287	1	【{0}】{1}在昆仑山苦寻了一年，路上遇见仙子飞过，与仙子畅谈大道真理，仙子拿出悟道茶款待道友。	101											
124	287	1	【{0}】{1}在昆仑山苦寻了一年，路上遇见仙人飞过，与仙人畅谈大道真理，仙子拿出悟道茶款待道友。	101											
125	3056	1	【{0}】{1}在昆仑山苦寻了一年，遇见恶魔谷前辈，前辈认为你资质过人，送你一个恶魔谷信物	81											
126	3057	1	【{0}】{1}在昆仑山苦寻了一年，遇见死亡谷前辈，前辈认为你资质过人，送你一个死亡谷信物	81											
127	3058	1	【{0}】{1}在昆仑山苦寻了一年，遇见凌云殿前辈，前辈认为你资质过人，送你一个凌云殿信物	81											
128	3059	1	【{0}】{1}在昆仑山苦寻了一年，遇见云霄阁前辈，前辈认为你资质过人，送你一个云霄阁信物	81											
129	3060	1	【{0}】{1}在昆仑山苦寻了一年，遇见华音阁前辈，前辈认为你资质过人，送你一个华音阁信物	81											
130	3061	1	【{0}】{1}在昆仑山苦寻了一年，遇见天魔教前辈，前辈认为你资质过人，送你一个天魔教信物	81											
131	3062	1	【{0}】{1}在昆仑山苦寻了一年，遇见玄灵教前辈，前辈认为你资质过人，送你一个玄灵教信物	91											
132	3063	1	【{0}】{1}在昆仑山苦寻了一年，遇见浩天府前辈，前辈认为你资质过人，送你一个浩天府信物	91											
133	3064	1	【{0}】{1}在昆仑山苦寻了一年，遇见紫门谷前辈，前辈认为你资质过人，送你一个紫门谷信物	91											
134	3065	1	【{0}】{1}在昆仑山苦寻了一年，遇见碧凌谷前辈，前辈认为你资质过人，送你一个碧凌谷信物	91											
135	3066	1	【{0}】{1}在昆仑山苦寻了一年，遇见魔泯宫前辈，前辈认为你资质过人，送你一个魔泯宫信物	91											
136	3067	1	【{0}】{1}在昆仑山苦寻了一年，遇见碧宵宫前辈，前辈认为你资质过人，送你一个碧宵宫信物	91											
137	3068	1	【{0}】{1}在昆仑山苦寻了一年，遇见玉女宫前辈，前辈认为你资质过人，送你一个玉女宫信物	91											
138	3069	1	【{0}】{1}在昆仑山苦寻了一年，遇见天道宗前辈，前辈认为你资质过人，送你一个天道宗信物	91											
139	3070	1	【{0}】{1}在昆仑山苦寻了一年，遇见天衍宗前辈，前辈认为你资质过人，送你一个天衍宗信物	91											
140	3071	1	【{0}】{1}在昆仑山苦寻了一年，遇见百媚宫前辈，前辈认为你资质过人，送你一个百媚宫信物	91											
