level_XBXXZ	name_XBXXZ	namegui_XBXXZ	namemo_XBXXZ	nameyao_XBXXZ	namefo_XBXXZ	nextexp_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ	attack_XBXXZ	defence_XBXXZ	maxhp_XBXXZ
24	仙体24级	鬼体24级	魔体24级	妖体24级	佛体24级	226800	80	200	4800	2400	24000
25	仙体25级	鬼体25级	魔体25级	妖体25级	佛体25级	297000	90	240	5000	2500	25000
26	仙体26级	鬼体26级	魔体26级	妖体26级	佛体26级	376200	100	280	5200	2600	26000
27	仙体27级	鬼体27级	魔体27级	妖体27级	佛体27级	464400	110	320	5400	2700	27000
28	仙体28级	鬼体28级	魔体28级	妖体28级	佛体28级	561600	120	360	5600	2800	28000
29	仙体29级	鬼体29级	魔体29级	妖体29级	佛体29级	810900	130	400	5800	2900	29000
30	仙体30级	鬼体30级	魔体30级	妖体30级	佛体30级	1096200	140	440	6000	3000	30000
31	仙体31级	鬼体31级	魔体31级	妖体31级	佛体31级	1530000	160	520	6200	3100	31000
32	仙体32级	鬼体32级	魔体32级	妖体32级	佛体32级	2035800	180	600	6400	3200	32000
33	仙体33级	鬼体33级	魔体33级	妖体33级	佛体33级	2613600	200	680	6600	3300	33000
34	仙体34级	鬼体34级	魔体34级	妖体34级	佛体34级	3263400	220	760	6800	3400	34000
35	仙体35级	鬼体35级	魔体35级	妖体35级	佛体35级	3985200	240	840	7000	3500	35000
36	仙体36级	鬼体36级	魔体36级	妖体36级	佛体36级	4779000	260	920	7200	3600	36000
37	仙体37级	鬼体37级	魔体37级	妖体37级	佛体37级	5644800	280	1000	7400	3700	37000
38	仙体38级	鬼体38级	魔体38级	妖体38级	佛体38级	6582600	300	1080	7600	3800	38000
39	仙体39级	鬼体39级	魔体39级	妖体39级	佛体39级	8125200	320	1160	7800	3900	39000
40	仙体40级	鬼体40级	魔体40级	妖体40级	佛体40级	9811800	340	1240	8000	4000	40000
41	仙体41级	鬼体41级	魔体41级	妖体41级	佛体41级	12404700	390	1400	8200	4100	41000
42	仙体42级	鬼体42级	魔体42级	妖体42级	佛体42级	15300000	440	1560	8400	4200	42000
43	仙体43级	鬼体43级	魔体43级	妖体43级	佛体43级	18497700	490	1720	8600	4300	43000
44	仙体44级	鬼体44级	魔体44级	妖体44级	佛体44级	21997800	540	1880	8800	4400	44000
45	仙体45级	鬼体45级	魔体45级	妖体45级	佛体45级	25800300	590	2040	9000	4500	45000
46	仙体46级	鬼体46级	魔体46级	妖体46级	佛体46级	29905200	640	2200	9200	4600	46000
47	仙体47级	鬼体47级	魔体47级	妖体47级	佛体47级	34312500	690	2360	9400	4700	47000
48	仙体48级	鬼体48级	魔体48级	妖体48级	佛体48级	39022200	740	2520	9600	4800	48000
49	仙体49级	鬼体49级	魔体49级	妖体49级	佛体49级	46532700	790	2680	9800	4900	49000
50	仙体50级	鬼体50级	魔体50级	妖体50级	佛体50级	54648000	840	2840	10000	5000	50000
51	仙体51级	鬼体51级	魔体51级	妖体51级	佛体51级	66789000	940	3160	10200	5100	51000
52	仙体52级	鬼体52级	魔体52级	妖体52级	佛体52级	80139600	1040	3480	10400	5200	52000
53	仙体53级	鬼体53级	魔体53级	妖体53级	佛体53级	94699800	1140	3800	10600	5300	53000
54	仙体54级	鬼体54级	魔体54级	妖体54级	佛体54级	110469600	1240	4120	10800	5400	54000
55	仙体55级	鬼体55级	魔体55级	妖体55级	佛体55级	127449000	1340	4440	11000	5500	55000
56	仙体56级	鬼体56级	魔体56级	妖体56级	佛体56级	145638000	1440	4760	11200	5600	56000
57	仙体57级	鬼体57级	魔体57级	妖体57级	佛体57级	165036600	1540	5080	11400	5700	57000
58	仙体58级	鬼体58级	魔体58级	妖体58级	佛体58级	185644800	1640	5400	11600	5800	58000
59	仙体59级	鬼体59级	魔体59级	妖体59级	佛体59级	218205000	1740	5720	11800	5900	59000
60	仙体60级	鬼体60级	魔体60级	妖体60级	佛体60级	253184400	1840	6040	12000	6000	60000
61	仙体61级	鬼体61级	魔体61级	妖体61级	佛体61级	288132300	1990	6240	12200	6100	61000
62	仙体62级	鬼体62级	魔体62级	妖体62级	佛体62级	325096200	2140	6440	12400	6200	62000
63	仙体63级	鬼体63级	魔体63级	妖体63级	佛体63级	364076100	2290	6640	12600	6300	63000
64	仙体64级	鬼体64级	魔体64级	妖体64级	佛体64级	405072000	2440	6840	12800	6400	64000
65	仙体65级	鬼体65级	魔体65级	妖体65级	佛体65级	448083900	2590	7040	13000	6500	65000
66	仙体66级	鬼体66级	魔体66级	妖体66级	佛体66级	493111800	2740	7240	13200	6600	66000
67	仙体67级	鬼体67级	魔体67级	妖体67级	佛体67级	540155700	2890	7440	13400	6700	67000
68	仙体68级	鬼体68级	魔体68级	妖体68级	佛体68级	589215600	3040	7640	13600	6800	68000
69	仙体69级	鬼体69级	魔体69级	妖体69级	佛体69级	640291500	3190	7840	13800	6900	69000
70	仙体70级	鬼体70级	魔体70级	妖体70级	佛体70级	693383400	3340	8040	14000	7000	70000
71	仙体71级	鬼体71级	魔体71级	妖体71级	佛体71级	748491300	3490	8240	14200	7100	71000
72	仙体72级	鬼体72级	魔体72级	妖体72级	佛体72级	805615200	3640	8440	14400	7200	72000
73	仙体73级	鬼体73级	魔体73级	妖体73级	佛体73级	864755100	3790	8640	14600	7300	73000
74	仙体74级	鬼体74级	魔体74级	妖体74级	佛体74级	925911000	3940	8840	14800	7400	74000
75	仙体75级	鬼体75级	魔体75级	妖体75级	佛体75级	989082900	4090	9040	15000	7500	75000
76	仙体76级	鬼体76级	魔体76级	妖体76级	佛体76级	1054270800	4240	9240	15200	7600	76000
77	仙体77级	鬼体77级	魔体77级	妖体77级	佛体77级	1121474700	4390	9440	15400	7700	77000
78	仙体78级	鬼体78级	魔体78级	妖体78级	佛体78级	1190694600	4540	9640	15600	7800	78000
79	仙体79级	鬼体79级	魔体79级	妖体79级	佛体79级	1261930500	4690	9840	15800	7900	79000
80	仙体80级	鬼体80级	魔体80级	妖体80级	佛体80级	1335182400	4840	10040	16000	8000	80000
81	仙体81级	鬼体81级	魔体81级	妖体81级	佛体81级	1410450300	4990	10240	16200	8100	81000
82	仙体82级	鬼体82级	魔体82级	妖体82级	佛体82级	1487734200	5140	10440	16400	8200	82000
83	仙体83级	鬼体83级	魔体83级	妖体83级	佛体83级	1567034100	5290	10640	16600	8300	83000
84	仙体84级	鬼体84级	魔体84级	妖体84级	佛体84级	1648350000	5440	10840	16800	8400	84000
85	仙体85级	鬼体85级	魔体85级	妖体85级	佛体85级	1731681900	5590	11040	17000	8500	85000
86	仙体86级	鬼体86级	魔体86级	妖体86级	佛体86级	1817029800	5740	11240	17200	8600	86000
87	仙体87级	鬼体87级	魔体87级	妖体87级	佛体87级	1904393700	5890	11440	17400	8700	87000
88	仙体88级	鬼体88级	魔体88级	妖体88级	佛体88级	1993773600	6040	11640	17600	8800	88000
89	仙体89级	鬼体89级	魔体89级	妖体89级	佛体89级	2085169500	6190	11840	17800	8900	89000
90	仙体90级	鬼体90级	魔体90级	妖体90级	佛体90级	2178581400	6340	12040	18000	9000	90000
91	仙体91级	鬼体91级	魔体91级	妖体91级	佛体91级	2274009300	6490	12240	18200	9100	91000
92	仙体92级	鬼体92级	魔体92级	妖体92级	佛体92级	2371453200	6640	12440	18400	9200	92000
93	仙体93级	鬼体93级	魔体93级	妖体93级	佛体93级	2470913100	6790	12640	18600	9300	93000
94	仙体94级	鬼体94级	魔体94级	妖体94级	佛体94级	2572389000	6940	12840	18800	9400	94000
95	仙体95级	鬼体95级	魔体95级	妖体95级	佛体95级	2675880900	7090	13040	19000	9500	95000
96	仙体96级	鬼体96级	魔体96级	妖体96级	佛体96级	2781388800	7240	13240	19200	9600	96000
97	仙体97级	鬼体97级	魔体97级	妖体97级	佛体97级	2888912700	7390	13440	19400	9700	97000
98	仙体98级	鬼体98级	魔体98级	妖体98级	佛体98级	2998452600	7540	13640	19600	9800	98000
99	仙体99级	鬼体99级	魔体99级	妖体99级	佛体99级	3110008500	7690	13840	19800	9900	99000
100	仙体100级	鬼体100级	魔体100级	妖体100级	佛体100级	3223580400	7840	14040	20000	10000	100000
