Level_XBXXZ	Name_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	Capacity_XBXXZ
43	43级仙兽坊	52200	41760	63000	18
44	44级仙兽坊	53100	42480	64200	18
45	45级仙兽坊	54000	43200	65400	18
46	46级仙兽坊	54900	43920	66600	19
47	47级仙兽坊	55800	44640	67800	19
48	48级仙兽坊	56700	45360	69000	19
49	49级仙兽坊	57600	46080	70200	20
50	50级仙兽坊	59400	47520	72600	20
51	51级仙兽坊	61200	48960	75000	20
52	52级仙兽坊	63000	50400	77400	21
53	53级仙兽坊	64800	51840	79800	21
54	54级仙兽坊	66600	53280	82200	21
55	55级仙兽坊	68400	54720	84600	22
56	56级仙兽坊	70200	56160	87000	22
57	57级仙兽坊	72000	57600	89400	22
58	58级仙兽坊	73800	59040	91800	23
59	59级仙兽坊	75600	60480	94200	23
60	60级仙兽坊	77400	61920	96600	23
61	61级仙兽坊	79200	63360	99000	24
62	62级仙兽坊	81000	64800	101400	24
63	63级仙兽坊	82800	66240	103800	24
64	64级仙兽坊	84600	67680	106200	25
65	65级仙兽坊	86400	69120	108600	25
66	66级仙兽坊	88200	70560	111000	25
67	67级仙兽坊	90000	72000	113400	26
68	68级仙兽坊	91800	73440	115800	26
69	69级仙兽坊	93600	74880	118200	26
70	70级仙兽坊	95400	76320	120600	27
71	71级仙兽坊	97200	77760	123000	27
72	72级仙兽坊	99000	79200	125400	27
73	73级仙兽坊	100800	80640	127800	28
74	74级仙兽坊	102600	82080	130200	28
75	75级仙兽坊	104400	83520	132600	28
76	76级仙兽坊	106200	84960	135000	29
77	77级仙兽坊	108000	86400	137400	29
78	78级仙兽坊	109800	87840	139800	29
79	79级仙兽坊	111600	89280	142200	30
80	80级仙兽坊	113400	90720	144600	30
81	81级仙兽坊	115200	92160	147000	30
82	82级仙兽坊	117000	93600	149400	31
83	83级仙兽坊	118800	95040	151800	31
84	84级仙兽坊	120600	96480	154200	31
85	85级仙兽坊	122400	97920	156600	32
86	86级仙兽坊	124200	99360	159000	32
87	87级仙兽坊	126000	100800	161400	32
88	88级仙兽坊	127800	102240	163800	33
89	89级仙兽坊	129600	103680	166200	33
90	90级仙兽坊	131400	105120	168600	33
91	91级仙兽坊	133200	106560	171000	34
92	92级仙兽坊	135000	108000	173400	34
93	93级仙兽坊	136800	109440	175800	34
94	94级仙兽坊	138600	110880	178200	35
95	95级仙兽坊	140400	112320	180600	35
96	96级仙兽坊	142200	113760	183000	35
97	97级仙兽坊	144000	115200	185400	36
98	98级仙兽坊	145800	116640	187800	36
99	99级仙兽坊	147600	118080	190200	36
100	100级仙兽坊	150300	120240	193800	37
101	101级仙兽坊	153000	122400	197400	37
102	102级仙兽坊	155700	124560	201000	37
103	103级仙兽坊	158400	126720	204600	38
104	104级仙兽坊	161100	128880	208200	38
105	105级仙兽坊	163800	131040	211800	38
106	106级仙兽坊	166500	133200	215400	39
107	107级仙兽坊	169200	135360	219000	39
108	108级仙兽坊	171900	137520	222600	39
109	109级仙兽坊	174600	139680	226200	40
110	110级仙兽坊	177300	141840	229800	40
111	111级仙兽坊	180000	144000	233400	40
112	112级仙兽坊	182700	146160	237000	41
113	113级仙兽坊	185400	148320	240600	41
114	114级仙兽坊	188100	150480	244200	41
115	115级仙兽坊	190800	152640	247800	42
116	116级仙兽坊	193500	154800	251400	42
117	117级仙兽坊	196200	156960	255000	42
118	118级仙兽坊	198900	159120	258600	43
119	119级仙兽坊	201600	161280	262200	43
120	120级仙兽坊	204300	163440	265800	43
121	121级仙兽坊	207000	165600	269400	44
122	122级仙兽坊	209700	167760	273000	44
123	123级仙兽坊	212400	169920	276600	44
124	124级仙兽坊	215100	172080	280200	45
125	125级仙兽坊	217800	174240	283800	45
126	126级仙兽坊	220500	176400	287400	45
127	127级仙兽坊	223200	178560	291000	46
128	128级仙兽坊	225900	180720	294600	46
129	129级仙兽坊	228600	182880	298200	46
130	130级仙兽坊	231300	185040	301800	47
131	131级仙兽坊	234000	187200	305400	47
132	132级仙兽坊	236700	189360	309000	47
133	133级仙兽坊	239400	191520	312600	48
134	134级仙兽坊	242100	193680	316200	48
135	135级仙兽坊	244800	195840	319800	48
136	136级仙兽坊	247500	198000	323400	49
137	137级仙兽坊	250200	200160	327000	49
138	138级仙兽坊	252900	202320	330600	49
139	139级仙兽坊	255600	204480	334200	50
140	140级仙兽坊	258300	206640	337800	50
141	141级仙兽坊	261000	208800	341400	50
142	142级仙兽坊	263700	210960	345000	51
143	143级仙兽坊	266400	213120	348600	51
144	144级仙兽坊	269100	215280	352200	51
145	145级仙兽坊	271800	217440	355800	52
146	146级仙兽坊	274500	219600	359400	52
147	147级仙兽坊	277200	221760	363000	52
148	148级仙兽坊	279900	223920	366600	53
149	149级仙兽坊	282600	226080	370200	53
150	150级仙兽坊	286200	228960	375000	53
151	151级仙兽坊	289800	231840	379800	54
152	152级仙兽坊	293400	234720	384600	54
153	153级仙兽坊	297000	237600	389400	54
154	154级仙兽坊	300600	240480	394200	55
155	155级仙兽坊	304200	243360	399000	55
156	156级仙兽坊	307800	246240	403800	55
157	157级仙兽坊	311400	249120	408600	56
158	158级仙兽坊	315000	252000	413400	56
159	159级仙兽坊	318600	254880	418200	56
160	160级仙兽坊	322200	257760	423000	57
161	161级仙兽坊	325800	260640	427800	57
162	162级仙兽坊	329400	263520	432600	57
163	163级仙兽坊	333000	266400	437400	58
164	164级仙兽坊	336600	269280	442200	58
165	165级仙兽坊	340200	272160	447000	58
166	166级仙兽坊	343800	275040	451800	59
167	167级仙兽坊	347400	277920	456600	59
168	168级仙兽坊	351000	280800	461400	59
169	169级仙兽坊	354600	283680	466200	60
170	170级仙兽坊	358200	286560	471000	60
171	171级仙兽坊	361800	289440	475800	60
172	172级仙兽坊	365400	292320	480600	61
173	173级仙兽坊	369000	295200	485400	61
174	174级仙兽坊	372600	298080	490200	61
175	175级仙兽坊	376200	300960	495000	62
176	176级仙兽坊	379800	303840	499800	62
177	177级仙兽坊	383400	306720	504600	62
178	178级仙兽坊	387000	309600	509400	63
179	179级仙兽坊	390600	312480	514200	63
180	180级仙兽坊	394200	315360	519000	63
181	181级仙兽坊	397800	318240	523800	64
182	182级仙兽坊	401400	321120	528600	64
183	183级仙兽坊	405000	324000	533400	64
184	184级仙兽坊	408600	326880	538200	65
185	185级仙兽坊	412200	329760	543000	65
186	186级仙兽坊	415800	332640	547800	65
187	187级仙兽坊	419400	335520	552600	66
188	188级仙兽坊	423000	338400	557400	66
189	189级仙兽坊	426600	341280	562200	66
190	190级仙兽坊	430200	344160	567000	67
191	191级仙兽坊	433800	347040	571800	67
192	192级仙兽坊	437400	349920	576600	67
193	193级仙兽坊	441000	352800	581400	68
194	194级仙兽坊	444600	355680	586200	68
195	195级仙兽坊	448200	358560	591000	68
196	196级仙兽坊	451800	361440	595800	69
197	197级仙兽坊	455400	364320	600600	69
198	198级仙兽坊	459000	367200	605400	69
199	199级仙兽坊	462600	370080	610200	70
200	200级仙兽坊	467100	373680	616200	70
201	201级仙兽坊	471600	377280	622200	70
202	202级仙兽坊	476100	380880	628200	71
203	203级仙兽坊	480600	384480	634200	71
204	204级仙兽坊	485100	388080	640200	71
205	205级仙兽坊	489600	391680	646200	72
206	206级仙兽坊	494100	395280	652200	72
207	207级仙兽坊	498600	398880	658200	72
208	208级仙兽坊	503100	402480	664200	73
209	209级仙兽坊	507600	406080	670200	73
210	210级仙兽坊	512100	409680	676200	73
211	211级仙兽坊	516600	413280	682200	74
212	212级仙兽坊	521100	416880	688200	74
213	213级仙兽坊	525600	420480	694200	74
214	214级仙兽坊	530100	424080	700200	75
215	215级仙兽坊	534600	427680	706200	75
216	216级仙兽坊	539100	431280	712200	75
217	217级仙兽坊	543600	434880	718200	76
218	218级仙兽坊	548100	438480	724200	76
219	219级仙兽坊	552600	442080	730200	76
220	220级仙兽坊	557100	445680	736200	77
221	221级仙兽坊	561600	449280	742200	77
222	222级仙兽坊	566100	452880	748200	77
223	223级仙兽坊	570600	456480	754200	78
224	224级仙兽坊	575100	460080	760200	78
225	225级仙兽坊	579600	463680	766200	78
226	226级仙兽坊	584100	467280	772200	79
227	227级仙兽坊	588600	470880	778200	79
228	228级仙兽坊	593100	474480	784200	79
229	229级仙兽坊	597600	478080	790200	80
230	230级仙兽坊	602100	481680	796200	80
231	231级仙兽坊	606600	485280	802200	80
232	232级仙兽坊	611100	488880	808200	81
233	233级仙兽坊	615600	492480	814200	81
234	234级仙兽坊	620100	496080	820200	81
235	235级仙兽坊	624600	499680	826200	82
236	236级仙兽坊	629100	503280	832200	82
237	237级仙兽坊	633600	506880	838200	82
238	238级仙兽坊	638100	510480	844200	83
239	239级仙兽坊	642600	514080	850200	83
240	240级仙兽坊	647100	517680	856200	83
241	241级仙兽坊	651600	521280	862200	84
242	242级仙兽坊	656100	524880	868200	84
243	243级仙兽坊	660600	528480	874200	84
244	244级仙兽坊	665100	532080	880200	85
245	245级仙兽坊	669600	535680	886200	85
246	246级仙兽坊	674100	539280	892200	85
247	247级仙兽坊	678600	542880	898200	86
248	248级仙兽坊	683100	546480	904200	86
249	249级仙兽坊	687600	550080	910200	86
250	250级仙兽坊	692100	553680	916200	87
