level_XBXXZ	name_XBXXZ	normalnum_XBXXZ	percentnum_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	percent_XBXXZ
207	太元境第七重	307	307	271	70	100
208	太元境第八重	308	308	271	70	100
209	太元境第九重	309	309	271	70	100
210	太元境第十重	310	310	271	80	100
211	远古境第一重	311	311	271	80	100
212	远古境第二重	312	312	271	80	100
213	远古境第三重	313	313	271	80	100
214	远古境第四重	314	314	271	80	100
215	远古境第五重	315	315	271	80	100
216	远古境第六重	316	316	271	80	100
217	远古境第七重	317	317	271	80	100
218	远古境第八重	318	318	271	80	100
219	远古境第九重	319	319	271	80	100
220	远古境第十重	320	320	271	90	100
221	太古境第一重	321	321	271	90	100
222	太古境第二重	322	322	271	90	100
223	太古境第三重	323	323	271	90	100
224	太古境第四重	324	324	271	90	100
225	太古境第五重	325	325	271	90	100
226	太古境第六重	326	326	271	90	100
227	太古境第七重	327	327	271	90	100
228	太古境第八重	328	328	271	90	100
229	太古境第九重	329	329	271	90	100
230	太古境第十重	330	330	271	100	100
231	盘古境第一重	331	331	271	100	100
232	盘古境第二重	332	332	271	100	100
233	盘古境第三重	333	333	271	100	100
234	盘古境第四重	334	334	271	100	100
235	盘古境第五重	335	335	271	100	100
236	盘古境第六重	336	336	271	100	100
237	盘古境第七重	337	337	271	100	100
238	盘古境第八重	338	338	271	100	100
239	盘古境第九重	339	339	271	100	100
240	盘古境第十重	340	340	271	100	100
