level_XBXXZ	name_XBXXZ	nextexp_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	pkscore_XBXXZ
85	散仙之躯5阶	22197698515	6195	132160	4130
86	散仙之躯6阶	23535638965	6330	135040	4220
87	散仙之躯7阶	24926333365	6465	137920	4310
88	散仙之躯8阶	26370789715	6600	140800	4400
89	散仙之躯9阶	27870016015	6735	143680	4490
90	散仙之躯10阶	29425020265	6885	146880	4590
91	游仙之躯1阶	31036810465	7035	168840	4690
92	游仙之躯2阶	32706394615	7185	172440	4790
93	游仙之躯3阶	34434780715	7335	176040	4890
94	游仙之躯4阶	36222976765	7485	179640	4990
95	游仙之躯5阶	38071990765	7635	183240	5090
96	游仙之躯6阶	39982830715	7785	186840	5190
97	游仙之躯7阶	41956504615	7935	190440	5290
98	游仙之躯8阶	43994020465	8085	194040	5390
99	游仙之躯9阶	46096386265	8235	197640	5490
100	游仙之躯10阶	48264610015	8385	201240	5590
101	地仙之躯1阶	50499699715	8535	227600	5690
102	地仙之躯2阶	52802663365	8685	231600	5790
103	地仙之躯3阶	55174508965	8835	235600	5890
104	地仙之躯4阶	57616244515	8985	239600	5990
105	地仙之躯5阶	60128878015	9135	243600	6090
106	地仙之躯6阶	62713417465	9285	247600	6190
107	地仙之躯7阶	65370870865	9435	251600	6290
108	地仙之躯8阶	68102246215	9585	255600	6390
109	地仙之躯9阶	70908551515	9735	259600	6490
110	地仙之躯10阶	73790794765	9885	263600	6590
111	真仙之躯1阶	76749983965	10035	267600	6690
112	真仙之躯2阶	79787127115	10185	271600	6790
113	真仙之躯3阶	82903232215	10335	275600	6890
114	真仙之躯4阶	86099307265	10485	279600	6990
115	真仙之躯5阶	89376360265	10635	283600	7090
116	真仙之躯6阶	92735399215	10785	287600	7190
117	真仙之躯7阶	96177432115	10935	291600	7290
118	真仙之躯8阶	99703466965	11085	295600	7390
119	真仙之躯9阶	103314511765	11235	299600	7490
120	真仙之躯10阶	107011574515	11385	303600	7590
121	玄仙之躯1阶	110795663215	11535	307600	7690
122	玄仙之躯2阶	114667785865	11685	311600	7790
123	玄仙之躯3阶	118628950465	11835	315600	7890
124	玄仙之躯4阶	122680165015	11985	319600	7990
125	玄仙之躯5阶	126822437515	12135	323600	8090
126	玄仙之躯6阶	131056775965	12285	327600	8190
127	玄仙之躯7阶	135384188365	12435	331600	8290
128	玄仙之躯8阶	139805682715	12585	335600	8390
129	玄仙之躯9阶	144322267015	12735	339600	8490
130	玄仙之躯10阶	148934949265	12885	343600	8590
131	天仙之躯1阶	153644737465	13035	347600	8690
132	天仙之躯2阶	158452639615	13185	351600	8790
133	天仙之躯3阶	163359663715	13335	355600	8890
134	天仙之躯4阶	168366817765	13485	359600	8990
135	天仙之躯5阶	173475109765	13635	363600	9090
136	天仙之躯6阶	178685547715	13785	367600	9190
137	天仙之躯7阶	183999139615	13935	371600	9290
138	天仙之躯8阶	189416893465	14085	375600	9390
139	天仙之躯9阶	194939817265	14235	379600	9490
140	天仙之躯10阶	200568919015	14385	383600	9590
141	金仙之躯1阶	206305206715	14535	387600	9690
142	金仙之躯2阶	212149688365	14685	391600	9790
143	金仙之躯3阶	218103371965	14835	395600	9890
144	金仙之躯4阶	224167265515	14985	399600	9990
145	金仙之躯5阶	230342377015	15135	403600	10090
146	金仙之躯6阶	236629714465	15285	407600	10190
147	金仙之躯7阶	243030285865	15435	411600	10290
148	金仙之躯8阶	249545099215	15585	415600	10390
149	金仙之躯9阶	256175162515	15735	419600	10490
150	金仙之躯10阶	262921483765	15885	423600	10590
151	大罗之躯1阶	269785070965	16035	427600	10690
152	大罗之躯2阶	269785070965	16185	431600	10790
153	大罗之躯3阶	269785070965	16335	435600	10890
154	大罗之躯4阶	269785070965	16485	439600	10990
155	大罗之躯5阶	269785070965	16635	443600	11090
156	大罗之躯6阶	269785070965	16785	447600	11190
157	大罗之躯7阶	269785070965	16935	451600	11290
158	大罗之躯8阶	269785070965	17085	455600	11390
159	大罗之躯9阶	269785070965	17235	459600	11490
160	大罗之躯10阶	269785070965	17385	463600	11590
