dan_XBXXZ	name_XBXXZ	quality_XBXXZ	itemid_XBXXZ	minnum_XBXXZ	maxnum_XBXXZ	needitemid1_XBXXZ	needitemnum1_XBXXZ	needitemid2_XBXXZ	needitemnum2_XBXXZ	needitemid3_XBXXZ	needitemnum3_XBXXZ	exp_XBXXZ
135	四品灵动仙丹	13	5031	1	2	107	200	71	999	74	999	10
136	四品血煞仙丹	13	5032	1	2	107	200	71	999			10
137	四品雷元仙丹	13	5033	1	2	107	200	71	999			10
138	四品风行仙丹	13	5034	1	2	107	200	71	999			10
139	四品天罡仙丹	13	5035	1	2	107	200	71	999			10
140	四品镇妖仙丹	13	5036	1	2	107	200	71	999			10
141	五品洗髓仙丹	14	5037	1	2	107	400	73	999	75	999	11
142	五品浑天仙丹	14	5038	1	2	107	400	73	999	75	999	11
143	五品体魄仙丹	14	5039	1	2	107	400	73	999	75	999	11
144	五品灵动仙丹	14	5040	1	2	107	400	73	999	75	999	11
145	五品血煞仙丹	14	5041	1	2	107	400	73	999			11
146	五品雷元仙丹	14	5042	1	2	107	400	73	999			11
147	五品风行仙丹	14	5043	1	2	107	400	73	999			11
148	五品天罡仙丹	14	5044	1	2	107	400	73	999			11
149	五品镇妖仙丹	14	5045	1	2	107	400	73	999			11
150	六品洗髓仙丹	15	5046	1	2	107	600	74	999	76	999	12
151	六品浑天仙丹	15	5047	1	2	107	600	74	999	76	999	12
152	六品体魄仙丹	15	5048	1	2	107	600	74	999	76	999	12
153	六品灵动仙丹	15	5049	1	2	107	600	74	999	76	999	12
154	六品血煞仙丹	15	5050	1	2	107	600	74	999			12
155	六品雷元仙丹	15	5051	1	2	107	600	74	999			12
156	六品风行仙丹	15	5052	1	2	107	600	74	999			12
157	六品天罡仙丹	15	5053	1	2	107	600	74	999			12
158	六品镇妖仙丹	15	5054	1	2	107	600	74	999			12
159	七品洗髓仙丹	16	5055	1	2	108	200	71	999	74	999	13
160	七品浑天仙丹	16	5056	1	2	108	200	71	999	74	999	13
161	七品体魄仙丹	16	5057	1	2	108	200	71	999	74	999	13
162	七品灵动仙丹	16	5058	1	2	108	200	71	999	74	999	13
163	七品血煞仙丹	16	5059	1	2	108	200	71	999			13
164	七品雷元仙丹	16	5060	1	2	108	200	71	999			13
165	七品风行仙丹	16	5061	1	2	108	200	71	999			13
166	七品天罡仙丹	16	5062	1	2	108	200	71	999			13
167	七品镇妖仙丹	16	5063	1	2	108	200	71	999			13
168	八品洗髓仙丹	17	5064	1	2	108	400	73	999	75	999	14
169	八品浑天仙丹	17	5065	1	2	108	400	73	999	75	999	14
170	八品体魄仙丹	17	5066	1	2	108	400	73	999	75	999	14
171	八品灵动仙丹	17	5067	1	2	108	400	73	999	75	999	14
172	八品血煞仙丹	17	5068	1	2	108	400	73	999			14
173	八品雷元仙丹	17	5069	1	2	108	400	73	999			14
174	八品风行仙丹	17	5070	1	2	108	400	73	999			14
175	八品天罡仙丹	17	5071	1	2	108	400	73	999			14
176	八品镇妖仙丹	17	5072	1	2	108	400	73	999			14
177	九品洗髓仙丹	18	5073	1	2	108	600	74	999	76	999	15
178	九品浑天仙丹	18	5074	1	2	108	600	74	999	76	999	15
179	九品体魄仙丹	18	5075	1	2	108	600	74	999	76	999	15
180	九品灵动仙丹	18	5076	1	2	108	600	74	999	76	999	15
181	九品血煞仙丹	18	5077	1	2	108	600	74	999			15
182	九品雷元仙丹	18	5078	1	2	108	600	74	999			15
183	九品风行仙丹	18	5079	1	2	108	600	74	999			15
184	九品天罡仙丹	18	5080	1	2	108	600	74	999			15
185	九品镇妖仙丹	18	5081	1	2	108	600	74	999			15
