id_XBXXZ	name_XBXXZ	quality_XBXXZ	type_XBXXZ	minlevel_XBXXZ	maxlevel_XBXXZ	addreputation_XBXXZ	addright_XBXXZ	addevil_XBXXZ	addmiddle_XBXXZ	getstone_XBXXZ	needreputation_XBXXZ	quitreputation_XBXXZ	desc_XBXXZ	magics_XBXXZ	SkillBook_XBXXZ	NeedContribute_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	QiMen_XBXXZ	tasks_XBXXZ
11	龙虎派	1	正派	1	30	6	6	0	0	100	100	100	与茅山派一样善于使用符咒之术，在世俗界很有威望，但在修道界确是小门小派	134,10;222,1;310,10;398,10;486,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
12	斗狂门	1	邪派	1	30	6	0	6	0	100	100	100	以鲜血为引激发自身狂化的邪恶门派，为正道所不齿	135,10;223,1;311,10;399,10;487,10;	2568	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
13	巨灵院	2	中立	11	40	8	0	0	8	200	200	200	巨灵院，派中高手林立，战斗力卓绝。	136,10;224,1;312,10;400,10;488,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
14	聚魔庄	2	邪派	11	40	8	0	8	0	200	200	200	修道界比较出名的魔道教派，势力非同一般	137,10;225,1;313,10;401,10;489,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
15	衔月楼	2	中立	11	40	8	0	0	8	200	200	200	新兴的修道门派，采集月辉作为自身灵力，派中多为女弟子	138,10;226,1;314,10;402,10;490,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
16	魁星山	2	正派	11	40	8	8	0	0	200	200	200	辅星辉之力进行修行的正道门派，门人弟子众多，各个气质不凡	139,10;227,1;315,10;403,10;491,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
17	照阳山	2	正派	11	40	8	8	0	0	200	200	200	有些威望的名门正派，以除魔卫道为己任，正邪之战的先锋门派	140,10;228,1;316,10;404,10;492,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
18	南紫府	2	中立	11	40	8	0	0	8	200	200	200	北海仙岛南紫山上的仙府，极为神秘，即便是修道界都鲜少有人看到他们的门人弟子	141,10;229,1;317,10;405,10;493,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
19	天海阁	2	正派	11	40	8	8	0	0	200	200	200	南海仙岛天海山上的第一大派，在海外修炼界颇有名气，门人弟子众多	142,10;230,1;318,10;406,10;494,10;	2566	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
20	神农门	2	中立	11	40	8	0	0	8	200	200	200	相传是神农后裔所创建的修道门派，在修道界与凡尘俗世都有不错的声望	143,10;231,1;319,10;407,10;495,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
21	血煞门	2	邪派	11	40	8	0	8	0	200	200	200	吸食血液作为修炼根本的邪恶门派，派中多是嗜血魔头，与正道拼斗多年，实力不弱	144,10;232,1;320,10;408,10;496,10;	0	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
22	仙侣门	2	中立	11	40	8	0	0	8	200	200	200	以双修功法名动修道界的门派，派中全是一心向道的神仙眷侣，让人羡慕	145,10;233,1;321,10;409,10;497,10;	2567	400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
23	天华门	3	正派	21	55	11	11	0	0	300	400	400	以驱除妖魔邪道为己任的南方大派，在修道界颇有威望	146,10;234,1;322,10;410,10;498,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
24	九黎门	3	中立	21	55	11	0	0	11	300	400	400	化外九黎仙山上的门派，历来神秘无比，不参与正邪之争，但每有危及苍生祸事，门人弟子必然出手	147,10;235,1;323,10;411,10;499,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
25	月音门	3	邪派	21	55	11	0	11	0	300	400	400	善使音律与魅惑之术的门派，弟子男俊女俏，气质不俗，但却是出了名的魔门邪派	148,10;236,1;324,10;412,10;500,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
26	归一门	3	正派	21	55	11	11	0	0	300	400	400	讲究万道归一，正道大派，在修道界备受推崇	149,10;237,1;325,10;413,10;501,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
27	五行门	3	正派	21	55	11	11	0	0	300	400	400	修习五行术法的门派，门人弟子遍布修道界	150,10;238,1;326,10;414,10;502,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
28	潜龙门	3	中立	21	55	11	0	0	11	300	400	400	潜心修道的门派，若无苍生之祸极少出世，潜龙在渊，不飞则已，一飞冲天！	151,10;239,1;327,10;415,10;503,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
29	神意门	3	正派	21	55	11	11	0	0	300	400	400	一个非常古老的修道门派，门人弟子法力高强，除了一心向道，也非常热衷于陈善除恶，与魔门邪道常年争斗不休	152,10;240,1;328,10;416,10;504,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
30	寒毒门	3	邪派	21	55	11	0	11	0	300	400	400	隐藏在千年雪山之巅的门派，功法极其阴寒，随着修为愈深寒毒越深，导致门下弟子多是阴毒之辈，在修道界恶名在外	153,10;241,1;329,10;417,10;505,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
31	青羽门	3	正派	21	55	11	11	0	0	300	400	400	传承久远的修道门派，派中高手林立，执一方牛耳	154,10;242,1;330,10;418,10;506,10;	2569	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
32	古月门	3	正派	21	55	11	11	0	0	300	400	400	古月楼以音律入道，门人弟子能歌善舞，气质不凡，尤其对音波法门最是擅长，让人防不胜防	155,10;243,1;331,10;419,10;507,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
33	斩棘门	3	邪派	21	55	11	0	11	0	300	400	400	骸骨成林，斩棘门是黑山老魔收纳数千魔道邪人建立的邪道大派，以狠辣的出手和无情的行事作风令人闻风丧胆	156,10;244,1;332,10;420,10;508,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
34	菩提门	3	正派	21	55	11	11	0	0	300	400	400	菩提门弟子慎守菩提祖师“养本固元，清静无为”的教导，见性明心，调和阴阳，所以他们对符法有着异乎常人的理解能力，尤善请神降圣，驱妖伏魔	157,10;245,1;333,10;421,10;509,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
35	风清门	3	正派	21	55	11	11	0	0	300	400	400	“道心如清风，一拂了无痕”清风门门人弟子不多，但每一代弟子必是修道界不可忽视的修道高手，以清心寡欲一心向道名动修真界	158,10;246,1;334,10;422,10;510,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
36	无极门	3	正派	21	55	11	11	0	0	300	400	400	无极宗的下属门派，以无极混元功名动修真界，一身傲骨，正气凛然，以护持苍生为己任	159,10;247,1;335,10;423,10;511,10;	0	900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
37	天音寺	4	中立	31	70	14	0	0	14	400	800	800	禅境通幽，古刹千年。天音寺遵奉佛门“遍施法泽，渡化众生”，虽与世无争，但一旦魔门邪道作乱，必出世以抗之，千年古刹屹立修真界不倒，实力可见一斑	160,10;248,1;336,10;424,10;512,10;	2570	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
38	灵门寺	4	中立	31	70	14	0	0	14	400	800	800	对于佛门妙理颇有研究的佛门大派，善于佛法渡化，寺中功法大日如来名动修真界	161,10;249,1;337,10;425,10;513,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
39	法华寺	4	正派	31	70	14	14	0	0	400	800	800	享誉千年的修道古刹，号称佛门南方圣地，弟子佛法精湛，妙理连珠，为正道所推崇	162,10;250,1;338,10;426,10;514,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016
40	金顶寺	4	中立	31	70	14	0	0	14	400	800	800	“金顶之下有大魔，以寺压之”这便是金顶寺的由来，金顶寺便屹立金顶千年不倒，寺中弟子极少出寺，毕生所修只为巩固金顶伏魔阵	163,10;251,1;339,10;427,10;515,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
41	独尊宫	4	邪派	31	70	14	0	14	0	400	800	800	诸天大魔，为我独尊！独尊宫由千年前血魔老祖所创，后因在正魔之战中血魔被各派掌门围攻致转生，自此衰败，但宫中魔道高手众多，依然不可小觑	164,10;252,1;340,10;428,10;516,10;	0	1600	0	4	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
42	九煞殿	4	邪派	31	70	14	0	14	0	400	800	800	九煞殿一脉结合了佛门不动明王心法中的金刚煞气与魔门邪煞的长处，功法中不仅有伏魔煞气还有魔道邪煞，一正一邪，让敌手苦不堪言，难以匹敌。	165,10;253,1;341,10;429,10;517,10;	2571	1600	0	4	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
43	伏龙寺	4	正派	31	70	14	14	0	0	400	800	800	主修肉身之力的佛门支脉，修至大成境界，可铸就金刚不坏之体，百邪不侵，水火不济	166,10;254,1;342,10;430,10;518,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016
44	玄音阁	4	中立	31	70	14	0	0	14	400	800	800	玄音阁以音律入道，从不过问正魔之争，实力强大，属于正魔两道都想拉入己方正营的中立门派，在修真界如鱼得水	167,10;255,1;343,10;431,10;519,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
45	落日谷	4	邪派	31	70	14	0	14	0	400	800	800	日落之地，邪气凛然！日落谷本是邪祟盘踞之地，后被魔道高人降服整合为魔道一个十分恐怖的门派	168,10;256,1;344,10;432,10;520,10;	0	1600	0	4	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
46	生死门	4	邪派	31	70	14	0	14	0	400	800	800	生死门有一法宝，可照人生死，邪异无比，在修真界凶名在外	169,10;257,1;345,10;433,10;521,10;	0	1600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
47	隐神谷	4	中立	31	70	14	0	0	14	400	800	800	一群喜欢隐修的修道人士组建的门派，门派洞府藏身与十万大山之中不可见，但修真界却无人敢小觑他们	170,10;258,1;346,10;434,10;522,10;	2572	1600	4	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
48	合欢派	5	邪派	51	90	18	0	18	0	500	1600	1600	善于魅惑之术的修道门派，门人弟子全是魅惑众生的女子，修习双修之术，专门吸食男子的灵力	171,10;259,1;347,10;435,10;523,10;	2573	2500	0	5	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
49	碧云轩	5	中立	51	90	18	0	0	18	500	1600	1600	以剑入道的修道门派，十分强大！门下剑修在修界都有着剑痴之名，嗜剑如命，爱剑成痴！	172,10;260,1;348,10;436,10;524,10;	2574	2500	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
50	焚香谷	5	邪派	51	90	18	0	18	0	500	1600	1600	信奉南疆火云邪神的诡异门派，所修术法与中土正统迥异，但却更加为正道人士所忌惮	173,10;261,1;349,10;437,10;525,10;	2874	2500	0	5	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016
51	灵寂洞	5	中立	51	90	18	0	0	18	500	1600	1600	海外修道门派，以寻仙问道为修行目的，非常强大，但却不喜争斗，秉承中立原则，不危急苍生天下不会出世	174,10;262,1;350,10;438,10;526,10;	0	2500	0	5	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
52	无心阁	5	中立	51	90	18	0	0	18	500	1600	1600	海外修道门派，所谓无心，当祛除七情六欲，只求道心通明，门中弟子分外强大，但却不参与正邪之战的中立门派	175,10;263,1;351,10;439,10;527,10;	0	2500	0	5	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
53	无为道	5	中立	51	90	18	0	0	18	500	1600	1600	“圣人处无为之事,行不言之教”.无为而治是道家基本的政治主张，该派以此为立派之根本，可见其气魄不凡	176,10;264,1;352,10;440,10;528,10;	0	2500	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016
54	上清道	5	正派	51	90	18	18	0	0	500	1600	1600	以道教三清之一上清为名的道门正统，自古长存，在修道界很有威望	177,10;265,1;353,10;441,10;529,10;	0	2500	5	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016
55	天师道	5	正派	51	90	18	18	0	0	500	1600	1600	与上清道并列的道门宗派，自古长存，在修道界很有威望	178,10;266,1;354,10;442,10;530,10;	2575	2500	0	5	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016
56	恶魔谷	6	邪派	71	110	22	0	22	0	600	20000	20000	被称为万魔之乡，相传在太古神魔之战中的万魔埋骨地之一，魔气滔天，在修道界凶名在外	179,10;267,1;355,10;443,10;531,10;	2576	3600	0	6	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
57	死亡谷	6	邪派	71	110	22	0	22	0	600	20000	20000	另一处太古时代的埋骨地，生人勿进，入之必死，与恶魔谷同气连枝	180,10;268,1;356,10;444,10;532,10;	0	3600	6	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
58	凌云殿	6	正派	71	110	22	22	0	0	600	20000	20000	生有凌云志，当为绝世人！凌云殿是上古人皇黄帝所属八大神将所创，门人弟子以拱卫人间为己任，与魔门天生死敌	181,10;269,1;357,10;445,10;533,10;	0	3600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
59	云霄阁	6	正派	71	110	22	22	0	0	600	20000	20000	名动修真界的剑修门派，门人弟子都是剑修，攻击力非常强大	182,10;270,1;358,10;446,10;534,10;	2577	3600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
60	华音阁	6	正派	71	110	22	22	0	0	600	20000	20000	以音律入道的修真大派，杀伤强大，防不胜防，一直是魔门忌惮的势力	183,10;271,1;359,10;447,10;535,10;	0	3600	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
61	天魔教	6	邪派	71	110	22	0	22	0	600	20000	20000	由上古天魔所创势力，天魔陨落之后，实力虽然有所不济，但在魔门中依然威望甚高	184,10;272,1;360,10;448,10;536,10;	0	3600	0	6	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
62	玄灵教	7	正派	91	130	26	26	0	0	700	50000	50000	善于降服妖兽魔兽为之战斗的门派，虽然门人弟子不多，但门中的恐怖妖兽却数不胜数	185,10;273,1;361,10;449,10;537,10;	0	4900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
63	浩天府	7	正派	91	130	26	26	0	0	700	50000	50000	浩天府是以学院性质存在的修道势力，弟子遍布修道界，当今修道界，大部分实力强横的散修皆出自浩天府，总体实力绝对不可小觑	186,10;274,1;362,10;450,10;538,10;	2578	4900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
64	紫门谷	7	正派	91	130	26	26	0	0	700	50000	50000	以炼器名动修道界，善于锻造各种法器，当今修道界的十大神器，尤其锻造出的修道名器数不胜数，是不可忽视的一股力量	187,10;275,1;363,10;451,10;539,10;	0	4900	0	0	2	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
65	碧凌谷	7	中立	91	130	26	0	0	26	700	50000	50000	避世海外的一方大派，不参与正魔之争，却因自身实力强大，遭正魔两方排挤，不得不避居海外，不可小觑	188,10;276,1;364,10;452,10;540,10;	2579	4900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
66	魔泯宫	7	邪派	91	130	26	0	26	0	700	50000	50000	相传是上古大魔沉眠之地，传承久远，历经万载却为衰落，在魔门中威望甚高，为正道所忌惮	189,10;277,1;365,10;453,10;541,10;	2580	4900	0	0	2	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
67	碧宵宫	7	正派	91	130	26	26	0	0	700	50000	50000	绝世强大的古老门派，每一届的碧霄宫圣女都是正魔两道追捧的美人，犹如仙子下凡，绝美无比	190,10;278,1;366,10;454,10;542,10;	0	4900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
68	玉女宫	7	正派	91	130	26	26	0	0	700	50000	50000	玉女宫只收根骨极佳的女弟子，且终身不得婚嫁，门人弟子个个如仙子下凡，冰清玉洁，让其他门派的弟子看着心痒却不可得	191,10;279,1;367,10;455,10;543,10;	0	4900	7	7	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
69	天道宗	7	正派	91	130	26	26	0	0	700	50000	50000	以追求天道为目的的正道大派，功法中正平和，门人个个正气凛然，是魔门邪法的克星	192,10;280,1;368,10;456,10;544,10;	0	4900	0	7	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
70	天衍宗	7	正派	91	130	26	26	0	0	700	50000	50000	天衍宗自身实力强横不说，还尤其善于推演之法，大衍之数五十，算其四十有九，让各方势力都非常忌惮	193,10;281,1;369,10;457,10;545,10;	0	4900	7	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
71	百媚宫	7	邪派	91	130	26	0	26	0	700	50000	50000	善于双修功法的情欲门派，门人弟子多为女子，妖媚无比，因所修功法差别，与玉女宫是天生的死敌	194,10;282,1;370,10;458,10;546,10;	0	4900	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
72	天鉴宗	8	正派	101	160	32	32	0	0	800	100000	100000	功法得知上古神物天鉴令，强大无匹，而其自上古传承下来的天鉴令，更是当今修真界十大神器之一	195,10;283,1;371,10;459,10;547,10;	0	6400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
73	青云门	8	正派	101	160	32	32	0	0	800	100000	100000	青云门不但自身实力强横，修炼之术更是出名，是正道之中不可或缺的一方势力	196,10;284,1;372,10;460,10;548,10;	2886	6400	0	0	4	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
74	飘渺宗	8	正派	101	160	32	32	0	0	800	100000	100000	缥缈宗以身法名动修真界，身法飘逸诡秘，比之同阶剑修不遑多让，且更加灵动	197,10;285,1;373,10;461,10;549,10;	0	6400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
75	宵水宗	8	邪派	101	160	32	0	32	0	800	100000	100000	弱水三千，滴滴剧毒，而宵水宗却以若水为引，练就一身毒功，杀人于无形之中	198,10;286,1;374,10;462,10;550,10;	0	6400	0	8	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
76	赤血宗	8	邪派	101	160	32	0	32	0	800	100000	100000	以血修道的邪恶门派，为了修行不惜吸食修道者与凡人的鲜血，手段极为残忍，为正道所不齿	199,10;287,1;375,10;463,10;551,10;	0	6400	0	0	3	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
77	嗜魔宗	8	邪派	101	160	32	0	32	0	800	100000	100000	魔门大派，门人弟子嗜杀成性，手段残忍之极，胆小者但闻其名，都是心胆俱裂	200,10;288,1;376,10;464,10;552,10;	0	6400	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
78	鬼王宗	8	邪派	131	160	32	0	32	0	800	100000	100000	修真界鬼道第一大派，炼尸锻魂，手段极为残忍，当世鬼王曾为练就四灵血阵，屠戮百座凡人城池，早已被正道人士视为必灭的门派	201,10;289,1;377,10;465,10;553,10;	811	6400	0	0	4	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
79	紫霄宗	8	正派	101	160	32	32	0	0	800	100000	100000	正道老牌大派，在与魔门争斗中出力不小，在修道界威望非常高	202,10;290,1;378,10;466,10;554,10;	0	6400	8	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
80	无极宗	8	正派	101	160	32	32	0	0	800	100000	100000	亘古长存的门派，以无极混元天功名动修真界，门人弟子都是嫉恶如仇，且不惧杀伐，在正魔之战中战功赫赫	203,10;291,1;379,10;467,10;555,10;	2582	6400	0	0	3	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
81	魔神宗	9	邪派	151	180	34	0	34	0	900	500000	500000	号称魔道第一大势力，常年与正道争斗不休，宗内魔功深厚的魔头数不胜数，单轮个体实力，乃是修道界最强的存在。	204,10;292,1;380,10;468,10;556,10;	812	8100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
82	万佛宗	9	中立	141	180	34	0	0	34	900	500000	500000	佛门祖庭，宗内万佛并列，佛光普照，被修真界称为小西天，佛法无边，就是魔神宗都要对他们礼让三分	205,10;293,1;381,10;469,10;557,10;	0	8100	0	9	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
83	五灵宗	9	中立	101	180	34	0	0	34	900	500000	500000	主修五行灵力的中立门派，虽不参与正魔之争，但也无人敢小觑，实力强横无比	206,10;294,1;382,10;470,10;558,10;	0	8100	9	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
84	玄天宗	9	正派	101	180	34	34	0	0	900	500000	500000	能与蜀山并列的正道大统，宗内收藏有各种正道功法，玄天宗的弟子眼界极高，尤其以阵法让魔门忌惮不已	207,10;295,1;383,10;471,10;559,10;	2586	8100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
85	神兽宗	9	正派	101	180	34	34	0	0	900	500000	500000	善于召唤神兽作战的门派，据说其宗主，可召唤出四灵神兽配合战斗，一直是正道对抗魔门的主力门派之一	208,10;296,1;384,10;472,10;560,10;	810	8100	9	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023
