level_XBXXZ	name_XBXXZ	neednum_XBXXZ	spiritstone_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ
73	千山之力3阶	8475	84750	4840	10040
74	千山之力4阶	8725	87250	4990	10240
75	千山之力5阶	8975	89750	5140	10440
76	千山之力6阶	9225	92250	5290	10640
77	千山之力7阶	9475	94750	5440	10840
78	千山之力8阶	9725	97250	5590	11040
79	千山之力9阶	10025	100250	5740	11240
80	千山之力10阶	10325	103250	5890	11440
81	大乘之躯1阶	10625	106250	6040	11640
82	大乘之躯2阶	10925	109250	6190	11840
83	大乘之躯3阶	11225	112250	6340	12040
84	大乘之躯4阶	11525	115250	6490	12240
85	大乘之躯5阶	11825	118250	6640	12440
86	大乘之躯6阶	12125	121250	6790	12640
87	大乘之躯7阶	12425	124250	6940	12840
88	大乘之躯8阶	12725	127250	7090	13040
89	大乘之躯9阶	13075	130750	7240	13240
90	大乘之躯10阶	13425	134250	7390	13440
91	渡劫之躯1阶	13775	137750	7540	13640
92	渡劫之躯2阶	14125	141250	7690	13840
93	渡劫之躯3阶	14475	144750	7840	14040
94	渡劫之躯4阶	14825	148250	7990	14240
95	渡劫之躯5阶	15175	151750	8140	14440
96	渡劫之躯6阶	15525	155250	8290	14640
97	渡劫之躯7阶	15875	158750	8440	14840
98	渡劫之躯8阶	16225	162250	8590	15040
99	渡劫之躯9阶	16625	166250	8740	15240
100	渡劫之躯10阶	17025	170250	8890	15440
101	散仙之躯1阶	17425	174250	9040	15640
102	散仙之躯2阶	17825	178250	9190	15840
103	散仙之躯3阶	18225	182250	9340	16040
104	散仙之躯4阶	18625	186250	9490	16240
105	散仙之躯5阶	19025	190250	9640	16440
106	散仙之躯6阶	19425	194250	9790	16640
107	散仙之躯7阶	19825	198250	9940	16840
108	散仙之躯8阶	20225	202250	10090	17040
109	散仙之躯9阶	20725	207250	10240	17240
110	散仙之躯10阶	21225	212250	10390	17440
111	游仙之躯1阶	21725	217250	10540	17640
112	游仙之躯2阶	22225	222250	10690	17840
113	游仙之躯3阶	22725	227250	10840	18040
114	游仙之躯4阶	23225	232250	10990	18240
115	游仙之躯5阶	23725	237250	11140	18440
116	游仙之躯6阶	24225	242250	11290	18640
117	游仙之躯7阶	24725	247250	11440	18840
118	游仙之躯8阶	25225	252250	11590	19040
119	游仙之躯9阶	25825	258250	11740	19240
120	游仙之躯10阶	26425	264250	11890	19440
121	地仙之躯1阶	27025	270250	12040	19640
122	地仙之躯2阶	27625	276250	12190	19840
123	地仙之躯3阶	28225	282250	12340	20040
124	地仙之躯4阶	28825	288250	12490	20240
125	地仙之躯5阶	29425	294250	12640	20440
126	地仙之躯6阶	30025	300250	12790	20640
127	地仙之躯7阶	30625	306250	12940	20840
128	地仙之躯8阶	31225	312250	13090	21040
129	地仙之躯9阶	31925	319250	13240	21240
130	地仙之躯10阶	32625	326250	13390	21440
131	真仙之躯1阶	33325	333250	13540	21640
132	真仙之躯2阶	34025	340250	13690	21840
133	真仙之躯3阶	34725	347250	13840	22040
134	真仙之躯4阶	35425	354250	13990	22240
135	真仙之躯5阶	36125	361250	14140	22440
136	真仙之躯6阶	36825	368250	14290	22640
137	真仙之躯7阶	37525	375250	14440	22840
138	真仙之躯8阶	38225	382250	14590	23040
139	真仙之躯9阶	39025	390250	14740	23240
140	真仙之躯10阶	39825	398250	14890	23440
141	玄仙之躯1阶	40625	406250	15040	23640
142	玄仙之躯2阶	41425	414250	15190	23840
143	玄仙之躯3阶	42225	422250	15340	24040
144	玄仙之躯4阶	43025	430250	15490	24240
145	玄仙之躯5阶	43825	438250	15640	24440
146	玄仙之躯6阶	44625	446250	15790	24640
147	玄仙之躯7阶	45425	454250	15940	24840
148	玄仙之躯8阶	46225	462250	16090	25040
149	玄仙之躯9阶	47025	470250	16240	25240
150	玄仙之躯10阶	47825	478250	16390	25440
151	天仙之躯1阶	48625	486250	16540	25640
152	天仙之躯2阶	49425	494250	16690	25840
153	天仙之躯3阶	50225	502250	16840	26040
154	天仙之躯4阶	51025	510250	16990	26240
155	天仙之躯5阶	51825	518250	17140	26440
156	天仙之躯6阶	52625	526250	17290	26640
157	天仙之躯7阶	53425	534250	17440	26840
158	天仙之躯8阶	54225	542250	17590	27040
159	天仙之躯9阶	55025	550250	17740	27240
160	天仙之躯10阶	55025	550250	17890	27440
