dan_XBXXZ	name_XBXXZ	quality_XBXXZ	itemid_XBXXZ	minnum_XBXXZ	maxnum_XBXXZ	needitemid1_XBXXZ	needitemnum1_XBXXZ	needitemid2_XBXXZ	needitemnum2_XBXXZ	needitemid3_XBXXZ	needitemnum3_XBXXZ	exp_XBXXZ
62	五品炼器炉	5	94	1	1	99	100	100	100	69	100	5
63	六品炼器炉	6	95	1	1	99	200	100	200	69	200	6
64	七品炼器炉	7	96	1	1	99	400	100	400	69	400	7
65	八品炼器炉	8	97	1	1	99	800	100	800	69	800	8
66	九品炼器炉	9	98	1	1	99	1600	100	1600	69	1600	9
67	[玄武]青玉仙袍	10	4074	1	1	1504	1	4057	1	68	999	9
68	[玄武]摄魂仙袍	11	4075	1	1	1505	1	4074	1	68	1998	9
69	[玄武]白羽仙袍	12	4076	1	1	1506	1	4075	1	104	999	9
70	[玄武]凤血魔袍	13	4077	1	1	1507	1	4076	1	104	1998	9
71	[玄武]血夜鬼王袍	14	4078	1	1	1508	1	4077	1	99	999	9
72	[玄武]幽冥袍	15	4079	1	1	1509	1	4078	1	99	1998	9
73	[玄武]冥夜袍	16	4080	1	1	1510	1	4079	1	100	999	9
74	[玄武]太乙仙袍	17	4081	1	1	1511	1	4080	1	100	1998	9
75	[长生]青玉仙袍	10	4082	1	1	1504	1	4057	1	101	999	9
76	[长生]摄魂仙袍	11	4083	1	1	1505	1	4082	1	101	1998	9
77	[长生]白羽仙袍	12	4084	1	1	1506	1	4083	1	102	999	9
78	[长生]凤血魔袍	13	4085	1	1	1507	1	4084	1	102	1998	9
79	[长生]血夜鬼王袍	14	4086	1	1	1508	1	4085	1	103	999	9
80	[长生]幽冥袍	15	4087	1	1	1509	1	4086	1	103	1998	9
81	[长生]冥夜袍	16	4088	1	1	1510	1	4087	1	103	2997	9
82	[长生]太乙仙袍	17	4089	1	1	1511	1	4088	1	103	3996	9
83	一品须弥仙石	10	510	1	1	100	480	104	200			10
84	二品须弥仙石	11	511	1	1	100	720	104	200			11
85	三品须弥仙石	12	512	1	1	100	960	104	200			12
86	四品须弥仙石	13	513	1	1	101	480	104	200	103	100	13
87	五品须弥仙石	14	514	1	1	101	720	104	200	103	100	14
88	六品须弥仙石	15	515	1	1	101	960	104	200	103	100	15
89	七品须弥仙石	16	516	1	1	102	480	104	200	103	100	16
90	八品须弥仙石	17	517	1	1	102	720	104	200	103	100	17
91	九品须弥仙石	18	518	1	1	102	960	104	200	103	100	18
