index_XBXXZ	careerlevel_XBXXZ	careertype_XBXXZ	sex_XBXXZ	careername_XBXXZ	spirittype_XBXXZ	spiritlevel_XBXXZ	appearance_XBXXZ	productions_XBXXZ
16	16	3	2	炼器	1	152	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
17	17	3	2	炼器	1	162	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
18	18	3	2	炼器	1	182	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
19	1	4	2	采药	2	2	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:200-250:10000:1;186:1-1:100:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;
20	2	4	2	采药	2	12	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:250-300:10000:1;186:1-1:100:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;
21	3	4	2	采药	2	22	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:300-350:10000:1;186:1-1:100:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;
22	4	4	2	采药	2	32	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:350-400:10000:1;186:1-1:100:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;
23	5	4	2	采药	2	42	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:400-450:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
24	6	4	2	采药	2	52	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
25	7	4	2	采药	2	62	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
26	8	4	2	采药	2	72	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
27	9	4	2	采药	2	82	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
28	10	4	2	采药	2	92	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;
29	11	4	2	采药	2	102	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
30	12	4	2	采药	2	112	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
31	13	4	2	采药	2	122	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
32	14	4	2	采药	2	132	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
33	15	4	2	采药	2	142	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
34	16	4	2	采药	2	152	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
35	17	4	2	采药	2	162	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
36	18	4	2	采药	2	182	0	72:1-5:10000:1;73:1-5:10000:1;109:1-1:10000:1;61:450-500:10000:1;187:1-1:100:1;188:1-1:200:1;189:1-1:100:1;190:1-1:10:1;191:1-1:10:1;
37	1	6	1	侍女	3	2	3	185:80-100:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
38	2	6	1	侍女	3	12	3	185:100-120:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
39	3	6	1	侍女	3	22	3	185:120-150:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
40	4	6	1	侍女	3	32	3	185:150-200:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
41	5	6	1	侍女	3	42	3	185:200-250:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
42	6	6	1	侍女	3	52	3	185:250-300:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
43	7	6	1	侍女	3	62	3	185:350-400:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
44	8	6	1	侍女	3	72	3	185:450-500:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
45	9	6	1	侍女	3	82	3	185:500-550:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
46	10	6	1	侍女	3	92	3	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
47	11	6	1	侍女	3	102	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
48	12	6	1	侍女	3	112	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
49	13	6	1	侍女	3	122	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
50	14	6	1	侍女	3	132	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
51	15	6	1	侍女	3	142	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
52	16	6	1	侍女	3	152	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
53	17	6	1	侍女	3	162	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
54	18	6	1	侍女	3	182	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
55	1	7	0	侍从	3	2	3	185:80-100:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
56	2	7	0	侍从	3	12	3	185:100-120:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
57	3	7	0	侍从	3	22	3	185:120-150:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
58	4	7	0	侍从	3	32	3	185:150-200:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
59	5	7	0	侍从	3	42	3	185:200-250:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;
60	6	7	0	侍从	3	52	3	185:250-300:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
61	7	7	0	侍从	3	62	3	185:350-400:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
62	8	7	0	侍从	3	72	3	185:450-500:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
63	9	7	0	侍从	3	82	3	185:500-550:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;
64	10	7	0	侍从	3	92	3	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
65	11	7	0	侍从	3	102	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
66	12	7	0	侍从	3	112	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
67	13	7	0	侍从	3	122	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
68	14	7	0	侍从	3	132	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;
69	15	7	0	侍从	3	142	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
70	16	7	0	侍从	3	152	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
71	17	7	0	侍从	3	162	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
72	18	7	0	侍从	3	182	5	185:550-600:10000:1;244:1-1:2000:1;245:1-1:1000:1;246:1-1:500:1;247:1-1:100:1;248:1-1:10:1;249:1-1:10:1;250:1-1:10:1;
73	1	2	2	炼丹	4	2	0	184:10-15:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;
74	2	2	2	炼丹	4	12	0	184:15-20:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;
75	3	2	2	炼丹	4	22	0	184:18-22:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;
76	4	2	2	炼丹	4	32	0	184:20-25:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;
77	5	2	2	炼丹	4	42	0	184:24-30:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;
78	6	2	2	炼丹	4	52	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;
79	7	2	2	炼丹	4	62	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;
80	8	2	2	炼丹	4	72	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;
81	9	2	2	炼丹	4	82	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;
82	10	2	2	炼丹	4	92	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;
83	11	2	2	炼丹	4	102	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
84	12	2	2	炼丹	4	112	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
85	13	2	2	炼丹	4	122	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
86	14	2	2	炼丹	4	132	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
87	15	2	2	炼丹	4	142	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
88	16	2	2	炼丹	4	152	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
89	17	2	2	炼丹	4	162	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
90	18	2	2	炼丹	4	182	0	184:30-35:10000:1;237:1-1:2000:1;238:1-1:100:1;239:1-1:100:1;240:1-1:100:1;241:1-1:10:1;242:1-1:10:1;243:1-1:10:1;
91	1	5	2	采矿	5	2	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:200-250:10000:1;252:1-1:100:1;253:1-1:100:1;254:1-1:100:1;255:1-1:100:1;
92	2	5	2	采矿	5	12	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:250-300:10000:1;252:1-1:100:1;253:1-1:100:1;254:1-1:100:1;255:1-1:100:1;
93	3	5	2	采矿	5	22	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:300-350:10000:1;252:1-1:100:1;253:1-1:100:1;254:1-1:100:1;255:1-1:100:1;
94	4	5	2	采矿	5	32	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:350-400:10000:1;252:1-1:100:1;253:1-1:100:1;254:1-1:100:1;255:1-1:100:1;
95	5	5	2	采矿	5	42	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
96	6	5	2	采矿	5	52	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
97	7	5	2	采矿	5	62	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
98	8	5	2	采矿	5	72	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
99	9	5	2	采矿	5	82	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
100	10	5	2	采矿	5	92	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;
101	11	5	2	采矿	5	102	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
102	12	5	2	采矿	5	112	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
103	13	5	2	采矿	5	122	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
104	14	5	2	采矿	5	132	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
105	15	5	2	采矿	5	142	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
106	16	5	2	采矿	5	152	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
107	17	5	2	采矿	5	162	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
108	18	5	2	采矿	5	182	0	68:1-5:10000:1;69:1-5:10000:1;104:1-1:10000:1;62:400-450:10000:1;254:1-1:500:1;255:1-1:100:1;256:1-1:10:1;257:1-1:10:1;
