index_XBXXZ	type_XBXXZ	level_XBXXZ	text_XBXXZ
89	1	251	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
90	1	251	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到三转圣人境界！[-]
91	1	261	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
92	1	261	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到四转圣人境界！[-]
93	1	271	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
94	1	271	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到五转圣人境界！[-]
95	1	281	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
96	1	281	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到六转圣人境界！[-]
97	1	291	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
98	1	291	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到七转圣人境界！[-]
99	1	301	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
100	1	301	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到八转圣人境界！[-]
101	1	311	[663411FF][33CA23]【{0}】[-]天长地久。天地所以能长且久者，以其不自生，故能长生。[-]
102	1	311	[663411FF][33CA23]【{0}】[-][C00000]{1}[-]经过九死一生，渡过天劫，晋升到九转圣人境界！[-]
