ID_XBXXZ	Content_XBXXZ
1814	师兄进来多次，想必已经很了解《财侣法地真诀》的精要！\n下面是有两个方法给师兄提供选择：\n购买后，师兄在使用练功房时，自动进入掌门练功房增加效率。\n[92D050]若师兄在使用期间，成为掌门，多出的上灵将退还。[-]\n[00B0F0]购买后，更换门派，次数仍可保留！[-]\n[FF0000]为避免师兄的损失！次数没用完前，无法再次购买！[-]\n[7030A0]最后，师弟有条免费情报提供给师兄，掌门修炼室通往后山废弃矿洞，每次修炼完搜索一番，有可能搜到灵石哦！[-]\n

1821	可否借一步说话?
1822	我想进入
1823	明白（花费5个上灵）
1824	购买100次（花费300个上灵）


1830	道友请留步！此地出窍期方可使用！
1831	{0}次



1841	没什么
1842	离开
1843	离开

1850	第{0}次尝试！

1853	[663411]道友修为高深，如今已经可以分出 一缕元神自动参加下一次的寻龙！元神寻龙无法匿名！[-]
1854	[663411]道友修为高深，如今已经可以分出 一缕元神自动参加下一次的屠龙！元神屠龙无法匿名！[-]



1856	路上遇到其他道友如何选择？
1857	在屠龙期间，您决定！

1858	修为不足，默认和平保护模式，无法选择寻龙策略！
1859	修为不足，默认和平保护模式，无法选择屠龙策略！

1860	假装没看到
1861	专杀正派【邪派可选】
1862	专杀邪教【正派可选】
1863	专杀弱小
1864	见人就杀！

1870	什么事也不会发生
1871	兴风作浪需慎重！
1872	斩妖除魔需慎重！
1873	需观察术
1874	你想清楚了？

1880	专心屠龙
1881	偷袭正派【邪派可选】
1882	偷袭邪派【正派可选】
1883	偷袭弱小
1884	见人就杀！
1885	杀完龙就杀人！

1890	不惹事端！
1891	兴风作浪需慎重！
1892	斩妖除魔需慎重！
1893	需观察术
1894	你想清楚了？
1895	屠龙奖励可能被夺

//扫荡
1900	[663411]每轮：[EE0000]{0}[-]灵石    [EE0000]【开始后不再花费】[-][-]
1901	今日次数已用完
1902	该地图尚未通关过，不能自动探索！
1903	今日该地图自动探索次数已用完！
1905	探索
1906	第{0}（共{1}）轮，预计全部结束时间：
1907	尚未设置探索轮数！
1908	[7B4A43]炼神还虚，元婴出窍。习得“元婴出窍术”，可吸收灵石之精华，出窍探索。[-][EE0000]百年内心魔滋长轮次：{0}[-]

1916	当前元婴强度一次最多可支持{0}次探索。

1919	[EE0000]【百年内元神已负担过大】[-]
1920	[663411]Nothing[-]
1921	[663411]入口[-]
1922	[663411]{0} 向前走了一步[-]
1923	[FF0000]你碰到了石头。。。[-]
1924	[3C7E30]获得灵草+{0}[-]
1925	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1926	[663411]天降鸿运，拾到宝箱：{0}[-]
1927	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1928	[3C7E30]获得玄铁+{0}[-]
1929	[3C7E30]获得灵石+{0}[-]
1930	阵法
1931	[3C7E30]获得仆役+{0}[-]
1932	你离开了{0}
1933	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1934	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1935	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1936	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1937	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1938	[663411]{0}在{1}探索时，遇到{2}，一言不合就拔剑。经过一番苦斗后，取得胜利！获得奖励：声望+{3},{4}[-]
1939	[3C7E30]获得灵石+{0}[-]
1940	[3C7E30]获得灵石+{0}[-]
1941	[3C7E30]获得灵石+{0}[-]
1942	[3C7E30]获得木材+{0}[-]

1950	[FF0000]小封[-]

1951	尚未达到出窍期，无法元婴出窍自动探索地图！


1975	[1D64CE]{0}[-]

1978	【{0}】昆仑山传出幼龙踪迹，若能将其斩杀，必可占有龙脉。赶紧开始寻龙！

1980	{0}进入昆仑山，开始搜索龙脉。
1981	有道友匿名进入昆仑山，开始搜索龙脉。

1982	{0}率先发现了幼龙，却没封锁好信息，修真界人尽皆知。



//斩龙
1983	{0}率先发现了幼龙，却没封锁好信息，修真界人尽皆知。
1984	【{0}】{1}朝着发现幼龙方向追杀了过去。
1985	【{0}】{1}匿名进入昆仑山，朝着幼龙方向追杀了过去。除自身以外，别人无法知道自己的道号、门派。

1986	幼龙虽被众道友打成重伤，最终还是逃走了。本轮屠龙，无人占领龙脉。

1990	{0}进入昆仑山，朝着幼龙方向追杀了过去。
1991	有道友匿名进入昆仑山，朝着幼龙方向追杀了过去。

1995	道友请留步，此地出窍期方可进入，否则过于危险！

1998	【{0}】{1}进入昆仑山，开始搜索龙脉。
1999	【{0}】{1}匿名进入昆仑山，开始搜索龙脉。除自身以外，别人无法知道自己的道号、门派。

//炼器

2050	本门炼器长老为{0}，跟他学习，最高可领悟到{1}级图纸！
2051	正在学习中：{0}
2052	本门不擅炼器，炼器室关闭已久！需掌门方可重新启用炼器室！
2053	【{0}品】 {1}
2054	尚无可用图纸
2055	尚无可用炼器炉
2056	真传弟子才可进入！
2057	道友既无炼器炉，又未学习炼器术，无法炼器。

2070	您尚未掌握《元婴出窍补遗》无法设置！

//c界面
2100	尚未学习《一气化三清》之术，无法查看！




//元婴
2101	第{0}重

2110	龙气： {0}

//道童
2200	若发现有资质的仆役，增加洗髓成功率{0:N1}%
2201	[663411]您确定要升级洗髓池吗？[-]
2202	[663411]所需材料：\n玄铁：{0}\n木材：{1}\n灵草：{2}[-]
2210	金灵根 {0}
2211	木灵根 {0}
2212	水灵根 {0}
2213	火灵根 {0}
2214	土灵根 {0}

2220	学习
2221	炼丹
2222	炼器
2223	采药
2224	采矿
2225	侍女
2226	侍从

2230	潜力与资质太差，不足以担此重任！
2231	需要升1级洗髓才可以开始使用
2232	分神期后可得到道童
2233	工作中无法切换
2234	当前尚未拥有道童！


2240	主人，我正在为您炼丹！
2241	主人，我正在为您炼器！
2242	主人，我正在为您采药！
2243	主人，我正在为您采矿！
2244	主人，我正在协助您修炼！
2245	主人，我正在协助您修炼！

2250	主人，是否需要我协助您进行炼丹？
2251	主人，是否需要我协助您进行炼器？
2252	主人，是否需要我协助您进行采药？
2253	主人，是否需要我协助您进行采矿？
2254	主人，是否需要我协助您进行修炼？
2255	主人，是否需要我协助您进行修炼？

2260	[663411FF]炼丹道童最低需要：[3C7E30]火灵根  凡品一阶以上[-]\n[1D64CE]火灵根越高级，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]七转金丹残卷[-][-]
2261	[663411FF]炼器道童最低需要：[3C7E30]金灵根  凡品一阶以上[-]\n[1D64CE]金灵根越高级，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]本命法宝残卷[-][-]
2262	[663411FF]采药道童最低需要：[3C7E30]木灵根  凡品一阶以上[-]\n[1D64CE]木灵根越高级，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]灵草培育术残卷[-][-]
2263	[663411FF]采矿道童最低需要：[3C7E30]土灵根  凡品一阶以上[-]\n[1D64CE]土灵根越高级，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]五行聚灵阵残卷[-][-]
2264	[663411FF]侍女最低需要：[3C7E30]水灵根  凡品一阶以上[-]\n[1D64CE]水灵根越高级，效果越好！容貌越高，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]阴阳双修诀残卷[-][-]
2265	[663411FF]侍从最低需要：[3C7E30]水灵根  凡品一阶以上[-]\n[1D64CE]水灵根越高级，效果越好！容貌越高，效果越好！[-]\n当前洞府等级，有几率获取：[EE0000]阴阳双修诀残卷[-][-]

2270	{0}灵根不足，无法担此重任
2271	男道童，无法成为侍女
2272	女道童，无法成为侍从
2273	侍女
2274	侍从
2075	分神境界方可进入！
2076	洞府全部资源总等级之和不足80级，无法建造洗髓池！
2077	[663411FF]你确定要遣散道童 {0} 吗？[-]

2280	[3C7E30]空闲中[-]
2281	[FFC000]有所得[-]
2282	[EE0000]忙碌中[-]

2285	拥有10个道童后开启！
2286	[663411FF]主人，下达此令之后，您空闲的道童将被自动分配到各项工作。\n水系道童，会优先担任您的侍从。[-]\n[FF0000]如对此安排不满意，请慎用！[-]
2287	[663411FF]主人，下达此令之后，您空闲的道童将被自动分配到各项工作。\n水系道童，会优先担任您的侍女。[-]\n[FF0000]如对此安排不满意，请慎用！[-]


2290	炼丹中
2291	炼器中
2292	采药中
2293	采矿中
2294	修炼中
2295	修炼中

//药园
2300	这么巧，{0}也在这里啊？\n[EE0000]（掌门道童有些不好意思地看着你）[-]
2301	我最喜欢喝门中长老酿制的灵酒“醉清风”可惜贡献度不够，今日只能败兴而归了！\n[EE0000]（掌门道童咽了咽口水）[-]
2302	{0}要送我一瓶？这怎么好意思？\n[EE0000]（道童兴奋的伸出了手！）[-]
2303	{0}这么仗义，我也不能小气。\n我就领{1}前往门中“废弃药田”一趟！\n[EE0000]“废弃药田”是我派已经不用的地方。[-]\n[7030A0]虽名为药田，实际里面经常可以找到木材、灵草、玄铁等物资。[-]\n[EE0000]对了，运气好的话，还能遇到凡人收为仆役！[-]\n[00B0F0]我派因弃用此地许多，许多妖魔鬼怪已占据此地。不过这些妖魔大多很穷，没什么宝物在身。[-]\n[FFFF00]好在此地灵气充沛，移动不需要消耗灵石。\n探索此地不会滋长心魔，对{2}探索其他地图没有任何影响。[-]\n[00B050]{3}闲暇之时进去收集些资源建设自己的洞府倒是不错的选择。[-]

2310	师弟在此有何贵干？
2311	我有啊
2312	客气什么
2313	进入药田
2315	当前没有合适的道童可担任此职！


2320	师兄
2321	师姐

2330	暂时关闭！
2331	集齐七卷灵草培育术残卷可开辟第一块灵药园
2332	需有悟道茶方可进行悟道
2333	暂时关闭


//洞府大阵	
2400	[663411FF]道友可在自己的洞府外面制作刻上自己的洞府名字！重新制作洞府牌匾，需要花费5000灵石。[-]

2401	您现在的肉身修为未达到{0}无法强行渡仙劫！

//学习阵法
2500	本门护山大阵为：{0}，观摩此阵，有几率得到《{1}阵图》及其残卷。
2501	[663411]炼器、炼丹、奇门遁甲等只能同时学习一样。是否开始？[-]
2502	开始
2503	本门没有护山大阵！
2504	[663411]道友的炼丹等级过高，已经无法再获取炼丹心得，但是在此炼丹房仍有几率领悟出丹方，是否继续？[-]
2505	[663411]道友的炼器等级过高，已经无法再获取炼器心得，但是在此炼器房仍有几率领悟出图纸，是否继续？[-]

//洗劫鬼市
2600	修为尚未达到合体境界！

//通用战斗
2700	[663411]{0} 上阵。[-]
2701	[663411]{0} 将 {1} 打败。[-]
2702	[663411]{0} 对 {1} 造成 [FF0000]{2}[-] 点伤害。 [-]
2703	[663411]{0} 闪避了 {1} 的伤害。 [-]
2704	[663411]{0} 发动暴击对 {1} 造成 [FF0000]{2}[-] 点伤害。 [-]
2705	[CC0000]你[-]
2706	{0} 将 {1} 打败。
2707	[FF0000]{0}（当前界主）[-]
2708	[FF0000]{0}（{1}）[-]

//三界
2800	[663411][CC0000]{0}[-]征服度：{1}/{2}[-]
2801	掌教方可选此项
2802	本界界主方可使用
2803	需要通关 {0} 方可进入 {1}
2804	需要先通关 {0}!

2810	大胆狂徒，竟想染指[FFFF00]{0}[-]宝座！现在速速离去，还可以挽回性命！
2811	大帝
2812	鬼主
2813	魔王

2820	[FF0000]（挑战本界需要以下[602889]{0}[-]降伏）[-]
2821	仙官
2822	鬼将
2823	魔将

2830	闭嘴，接招！
2831	来吧

2840	既然你赶着下九幽投胎转世，就不要怪我们人多欺负你人少！

2850	天将
2851	鬼将
2852	魔将
2853	守卫


//商城奖励对话
2900	道友请留步！\n道友最近声名远播，本店一名学徒非常仰慕。\n期望成为道友随身侍奉的道童。\n[FFFF00]不知道友是否愿意免费收下！[-]\n[1D64CE]此子，资质甚高，可为道友自动搜索“废弃药田”。[-]
2901	道友请留步！\n听闻最近道友多方打听修真奇书《太上内观经》的获取方法。\n[FFFF00]本店得蒙道友长期关照，觉得此书与道友甚是有缘，特将此书免费赠送！[-]\n[1D64CE]不知道友可愿意收下？[-]

//三界之门
3000	道友请留步，你可知此处是何地？
3001	此处通往{0}，道友[FF0000]肉身修为太低[-]，还是不要硬闯为妙，否则容易道消身陨！
3002	道友真的想尝试的话，可以先试试接我一招！若道友没受伤，我就让你试试！
3003	道友真想尝试的话，可以通过以下两种方法！请道友自行选择！\n1、请求在仙界的道友接引，登引仙台进入。\n[FF0000]（此举投机取巧，道友将降低10万声望！）[-]\n2、自己打过去。\n[FF0000]（若挑战失败，降低1万声望！）[-]



3010	（你的肉身修为太低，太古真人拦住了你！）
3011	 
3012	（若失败，降低1万点声望！）

3020	不知
3021	我不管
3022	放马过来吧
3023	打过去

3030	离开
3031	好的
3032	离开
3033	离开

3050	[FF0000]三十三天[-]
3051	[FF0000]阴曹地府[-]
3052	[FF0000]大魔天[-]

3060	未通关仙界之门
3061	未通关冥界之门
3062	未通关魔界之门

3101	一品丹药
3102	二品丹药
3103	三品丹药
3104	四品丹药
3105	五品丹药
3106	六品丹药
3107	七品丹药
3108	八品丹药
3109	九品丹药
3110	一品仙丹
3111	二品仙丹
3112	三品仙丹
3113	四品仙丹
3114	五品仙丹
3115	六品仙丹
3116	七品仙丹
3117	八品仙丹
3118	九品仙丹

//寻龙兑换
3200	这么巧，师兄也在这里？\n[FF0000]（没想到，你在昆仑山还能遇到掌门道童）[-]
3201	最近听闻三界之门大开，我也想抓紧提升下自己的能力，看看能否早日前往三十三天寻仙问道！
3202	对了，我最近在昆仑山遇到了几件趣事！师兄也许会感兴趣！
3203	我听门中长辈提起，您最近四处打听的一些东西，师弟我凑巧知道下落哦！\n[FFFF00]比如：师兄苦寻数千年的：《太上内观经》[-]\n[FF0000]以及，最近几百年，师兄苦苦追寻能帮师兄自动探索“废弃药田”的道童：小封！[-]\n[7030A0]此外，师弟最近在昆仑山寻龙，找到了一张衣服类法宝的炼器图纸，想必师兄会感兴趣的。[-]

3204	师兄一向明白事理，师弟我就不兜圈子了！\n从门派宝库里兑换些醉仙酿让师弟我一饱口福，师兄想要的东西就可以都拿走！

3210	你在这里做什么？
3211	师弟好志气
3212	什么事？
3213	好师弟，快送给我！

3220	元婴尚未出窍
3221	尚无道童在药田自动探索
3222	尚无特殊自动探索

3300	暂时无法任命仙官

//新增确认
3400	[663411]升级本级肉身需要{0}修为！\n是否升级？[-]
3401	[663411]购买新的技能点需要{0}声望！是否确认购买？[-]
3402	[663411]申请成为{0}，需要{1}点门派贡献！\n是否确认申请？[-]
3403	[663411]领取门派奖励需要花费100点贡献！\n是否领取？[-]

3500	{0}点功德
3501	{0}点灵石
3510	打败所有的敌人


//势力职务
3600	梵度大仙
3601	梵度上仙
3602	梵度功曹
3603	梵度天师
3604	梵度星君
3605	梵度真人
3606	梵度老君
3607	梵度真君
3608	梵度天王
3609	梵度元帅

3650	XX
3651	贬职
3652	申请
3653	申请中
3654	辞官
3655	XX

3660	[663411]{0} 申请了 {1} 官位[-]  
3670	陛下，这是诸位仙官当前的情况！
3671	本界当前仙官情况！
3675	[663411]是否确认辞去当前的官位！[-]
3676	[663411]是否确认申请当前的官位！\n成为本界仙官之后，可以挑战其他界的界主，但是不能挑战本界的界主。[-]

//淬体
3700	需要{0}灵石
3701	淬体增加修炼效率：{0}~{1}

//悟道
3800	修炼之道第{0}级
3801	战斗之道第{0}级
3805	{0}级

3810	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
3811	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》

3900	道友请留步！看道友已经修真超过五千年了！
3901	像道友这等道心坚毅之人，这里有份小礼物，正适合道友！
3902	以下是送与道友的礼物，祝道友：\n[FFFF00]仙福永享，早日修成长生大道！[-]

3910	是啊，修真无岁月！
3911	那怎么好意思？
3912	那本座就笑纳了

3920	关你何事？告辞！
3921	哼！没兴趣！
3922	哼！本座不稀罕！

3950	道友请留步！看道友已经修真超过一万年了！
3951	万载的修行实属不易，多少前人已消失在岁月长河里，道友的道心实属世之罕见！
3952	这是送与道友的礼物，祝道友：\n[FFFF00]仙福永享，早日修成长生大道！[-]

3960	已经一万年了吗？
3961	道友过奖了！
3962	哈哈！道友太客气了！

3970	关你何事？告辞！
3971	告辞！
3972	哼！莫要拿俗物羞辱本座！

3980	道友请留步！没想到五千年后还能见到道友
3981	修行之路漫漫，多少前人已消失在岁月长河里，道友的道心实属世之罕见！
3982	道友修为高深，已经开始窥视天机了吗？\n这是送与道友的礼物，祝道友：\n[FFFF00]仙福永享，早日修成长生大道！[-]



3986	又一个五千年了吗？
3987	是啊，沧海桑田，时光飞逝
3988	唔，勉强收下吧

3992	关你何事？告辞！
3993	婆婆妈妈，太烦了
3994	哼！莫要拿俗物羞辱本座！


//星君
4000	挑战
4001	辞官

4100	请输入接引者名字
