level_XBXXZ	neednum_XBXXZ	exp_XBXXZ	itemid_XBXXZ	text_XBXXZ
25	1	14800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
26	1	15000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
27	1	15200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
28	1	15400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
29	1	15600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
30	1	15800000	2836	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
31	1	16000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
32	1	16200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
33	1	16400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
34	1	16600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
35	1	16800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
36	1	17000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
37	1	17200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
38	1	17400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
39	1	17600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
40	1	17800000	2837	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
41	1	18000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
42	1	18200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
43	1	18400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
44	1	18600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
45	1	18800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
46	1	19000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
47	1	19200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
48	1	19400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
49	1	19600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
50	1	19800000	2838	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
51	1	20000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
52	1	20200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
53	1	20400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
54	1	20600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
55	1	20800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
56	1	21000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
57	1	21200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
58	1	21400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
59	1	21600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
60	1	21800000	2839	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
61	1	22000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
62	1	22200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
63	1	22400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
64	1	22600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
65	1	22800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
66	1	23000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
67	1	23200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
68	1	23400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
69	1	23600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
70	1	23800000	2840	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
71	1	24000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
72	1	24200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
73	1	24400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
74	1	24600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
75	1	24800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
76	1	25000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
77	1	25200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
78	1	25400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
79	1	25600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
80	1	25800000	2841	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
81	1	26000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
82	1	26200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
83	1	26400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
84	1	26600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
85	1	26800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
86	1	27000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
87	1	27200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
88	1	27400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
89	1	27600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
90	1	27800000	2842	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
91	1	28000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
92	1	28200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
93	1	28400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
94	1	28600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
95	1	28800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
96	1	29000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
97	1	29200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
98	1	29400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
99	1	29600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
100	1	29800000	2843	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
101	1	30000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
102	1	30200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
103	1	30400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
104	1	30600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
105	1	30800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
106	1	31000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
107	1	31200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
108	1	31400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
109	1	31600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
110	1	31800000	2844	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
111	1	32000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
112	1	32200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
113	1	32400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
114	1	32600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
115	1	32800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
116	1	33000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
117	1	33200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
118	1	33400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
119	1	33600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
120	1	33800000	2845	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
121	1	34000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
122	1	34200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
123	1	34400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
124	1	34600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
125	1	34800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
126	1	35000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
127	1	35200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
128	1	35400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
129	1	35600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
130	1	35800000	2846	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
131	1	36000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
132	1	36200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
133	1	36400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
134	1	36600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
135	1	36800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
136	1	37000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
137	1	37200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
138	1	37400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
139	1	37600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
140	1	37800000	2847	茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，大有收获！修为增加了：{2}，同时领悟了一套新的修炼秘诀：《{3}》
141	1	38000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
142	1	38200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
143	1	38400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
144	1	38600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
145	1	38800000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
146	1	39000000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
147	1	39200000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
148	1	39400000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
149	1	39600000		茶香渺渺，{0}道心清明，静心感悟天道。过往的修炼经历浮现脑海，经过一番感悟，{1}道心愈发坚定，于修炼大道上，略有收获！修为增加了：{2}
